"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"281341","CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES","825 CENTENNIAL DRIVE","","","CHADRON","NE","69337","DAWES","3084325586","38","16","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281342","ST MARY'S COMMUNITY HOSPITAL","1314  3RD AVE","","","NEBRASKA CITY","NE","68410","OTOE","4028733321","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281343","WEST HOLT MEMORIAL HOSPITAL","406 W NEELY ST","","","ATKINSON","NE","68713","HOLT","4029252811","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281344","CHERRY COUNTY HOSPITAL","P O BOX 410, 510 NORTH GREEN ST","","","VALENTINE","NE","69201","CHERRY","4023762525","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281345","PROVIDENCE MEDICAL CENTER","1200 PROVIDENCE RD","","","WAYNE","NE","68787","WAYNE","4023753800","79","14","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281346","ALEGENT HEALTH PLAINVIEW HOSPITAL","P O BOX 489, 704 NORTH THIRD ST","","","PLAINVIEW","NE","68769","PIERCE","4025824245","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"281347","OSMOND GENERAL HOSPITAL","P O BOX 429, 402 NORTH MAPLE ST","","","OSMOND","NE","68765","PIERCE","4027483393","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281348","TRI VALLEY HEALTH SYSTEM","1305 WEST HIGHWAY 6/34","","","CAMBRIDGE","NE","69022","FURNAS","3086973329","53","17","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","40","15","The number of cases/patients is too few to report"
"281349","PENDER COMMUNITY HOSPITAL","P O BOX 100, 100 HOSPITAL DRIVE","","","PENDER","NE","68047","THURSTON","4023853083","93","15","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281350","JOHNSON COUNTY HOSPITAL","202 HIGH ST","","","TECUMSEH","NE","68450","JOHNSON","4023353361","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281351","CHASE COUNTY COMMUNITY HOSPITAL","P O BOX 819, 600 W 12TH ST","","","IMPERIAL","NE","69033","CHASE","3088827111","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281352","COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 2307 BARADA ST","","","FALLS CITY","NE","68355","RICHARDSON","4022452428","94","18","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"281353","VALLEY COUNTY HEALTH SYSTEM","2707 L STREET","","","ORD","NE","68862","VALLEY","3087284200","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281354","CRETE AREA MEDICAL CENTER","P O BOX 220, 2910 BETTEN DR","","","CRETE","NE","68333","SALINE","4028262102","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281355","OGALLALA COMMUNITY HOSPITAL","2601 NORTH SPRUCE ST","","","OGALLALA","NE","69153","KEITH","3082844011","100","19","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","13","The number of cases/patients is too few to report"
"281356","PERKINS COUNTY HEALTH SERVICES","900 LINCOLN AVE","","","GRANT","NE","69140","PERKINS","3083527200","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281357","SIDNEY REGIONAL MEDICAL CENTER","645 OSAGE ST","","","SIDNEY","NE","69162","CHEYENNE","3082545825","36","11","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"281358","GORDON MEMORIAL HOSPITAL DISTRICT","300 EAST 8TH ST","","","GORDON","NE","69343","SHERIDAN","3082820401","92","13","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","55","11","The number of cases/patients is too few to report"
"281359","MEMORIAL COMMUNITY HOSPITAL","810 NORTH 22ND ST","","","BLAIR","NE","68008","WASHINGTON","4024262182","100","11","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281360","BOX BUTTE GENERAL HOSPITAL","P O BOX 810, 2101 BOX BUTTE AVE","","","ALLIANCE","NE","69301","BOX BUTTE","3087626660","50","20","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","91","11","The number of cases/patients is too few to report"
"281361","LEXINGTON REGIONAL HEALTH CENTER","P O BOX 980, 1201 NORTH ERIE ST","","","LEXINGTON","NE","68850","DAWSON","3083245651","100","24","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","14","The number of cases/patients is too few to report"
"281362","PHELPS MEMORIAL HEALTH CENTER","1215 TIBBALS ST","","","HOLDREGE","NE","68949","PHELPS","3089952211","100","11","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"281363","COMMUNITY HOSPITAL","P O BOX 1328, 1301 EAST H ST","","","MCCOOK","NE","69001","RED WILLOW","3083442650","100","34","","80","15","The number of cases/patients is too few to report","93","30",""
"281364","BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY","","","BEATRICE","NE","68310","GAGE","4022283344","100","32","","100","12","The number of cases/patients is too few to report","90","20","The number of cases/patients is too few to report"
"281365","JENNIE M MELHAM MEMORIAL MEDICAL CENTER","145 MEMORIAL DRIVE","","","BROKEN BOW","NE","68822","CUSTER","3088724100","83","18","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","92","12","The number of cases/patients is too few to report"
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","","","OMAHA","NE","68114","DOUGLAS","4029555400","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","","","RENO","NV","89502","WASHOE","7759824100","100","384","Data submitted were based on a sample of cases/patients","100","134","Data submitted were based on a sample of cases/patients","98","326","Data submitted were based on a sample of cases/patients"
"290002","SOUTH LYON MEDICAL CENTER","213 S WHITACRE/PO BOX 940","","","YERINGTON","NV","89447","LYON","7754632301","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"290003","SUNRISE HOSPITAL AND MEDICAL CENTER","3186 S MARYLAND PKWY","","","LAS VEGAS","NV","89109","CLARK","7027318000","100","298","Data submitted were based on a sample of cases/patients","100","127","Data submitted were based on a sample of cases/patients","97","259","Data submitted were based on a sample of cases/patients"
"290005","NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD","","","NORTH LAS VEGAS","NV","89030","CLARK","7026575504","99","199","","96","76","","95","167",""
"290006","BANNER CHURCHILL COMMUNITY HOSPITAL","801 EAST WILLIAMS AVENUE","","","FALLON","NV","89406","CHURCHILL","7754233151","98","44","","100","16","The number of cases/patients is too few to report","74","39",""
"290007","UMC OF SOUTHERN NEVADA","1800 W CHARLESTON BLVD","","","LAS VEGAS","NV","89102","CLARK","7023832000","100","296","Data submitted were based on a sample of cases/patients","96","166","Data submitted were based on a sample of cases/patients","91","276","Data submitted were based on a sample of cases/patients"
"290008","NORTHEASTERN NEVADA REGIONAL HOSPITAL","2001 ERRECART BLVD","","","ELKO","NV","89801","ELKO","7757385151","94","49","","100","12","The number of cases/patients is too few to report","83","36",""
"290009","SAINT MARY'S REGIONAL MEDICAL CENTER","235 W 6TH ST","","","RENO","NV","89503","WASHOE","7757703000","100","248","Data submitted were based on a sample of cases/patients","100","81","Data submitted were based on a sample of cases/patients","94","214","Data submitted were based on a sample of cases/patients"
"290012","ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS","102 E LAKE MEAD DR","","","HENDERSON","NV","89015","CLARK","7026165000","100","151","","100","41","","100","107",""
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","","","CARSON CITY","NV","89703","CARSON CITY","7754458000","100","264","Data submitted were based on a sample of cases/patients","99","81","Data submitted were based on a sample of cases/patients","83","210","Data submitted were based on a sample of cases/patients"
"290020","NYE REGIONAL MEDICAL CENTER","825 ERIE MAIN ST (AKA SOUTH MAIN)","","","TONOPAH","NV","89049","NYE","7754826233","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"290021","VALLEY HOSPITAL MEDICAL CENTER","620 SHADOW LANE","","","LAS VEGAS","NV","89106","CLARK","7023884000","100","243","Data submitted were based on a sample of cases/patients","97","111","Data submitted were based on a sample of cases/patients","96","227","Data submitted were based on a sample of cases/patients"
"290022","DESERT SPRINGS HOSPITAL","2075 EAST FLAMINGO ROAD","","","LAS VEGAS","NV","89119","CLARK","7023697600","100","278","Data submitted were based on a sample of cases/patients","98","98","Data submitted were based on a sample of cases/patients","98","225","Data submitted were based on a sample of cases/patients"
"29002F","VA SIERRA NEVADA HEALTHCARE SYSTEM","1000 LOCUST STREET","","","RENO                          ","NV","89502","WASHOE","7753281263","100","99","","97","34","","96","90",""
"290032","NORTHERN NEVADA MEDICAL CENTER","2375 PRATER WAY","","","SPARKS","NV","89434","WASHOE","7753317000","100","59","","100","25","","94","49",""
"290039","MOUNTAINVIEW HOSPITAL","3100 N TENAYA WAY","","","LAS VEGAS","NV","89128","CLARK","7022555065","100","419","","100","146","","99","330",""
"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","","","LAS VEGAS","NV","89144","CLARK","7022337500","100","294","Data submitted were based on a sample of cases/patients","93","92","Data submitted were based on a sample of cases/patients","84","219","Data submitted were based on a sample of cases/patients"
"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","","","HENDERSON","NV","89052","CLARK","7026165000","100","278","Data submitted were based on a sample of cases/patients","93","74","Data submitted were based on a sample of cases/patients","86","218","Data submitted were based on a sample of cases/patients"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","","","LAS VEGAS","NV","89118","CLARK","7028533000","100","225","Data submitted were based on a sample of cases/patients","90","82","Data submitted were based on a sample of cases/patients","66","184","Data submitted were based on a sample of cases/patients"
"290047","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","9300 WEST SUNSET RD","","","LAS VEGAS","NV","89148","CLARK","7028802100","100","104","","100","35","","100","88",""
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","","","RENO","NV","89521","CARSON CITY","7759827000","100","43","","Not Available","Not Available","The number of cases/patients is too few to report","100","37",""
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","","","CARSON CITY","NV","89703","CARSON CITY","7758831700","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"290053","ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","","","LAS VEGAS","NV","89113","CLARK","7026165509","99","176","","100","63","","97","146",""
"290054","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","6900 N DURANGO DR","","","LAS VEGAS","NV","89149","CLARK","7028359700","99","178","","90","58","","76","143",""
"291300","MOUNT GRANT GENERAL HOSPITAL","FIRST AND A STREETS","","","HAWTHORNE","NV","89415","MINERAL","7029452461","9","22","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","81","16","The number of cases/patients is too few to report"
"291301","INCLINE VILLAGE HEALTH CENTER","880 ALDER STREET","","","INCLINE VILLAGE","NV","89451","WASHOE","7758334100","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"291302","WILLIAM BEE RIRIE HOSPITAL","1500 AVENUE H","","","ELY","NV","89301","WHITE PINE","7752893001","41","17","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","12","16","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"291303","BATTLE MOUNTAIN GENERAL HOSPITAL","535 SOUTH HUMBOLDT STREET","","","BATTE MTN","NV","89820","LANDER","7756352550","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"291304","PERSHING GENERAL HOSPITAL","855 6TH STREET/PO BOX 661","","","LOVELOCK","NV","89419","PERSHING","7752732621","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"291306","CARSON VALLEY MEDICAL CENTER","1107 HIGHWAY 395","","","GARDNERVILLE","NV","89410","DOUGLAS","7757821500","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"291307","MESA VIEW REGIONAL HOSPITAL","1299 BERTHA HOWE AVENUE","","","MESQUITE","NV","89027","CLARK","7023468040","100","19","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report","100","16","Data submitted were based on a sample of cases/patients., The number of cases/patients is too few to report"
"291308","HUMBOLDT GENERAL HOSPITAL","118 EAST HASKELL STREET","","","WINNEMUCCA","NV","89445","HUMBOLDT","7756235222","83","23","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","79","19","The number of cases/patients is too few to report"
"291309","BOULDER CITY HOSPITAL","901 ADAMS BLVD","","","BOULDER CITY","NV","89005","CLARK","7022934111","64","11","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"291311","DESERT VIEW REGIONAL MEDICAL CENTER","360 SOUTH LOLA LANE","","","PAHRUMP","NV","89048","NYE","7757517500","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","91","11","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"291312","GROVER C DILS MEDICAL CENTER","700 N SPRING ST, BOX 1010-C-ADM BLDG","","","CALIENTE","NV","89008","LINCOLN","7757263171","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","0","Data submitted were based on a sample of cases/patients., No cases met the criteria for this measure., Results are based on a shorter time period than required","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"300001","CONCORD HOSPITAL","250 PLEASANT ST","","","CONCORD","NH","03301","MERRIMACK","6032252711","100","281","","99","90","","99","207",""
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","","","LEBANON","NH","03756","GRAFTON","6036505000","100","263","Data submitted were based on a sample of cases/patients","100","61","Data submitted were based on a sample of cases/patients","98","220","Data submitted were based on a sample of cases/patients"
"300005","LAKES REGION GENERAL HOSPITAL","80 HIGHLAND ST","","","LACONIA","NH","03246","BELKNAP","6035243211","100","89","Data submitted were based on a sample of cases/patients","93","28","Data submitted were based on a sample of cases/patients","91","54","Data submitted were based on a sample of cases/patients"
"300011","ST JOSEPH HOSPITAL","172 KINSLEY ST","","","NASHUA","NH","03060","HILLSBOROUGH","6038823000","99","204","Data submitted were based on a sample of cases/patients","98","46","Data submitted were based on a sample of cases/patients","94","165","Data submitted were based on a sample of cases/patients"
"300012","ELLIOT HOSPITAL","1 ELLIOT WAY","","","MANCHESTER","NH","03103","HILLSBOROUGH","6036695300","100","197","","100","46","","97","151",""
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","","","ROCHESTER","NH","03867","STRAFFORD","6033325211","99","129","","86","21","The number of cases/patients is too few to report","98","93",""
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","","","DERRY","NH","03038","ROCKINGHAM","6034212100","99","154","","100","44","","94","105",""
"300018","WENTWORTH-DOUGLASS HOSPITAL","789 CENTRAL AVE","","","DOVER","NH","03820","STRAFFORD","6037402580","99","205","","91","32","","81","154",""
"300019","CHESHIRE MEDICAL CENTER","580 COURT STREET","","","KEENE","NH","03431","CHESHIRE","6033545400","99","76","","100","18","The number of cases/patients is too few to report","98","48",""
"300020","SOUTHERN NH MEDICAL CENTER","8 PROSPECT STREET","","","NASHUA","NH","03060","HILLSBOROUGH","6035772000","100","221","","100","48","","100","184",""
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","","","EXETER","NH","03833","ROCKINGHAM","6037787311","100","189","","98","45","","100","140",""
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","","","PORTSMOUTH","NH","03801","ROCKINGHAM","6034365110","100","165","","100","57","","100","119",""
"300034","CATHOLIC MEDICAL CENTER","100 MCGREGOR STREET","","","MANCHESTER","NH","03102","HILLSBOROUGH","6036683545","100","280","Data submitted were based on a sample of cases/patients","100","75","Data submitted were based on a sample of cases/patients","100","224","Data submitted were based on a sample of cases/patients"
"301300","UPPER CONNECTICUT VALLEY HOSPITAL","181 CORLISS LANE","","","COLEBROOK","NH","03576","COOS","6032374971","67","15","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","100","14","The number of cases/patients is too few to report"
"301301","COTTAGE HOSPITAL","90 SWIFTWATER RD","","","WOODSVILLE","NH","03785","GRAFTON","6037479000","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"301302","LITTLETON REGIONAL HEALTHCARE","600 ST JOHNSBURY ROAD","","","LITTLETON","NH","03561","GRAFTON","6034449000","100","34","","Not Available","Not Available","The number of cases/patients is too few to report","96","24","The number of cases/patients is too few to report"
"301303","WEEKS MEDICAL CENTER","173 MIDDLE STREET","","","LANCASTER","NH","03584","COOS","6037884911","100","15","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"301304","NEW LONDON HOSPITAL","273 COUNTY ROAD","","","NEW LONDON","NH","03257","MERRIMACK","6035262911","97","34","","Not Available","Not Available","The number of cases/patients is too few to report","96","25",""
"301305","ALICE PECK DAY MEMORIAL HOSPITAL","10 ALICE PECK DAY DRIVE","","","LEBANON","NH","03766","GRAFTON","6034483121","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"301306","FRANKLIN REGIONAL HOSPITAL","15 AIKEN AVENUE","","","FRANKLIN","NH","03235","MERRIMACK","6039342060","90","21","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","91","11","The number of cases/patients is too few to report"
"301307","MEMORIAL HOSPITAL, THE","3073 WHITE MOUNTAIN HIGHWAY","","","NORTH CONWAY","NH","03860","CARROLL","6033565461","100","38","","Not Available","Not Available","The number of cases/patients is too few to report","100","24","The number of cases/patients is too few to report"
"301308","VALLEY REGIONAL HOSPITAL","243 ELM STREET","","","CLAREMONT","NH","03743","SULLIVAN","6035427771","100","18","The number of cases/patients is too few to report","92","12","The number of cases/patients is too few to report","100","16","The number of cases/patients is too few to report"
"301309","MONADNOCK COMMUNITY HOSPITAL","452 OLD STREET ROAD","","","PETERBOROUGH","NH","03458","HILLSBOROUGH","6039247191","100","36","","Not Available","Not Available","The number of cases/patients is too few to report","79","19","The number of cases/patients is too few to report"
"301310","ANDROSCOGGIN VALLEY HOSPITAL","59 PAGE HILL ROAD","","","BERLIN","NH","03570","COOS","6037522200","100","28","","Not Available","Not Available","The number of cases/patients is too few to report","79","19","The number of cases/patients is too few to report"
"301311","SPEARE MEMORIAL HOSPITAL","16 HOSPITAL ROAD","","","PLYMOUTH","NH","03264","GRAFTON","6035361120","100","37","","83","12","The number of cases/patients is too few to report","100","31",""
"301312","HUGGINS HOSPITAL","240 SOUTH MAIN STREET","","","WOLFEBORO","NH","03894","CARROLL","6035697500","100","28","","100","13","The number of cases/patients is too few to report","100","17","The number of cases/patients is too few to report"
"310001","HACKENSACK UNIVERSITY MEDICAL CENTER","30 PROSPECT AVE","","","HACKENSACK","NJ","07601","BERGEN","2019962000","100","800","","99","260","","97","563",""
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","","","NEWARK","NJ","07112","ESSEX","9739267850","100","336","Data submitted were based on a sample of cases/patients","100","143","Data submitted were based on a sample of cases/patients","100","281","Data submitted were based on a sample of cases/patients"
"310003","PALISADES MEDICAL CENTER","7600 RIVER RD","","","NORTH BERGEN","NJ","07047","HUDSON","2018545000","97","276","Data submitted were based on a sample of cases/patients","100","62","Data submitted were based on a sample of cases/patients","99","185","Data submitted were based on a sample of cases/patients"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","","","FLEMINGTON","NJ","08822","HUNTERDON","9087886100","100","138","","95","41","","84","106",""
"310006","ST MARY'S HOSPITAL, PASSAIC","350 BOULEVARD","","","PASSAIC","NJ","07055","PASSAIC","9733654300","100","321","Data submitted were based on a sample of cases/patients","98","96","Data submitted were based on a sample of cases/patients","98","222","Data submitted were based on a sample of cases/patients"
"310008","HOLY NAME MEDICAL CENTER","718 TEANECK RD","","","TEANECK","NJ","07666","BERGEN","2018333000","100","320","Data submitted were based on a sample of cases/patients","100","66","Data submitted were based on a sample of cases/patients","100","221","Data submitted were based on a sample of cases/patients"
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","","","BELLEVILLE","NJ","07109","ESSEX","9734502002","100","326","Data submitted were based on a sample of cases/patients","100","78","Data submitted were based on a sample of cases/patients","99","227","Data submitted were based on a sample of cases/patients"
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","","","PLAINSBORO","NJ","08536","MIDDLESEX","8664604776","100","245","","98","56","","94","156",""
"310011","CAPE REGIONAL MEDICAL CENTER INC","TWO STONE HARBOR BLVD","","","CAPE MAY COURT HOUSE","NJ","08210","CAPE MAY","6094632000","99","296","","99","83","","91","205",""
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","","","RIDGEWOOD","NJ","07450","BERGEN","2014478000","100","332","Data submitted were based on a sample of cases/patients","99","85","Data submitted were based on a sample of cases/patients","97","215","Data submitted were based on a sample of cases/patients"
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","","","CAMDEN","NJ","08103","CAMDEN","8563422000","100","287","Data submitted were based on a sample of cases/patients","98","128","Data submitted were based on a sample of cases/patients","98","250","Data submitted were based on a sample of cases/patients"
"310015","MORRISTOWN MEMORIAL HOSPITAL","100 MADISON AVE","","","MORRISTOWN","NJ","07962","MORRIS","9739715450","100","324","Data submitted were based on a sample of cases/patients","93","111","Data submitted were based on a sample of cases/patients","97","218","Data submitted were based on a sample of cases/patients"
"310016","CAREPOINT HEALTH-CHRIST HOSPITAL","176 PALISADE AVE","","","JERSEY CITY","NJ","07306","HUDSON","2017958200","100","364","","96","114","","89","284",""
"310017","CHILTON HOSPITAL","97 WEST PARKWAY","","","POMPTON PLAINS","NJ","07444","MORRIS","9738315000","100","244","","100","64","","93","153",""
"310019","ST JOSEPH'S REGIONAL MEDICAL CENTER","703 MAIN ST","","","PATERSON","NJ","07503","PASSAIC","9737542000","99","1123","","99","334","","95","854",""
"31001F","VA NEW JERSEY HEALTH CARE SYSTEM","385 TREMONT AVENUE","","","EAST ORANGE                   ","NJ","07018","ESSEX","9736761000","100","91","","100","50","","99","74",""
"310021","ST FRANCIS MEDICAL CENTER","601 HAMILTON AVE","","","TRENTON","NJ","08629","MERCER","6095995000","100","226","","99","74","","100","162",""
"310022","VIRTUA WEST JERSEY HOSPITALS BERLIN","WHITEHORSE PIKE AND TOWNSEND AVENUE","","","BERLIN","NJ","08009","CAMDEN","8563223200","100","673","","99","125","","93","485",""
"310024","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","865 STONE ST","","","RAHWAY","NJ","07065","UNION","7323814200","100","357","","100","87","","99","209",""
"310025","CAREPOINT HEALTH - BAYONNE HOSPITAL CENTER","29 EAST 29TH ST","","","BAYONNE","NJ","07002","HUDSON","2018585000","100","227","","100","50","","100","161",""
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","","","ELIZABETH","NJ","07207","UNION","9089945000","100","385","","91","116","","92","291",""
"310028","NEWTON MEMORIAL HOSPITAL","175 HIGH ST","","","NEWTON","NJ","07860","SUSSEX","9733832121","99","293","","95","59","","99","205",""
