"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"041331","OZARKS COMMUNITY HOSPITAL OF GRAVETTE","1101 JACKSON STREET SW","","","GRAVETTE","AR","72736","BENTON","4797875291","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"510053","ST JOSEPH HOSPITAL","1 AMALIA DRIVE","","","BUCKHANNON","WV","26201","UPSHUR","3044722000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","10","Not Available","Not Available","Not Available","977","0.29","0.00","0.71","187","5.18","0.76","9.60","65","0.76","0.00","2.85","1000","2.60","0.68","4.52","Not Available","0.78","0.37","1.18"
"261328","NORTHWEST MEDICAL CENTER","705 N COLLEGE STREET","","","ALBANY","MO","64402","GENTRY","6607263941","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"030077","SAN CARLOS INDIAN HOSPITAL","223 CIBECUE CIRCLE ROAD","","","SAN CARLOS","AZ","85550","GILA","9284757347","Not Available","No cases met the criteria for this measure.","Number of Cases Too Small","The number of cases/patients is too few to report.","Not Available","No cases met the criteria for this measure.","Not Available","No cases met the criteria for this measure.","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","14","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","14","Not Available","Not Available","Not Available","Not Available","0.61","0.11","1.10"
"441315","COPPER BASIN MEDICAL CENTER","HIGHWAY 68","","","COPPERHILL","TN","37317","POLK","4234965511","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"190175","RIVER PARISHES HOSPITAL","500 RUE DE SANTE","","","LAPLACE","LA","70068","ST JOHN THE BAPTIST","9856527000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","8","Not Available","Not Available","Not Available","1429","0.26","0.00","0.66","248","4.23","0.00","8.74","28","1.98","0.00","4.18","1480","1.73","0.00","3.78","Not Available","0.59","0.18","1.00"
"100200","BROWARD HEALTH IMPERIAL POINT","6401 N FEDERAL HWY","","","FORT LAUDERDALE","FL","33308","BROWARD","9547768500","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","11","Not Available","Not Available","Not Available","3093","0.22","0.00","0.59","726","1.71","0.00","5.04","115","0.67","0.00","2.63","3249","1.19","0.00","2.72","Not Available","0.39","0.08","0.70"
"390179","CHESTER COUNTY HOSPITAL","701 EAST MARSHALL ST","","","WEST CHESTER","PA","19380","CHESTER","6104315000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","63","102.08","60.19","143.96","8086","0.24","0.00","0.53","1941","3.48","1.07","5.88","220","1.22","0.00","2.94","8587","2.15","1.07","3.23","Not Available","0.64","0.42","0.86"
"390174","THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET","","","PHILADELPHIA","PA","19107","PHILADELPHIA","2159556000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","438","101.86","79.54","124.17","24648","0.32","0.12","0.52","9747","9.85","8.77","10.93","1097","0.48","0.00","1.56","25060","1.61","1.02","2.21","Not Available","0.83","0.71","0.95"
"241340","ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER","5211 HIGHWAY 110","","","AURORA","MN","55705","SAINT LOUIS","2182292211","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"111331","MITCHELL COUNTY HOSPITAL","90 STEPHENS STREET","","","CAMILLA","GA","31730","MITCHELL","2293365284","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"320060","ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER","ROUTE 301 NORTH B STREET","","","ZUNI","NM","87327","MCKINLEY","5057824431","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","258","0.31","0.00","0.74","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","270","1.78","0.00","4.15","Not Available","0.59","0.11","1.08"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","","","PHOENIX","AZ","85016","MARICOPA","6022631200","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","3","Not Available","Not Available","Not Available","351","0.42","0.00","0.86","90","5.06","0.13","9.99","15","Not Available","Not Available","Not Available","357","3.15","0.86","5.43","Not Available","0.86","0.40","1.32"
"520116","UW HLTH PARTNERS - WATERTOWN REGIONAL MEDICAL CTR","125 HOSPITAL DR","","","WATERTOWN","WI","53098","DODGE","9202614210","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","23","Not Available","Not Available","Not Available","1652","0.34","0.00","0.73","435","2.52","0.00","5.97","74","0.71","0.00","2.73","1757","2.04","0.34","3.74","Not Available","0.55","0.21","0.89"
"360144","SOUTH POINTE HOSPITAL","20000 HARVARD ROAD","","","WARRENSVILLE HEIGHTS","OH","44122","CUYAHOGA","2164916000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","45","83.89","41.98","125.81","6922","0.16","0.00","0.46","875","4.56","1.86","7.26","95","0.59","0.00","2.43","7083","1.21","0.00","2.52","Not Available","0.50","0.24","0.76"
"500014","PROVIDENCE REGIONAL MEDICAL CENTER EVERETT","1321 COLBY AVENUE","","","EVERETT","WA","98201","SNOHOMISH","4252612000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","156","123.79","91.30","156.29","11322","0.28","0.02","0.54","3445","3.62","1.65","5.60","329","0.41","0.00","1.96","11966","2.57","1.68","3.46","Not Available","0.68","0.50","0.87"
"050022","RIVERSIDE COMMUNITY HOSPITAL","4445 MAGNOLIA AVENUE","","","RIVERSIDE","CA","92501","RIVERSIDE","9517883000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","197","121.34","90.79","151.88","8618","0.13","0.00","0.40","2519","3.22","0.89","5.55","272","1.75","0.11","3.39","9045","0.96","0.00","1.95","Not Available","0.50","0.29","0.70"
"360052","GOOD SAMARITAN HOSPITAL","2222 PHILADELPHIA DRIVE","","","DAYTON","OH","45406","MONTGOMERY","9372782612","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","133","116.29","81.39","151.19","12217","0.29","0.03","0.56","3111","3.99","1.98","6.00","319","0.42","0.00","1.98","12944","3.27","2.35","4.20","Not Available","0.79","0.60","0.98"
"210051","DOCTORS'  COMMUNITY HOSPITAL","8118 GOOD LUCK ROAD","","","LANHAM","MD","20706","PRINCE GEORGES","3015528085","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"241341","APPLETON MUNICIPAL HOSPITAL","30 SOUTH BEHL STREET","","","APPLETON","MN","56208","SWIFT","3202892422","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"271319","RUBY VALLEY HOSPITAL","220 E CROFOOT","","","SHERIDAN","MT","59749","MADISON","4068425453","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450891","TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN","6020 W PARKER ROAD","","","PLANO","TX","75093","COLLIN","9724032700","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","3","Not Available","Not Available","Not Available","203","0.31","0.00","0.75","199","3.46","0.00","8.20","8","Not Available","Not Available","Not Available","95","2.13","0.00","4.40","Not Available","0.62","0.15","1.09"
"241362","CENTRACARE HEALTH - MONTICELLO","1013 HART BOULEVARD","","","MONTICELLO","MN","55362","WRIGHT","7632952945","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"400011","HOSPITAL ORIENTE","300 FONT MARTELLO STREET","","","HUMACAO","PR","00792","HUMACAO","7878520505","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Data suppressed by CMS for one or more quarters.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520028","THE MONROE CLINIC","2005 5TH STREET","","","MONROE","WI","53566","GREEN","6083241000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","26","91.45","42.68","140.23","2616","0.64","0.27","1.01","650","4.22","0.57","7.86","135","0.63","0.00","2.53","2794","1.41","0.00","2.94","Not Available","0.57","0.25","0.89"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","","","NEW HAVEN","CT","06504","NEW HAVEN","2036884242","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","405","93.06","71.19","114.92","26011","0.44","0.25","0.63","8413","5.48","4.22","6.74","943","1.73","0.60","2.85","28012","2.27","1.72","2.81","Not Available","0.78","0.66","0.90"
"260193","ST MARY'S MEDICAL CENTER","201 NW R D MIZE RD","","","BLUE SPRINGS","MO","64014","JACKSON","8162285900","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","30","104.61","55.61","153.61","3317","0.30","0.00","0.66","765","4.23","0.88","7.58","67","0.71","0.00","2.74","3372","1.17","0.00","2.68","Not Available","0.50","0.20","0.81"
"051324","NORTHERN INYO HOSPITAL","150 PIONEER LANE","","","BISHOP","CA","93514","INYO","7608735811","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"070016","SAINT MARYS HOSPITAL","56 FRANKLIN ST","","","WATERBURY","CT","06706","NEW HAVEN","2035746000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","84","108.82","72.10","145.53","8562","0.43","0.15","0.71","2120","3.53","1.11","5.94","256","1.12","0.00","2.77","9029","2.36","1.35","3.37","Not Available","0.67","0.46","0.87"
"340085","NOVANT HEALTH THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON RD BOX 789","","","THOMASVILLE","NC","27360","DAVIDSON","3364722000","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","23","Not Available","Not Available","Not Available","1629","0.26","0.00","0.65","212","5.11","0.70","9.52","62","0.73","0.00","2.78","1673","1.37","0.00","3.18","Not Available","0.59","0.21","0.97"
"050296","HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE","","","HOLLISTER","CA","95023","SAN BENITO","8316375711","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","10","Not Available","Not Available","Not Available","1677","0.49","0.08","0.90","228","5.47","0.90","10.04","34","0.80","0.00","2.96","1724","1.66","0.00","3.67","Not Available","0.66","0.25","1.07"
"281330","WARREN MEMORIAL HOSPITAL","905 SECOND ST","","","FRIEND","NE","68359","SALINE","4029472541","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"150149","WOMEN'S HOSPITAL THE","4199 GATEWAY BLVD","","","NEWBURGH","IN","47630","WARRICK","8128424200","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","42","0.31","0.00","0.75","42","3.80","0.00","8.77","32","0.89","0.00","3.16","44","4.74","2.55","6.93","Not Available","1.04","0.57","1.50"
"420033","GREER MEMORIAL HOSPITAL","830 SOUTH BUNCOMBE ROAD","","","GREER","SC","29650","GREENVILLE","8648488200","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","14","Not Available","Not Available","Not Available","2366","0.26","0.00","0.65","776","2.38","0.00","5.35","75","0.70","0.00","2.71","2443","2.38","0.65","4.10","Not Available","0.58","0.25","0.92"
"440060","MILAN GENERAL HOSPITAL","4039 HIGHLAND ST","","","MILAN","TN","38358","GIBSON","7316861591","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","323","0.31","0.00","0.74","60","3.85","0.00","8.86","37","0.82","0.00","3.00","338","1.46","0.00","3.60","Not Available","0.53","0.08","0.98"
"450788","CORPUS CHRISTI MEDICAL CENTER,THE","7101 S PADRE ISLAND DR","","","CORPUS CHRISTI","TX","78412","NUECES","3617611501","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","114","112.42","73.94","150.90","8957","0.23","0.00","0.51","2770","3.51","1.18","5.84","269","0.48","0.00","2.15","9425","1.15","0.16","2.14","Not Available","0.46","0.25","0.67"
"050129","ST BERNARDINE MEDICAL CENTER","2101 N WATERMAN AVE","","","SAN BERNARDINO","CA","92404","SAN BERNARDINO","9098814440","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","117","97.27","60.23","134.31","5962","0.24","0.00","0.53","2140","2.75","0.22","5.27","188","0.51","0.00","2.22","6363","1.76","0.62","2.90","Not Available","0.51","0.27","0.74"
"420020","GEORGETOWN MEMORIAL HOSPITAL","606 BLACK RIVER RD DRAWER 1718","","","GEORGETOWN","SC","29440","GEORGETOWN","8435277000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","26","154.90","104.43","205.36","4743","0.49","0.17","0.81","827","3.94","0.73","7.16","74","0.71","0.00","2.73","4751","2.15","0.59","3.71","Not Available","0.65","0.34","0.95"
"351307","ST ANDREWS HEALTH CENTER - CAH","316 OHMER STREET","","","BOTTINEAU","ND","58318","BOTTINEAU","7012289300","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"141304","GENESIS MEDICAL CENTER, ALEDO","409 NW 9TH AVENUE","","","ALEDO","IL","61231","MERCER","3095825301","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"360152","DOCTORS HOSPITAL","5100 WEST  BROAD STREET","","","COLUMBUS","OH","43228","FRANKLIN","6145441000","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","43","131.13","84.05","178.20","5373","0.32","0.00","0.65","1072","3.11","0.00","6.54","111","1.60","0.00","3.57","5636","1.89","0.50","3.28","Not Available","0.61","0.32","0.90"
"330264","ST LUKE'S CORNWALL HOSPITAL","70 DUBOIS STREET","","","NEWBURGH","NY","12550","ORANGE","8455614400","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","57","120.75","78.12","163.37","9128","0.18","0.00","0.46","1538","1.63","0.00","4.43","187","0.54","0.00","2.30","9495","1.32","0.16","2.48","Not Available","0.38","0.14","0.61"
"131327","GRITMAN MEDICAL CENTER","700 SOUTH MAIN STREET","","","MOSCOW","ID","83843","LATAH","2088832220","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"040004","WASHINGTON REGIONAL MED CTR AT NORTH HILLS","3215 N NORTH HILLS BLVD","","","FAYETTEVILLE","AR","72703","WASHINGTON","4794635113","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","80","112.67","70.83","154.52","9300","0.19","0.00","0.44","3895","2.55","0.64","4.45","615","1.08","0.00","2.37","10043","1.88","1.07","2.68","Not Available","0.49","0.32","0.66"
"231317","SPECTRUM HEALTH UNITED MEMORIAL - KELSEY CAMPUS","418 WASHINGTON","","","LAKEVIEW","MI","48850","LAKE","9893527211","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"051309","JEROLD PHELPS COMMUNITY HOSPITAL","733 CEDAR ST","","","GARBERVILLE","CA","95542","HUMBOLDT","7079233921","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Results cannot be calculated for this reporting period.","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"500060","CASCADE VALLEY HOSPITAL","330 S STILLAGUAMISH AVE","","","ARLINGTON","WA","98223","SNOHOMISH","3604352133","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","12","Not Available","Not Available","Not Available","981","0.28","0.00","0.70","277","3.84","0.00","8.14","52","0.75","0.00","2.84","1030","1.36","0.00","3.18","Not Available","0.50","0.12","0.89"
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","","","PORTSMOUTH","NH","03801","ROCKINGHAM","6034365110","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","77","117.69","77.81","157.56","5449","0.31","0.00","0.64","2239","2.02","0.00","4.16","176","1.99","0.24","3.74","6020","1.44","0.38","2.51","Not Available","0.47","0.25","0.68"
