"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia","Rate of readmission after hip or knee surgery","Footnote - Rate of readmission after hip or knee surgery ","Number of Patients - Rate of readmission after hip or knee surgery","RSRR - Rate of readmission after hip or knee surgery","Lower Readmission Estimate - Rate of readmission after hip or knee surgery","Upper Readmission Estimate - Rate of readmission after hip or knee surgery","All cause hospital-wide readmission","Footnote - All cause hospital-wide readmission","Number of Patients - All cause hospital-wide readmission","RSRR - All cause hospital-wide readmission","Lower Readmission Estimate - All cause hospital-wide readmission","Upper Readmission Estimate - All cause hospital-wide readmission","Complications and Deaths following hip/knee surgery","Footnote - Complications and Deaths following hip/knee surgery","Number of Patients - Complications and Deaths following hip/knee surgery","RSCR - Complications and Deaths following hip/knee surgery","Lower Readmission Estimate - Complications and Deaths following hip/knee surgery","Upper Readmission Estimate - Complications and Deaths following hip/knee surgery"
"260017","PHELPS COUNTY REGIONAL MEDICAL CENTER","1000 W 10TH ST","","","ROLLA","MO","65401","PHELPS","5734588899","14.0","No Different than U.S. National Rate","11.1","17.3","133","","12.9","No Different than U.S. National Rate","10.4","16.1","299","","12.1","No Different than U.S. National Rate","9.8","14.8","406","","17.7","No Different than U.S. National Rate","14.5","21.5","85","","22.4","No Different than U.S. National Rate","19.5","25.7","361","","16.1","No Different than U.S. National Rate","13.7","18.7","418","","No Different than U.S. National Rate","","227","4.6","3.2","6.3","Better than U.S. National Rate","","1525","14.0","13.0","15.6","No Different than U.S. National Rate","","215","","2.3","5.3"
"260020","MERCY HOSPITAL ST LOUIS","615 NEW BALLAS ROAD","","","SAINT LOUIS","MO","63141","SAINT LOUIS","3145696000","15.2","No Different than U.S. National Rate","12.6","18.3","329","","10.0","No Different than U.S. National Rate","8.3","11.9","773","","11.4","No Different than U.S. National Rate","9.7","13.3","746","","17.3","No Different than U.S. National Rate","14.7","20.3","341","","26.4","Worse than U.S. National Rate","23.9","28.9","959","","19.1","No Different than U.S. National Rate","16.9","21.4","797","","Worse than U.S. National Rate","","738","6.9","5.5","8.5","No Different than U.S. National Rate","","5819","15.7","15.0","16.5","No Different than U.S. National Rate","","678","","2.1","4.1"
"260022","NORTHEAST REGIONAL MEDICAL CENTER","315 S OSTEOPATHY","","","KIRKSVILLE","MO","63501","ADAIR","6607851000","15.8","No Different than U.S. National Rate","12.2","19.7","29","","13.1","No Different than U.S. National Rate","9.9","17.2","97","","10.5","No Different than U.S. National Rate","7.8","14.0","151","","Not Available","Number of Cases Too Small","Not Available","Not Available","17","The number of cases/patients is too few to report","25.5","No Different than U.S. National Rate","21.3","30.4","112","","16.8","No Different than U.S. National Rate","13.7","20.6","157","","No Different than U.S. National Rate","","107","5.5","3.9","7.7","No Different than U.S. National Rate","","980","15.6","14.3","17.0","No Different than U.S. National Rate","","99","","2.1","5.7"
"260023","MERCY HOSPITAL JEFFERSON","1400 HIGHWAY 61 SOUTH","","","CRYSTAL CITY","MO","63019","JEFFERSON","6369331000","13.3","No Different than U.S. National Rate","10.6","16.2","323","","10.8","No Different than U.S. National Rate","8.8","13.3","516","","10.0","No Different than U.S. National Rate","7.9","12.6","442","","17.8","No Different than U.S. National Rate","15.0","20.8","336","","24.7","No Different than U.S. National Rate","22.0","27.4","680","","18.6","No Different than U.S. National Rate","16.1","21.3","505","","No Different than U.S. National Rate","","169","7.0","5.1","9.5","Worse than U.S. National Rate","","2821","18.0","16.4","19.0","No Different than U.S. National Rate","","157","","1.9","5.0"
"260024","TEXAS COUNTY MEMORIAL HOSPITAL","1333 SAM HOUSTON BOULEVARD","","","HOUSTON","MO","65483","TEXAS","4179673311","Not Available","Number of Cases Too Small","Not Available","Not Available","20","The number of cases/patients is too few to report","11.2","No Different than U.S. National Rate","7.9","15.6","65","","12.0","No Different than U.S. National Rate","9.0","16.1","170","","Not Available","Number of Cases Too Small","Not Available","Not Available","16","The number of cases/patients is too few to report","25.6","No Different than U.S. National Rate","20.8","31.1","83","","17.2","No Different than U.S. National Rate","14.0","20.6","192","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","495","16.6","15.1","18.2","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"260025","HANNIBAL REGIONAL HOSPITAL","6000 HOSPITAL DR","","","HANNIBAL","MO","63401","MARION","5732481300","13.6","No Different than U.S. National Rate","10.7","17.0","176","","12.2","No Different than U.S. National Rate","9.5","15.2","311","","12.8","No Different than U.S. National Rate","10.3","15.8","412","","17.1","No Different than U.S. National Rate","14.0","20.6","158","","21.9","No Different than U.S. National Rate","18.7","25.3","344","","16.9","No Different than U.S. National Rate","14.3","19.8","451","","No Different than U.S. National Rate","","609","4.7","3.6","6.1","No Different than U.S. National Rate","","1729","15.0","13.8","16.2","No Different than U.S. National Rate","","555","","1.8","4.0"
"260027","RESEARCH MEDICAL CENTER","2316 E MEYER BLVD","","","KANSAS CITY","MO","64132","JACKSON","8162764000","16.0","No Different than U.S. National Rate","12.5","19.8","160","","11.1","No Different than U.S. National Rate","8.6","14.3","251","","13.9","No Different than U.S. National Rate","10.8","17.5","176","","18.3","No Different than U.S. National Rate","15.2","22.2","162","","22.4","No Different than U.S. National Rate","19.1","26.2","295","","19.0","No Different than U.S. National Rate","15.7","22.5","191","","No Different than U.S. National Rate","","103","5.4","3.7","7.7","No Different than U.S. National Rate","","2001","16.3","15.3","17.4","No Different than U.S. National Rate","","96","","2.2","6.1"
"260032","BARNES JEWISH HOSPITAL","ONE BARNES-JEWISH HOSPITAL PLAZA","","","SAINT LOUIS","MO","63110","SAINT LOUIS CITY","3147473000","13.4","No Different than U.S. National Rate","11.2","15.9","507","","11.1","No Different than U.S. National Rate","9.4","13.1","869","","13.0","No Different than U.S. National Rate","10.9","15.6","519","","19.4","No Different than U.S. National Rate","17.0","21.8","654","","27.8","Worse than U.S. National Rate","25.7","30.1","1196","","21.9","Worse than U.S. National Rate","19.3","24.7","567","","No Different than U.S. National Rate","","729","4.9","3.8","6.4","Worse than U.S. National Rate","","10099","18.4","16.6","19.0","Better than U.S. National Rate","","665","","1.5","3.2"
"260034","BATES COUNTY MEMORIAL HOSPITAL","615 W NURSERY ST","","","BUTLER","MO","64730","BATES","6602007000","Not Available","Number of Cases Too Small","Not Available","Not Available","13","The number of cases/patients is too few to report","11.2","No Different than U.S. National Rate","8.3","15.4","97","","8.9","No Different than U.S. National Rate","6.5","12.2","150","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","The number of cases/patients is too few to report","25.3","No Different than U.S. National Rate","21.1","30.0","125","","18.7","No Different than U.S. National Rate","15.6","22.5","169","","No Different than U.S. National Rate","","36","5.6","3.9","8.1","No Different than U.S. National Rate","","345","17.3","15.6","19.1","No Different than U.S. National Rate","","35","","2.6","7.5"
"260040","COX MEDICAL CENTER","3801 SOUTH NATIONAL AVENUE","","","SPRINGFIELD","MO","65807","GREENE","4172696000","17.0","No Different than U.S. National Rate","14.6","19.6","594","","12.9","No Different than U.S. National Rate","10.8","15.1","694","","10.4","No Different than U.S. National Rate","8.9","12.2","1000","","19.0","No Different than U.S. National Rate","16.5","21.7","595","","19.6","Better than U.S. National Rate","17.3","22.2","789","","16.9","No Different than U.S. National Rate","15.0","18.9","1043","","No Different than U.S. National Rate","","780","4.9","3.8","6.2","No Different than U.S. National Rate","","5619","15.5","14.8","16.2","No Different than U.S. National Rate","","722","","2.4","4.6"
"260047","CAPITAL REGION MEDICAL CENTER","1125 MADISON ST","","","JEFFERSON CITY","MO","65102","COLE","5736325000","15.6","No Different than U.S. National Rate","12.1","20.0","201","","14.3","Worse than U.S. National Rate","11.8","17.3","397","","10.1","No Different than U.S. National Rate","8.0","12.6","411","","16.5","No Different than U.S. National Rate","13.4","19.9","202","","24.4","No Different than U.S. National Rate","21.3","28.0","431","","18.5","No Different than U.S. National Rate","15.6","21.7","428","","No Different than U.S. National Rate","","249","5.2","3.7","7.1","No Different than U.S. National Rate","","2334","15.5","14.5","16.5","No Different than U.S. National Rate","","228","","2.0","4.9"
"260048","TRUMAN MEDICAL CENTER HOSPITAL HILL","2301 HOLMES STREET","","","KANSAS CITY","MO","64108","JACKSON","8164041000","Not Available","Number of Cases Too Small","Not Available","Not Available","23","The number of cases/patients is too few to report","12.1","No Different than U.S. National Rate","8.5","16.6","85","","11.5","No Different than U.S. National Rate","7.6","16.8","46","","Not Available","Number of Cases Too Small","Not Available","Not Available","21","The number of cases/patients is too few to report","25.5","No Different than U.S. National Rate","21.3","30.6","109","","18.4","No Different than U.S. National Rate","14.7","23.0","50","","Number of Cases Too Small","The number of cases/patients is too few to report","8","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","495","16.0","14.6","17.5","Number of Cases Too Small","The number of cases/patients is too few to report","10","","Not Available","Not Available"
"26004F","KANSAS CITY VA MEDICAL CENTER","4801 LINWOOD BLVD.","","","KANSAS CITY                   ","MO","64128","JACKSON","8168614700","15.2","No Different than U.S. National Rate","11.6","19.5","79","","9.2","No Different than U.S. National Rate","7.0","12.3","265","","10.8","No Different than U.S. National Rate","8.4","13.7","330","","20.0","No Different than U.S. National Rate","16.4","24.3","85","","25.2","No Different than U.S. National Rate","22.0","28.8","342","","19.8","No Different than U.S. National Rate","16.9","23.0","358","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"260050","ST FRANCIS HOSPITAL","2016 SOUTH MAIN ST","","","MARYVILLE","MO","64468","NODAWAY","6605622600","Not Available","Number of Cases Too Small","Not Available","Not Available","12","The number of cases/patients is too few to report","13.8","No Different than U.S. National Rate","9.9","18.5","72","","13.4","No Different than U.S. National Rate","9.9","17.7","127","","Not Available","Number of Cases Too Small","Not Available","Not Available","11","The number of cases/patients is too few to report","19.7","No Different than U.S. National Rate","15.7","24.2","90","","15.0","No Different than U.S. National Rate","11.9","18.8","124","","No Different than U.S. National Rate","","71","5.5","3.6","8.0","No Different than U.S. National Rate","","270","14.8","13.2","16.5","No Different than U.S. National Rate","","67","","2.3","6.7"
"260052","MERCY HOSPITAL WASHINGTON","901 EAST 5TH STREET","","","WASHINGTON","MO","63090","FRANKLIN","6362398000","15.3","No Different than U.S. National Rate","11.9","19.6","76","","13.2","No Different than U.S. National Rate","10.4","16.5","227","","11.9","No Different than U.S. National Rate","8.9","15.5","227","","17.3","No Different than U.S. National Rate","13.8","21.3","56","","22.0","No Different than U.S. National Rate","18.5","25.7","274","","18.7","No Different than U.S. National Rate","15.4","22.4","238","","No Different than U.S. National Rate","","325","4.2","3.0","5.8","No Different than U.S. National Rate","","1203","15.4","14.2","16.7","No Different than U.S. National Rate","","294","","1.7","4.2"
"260057","CAMERON REGIONAL MEDICAL CENTER","1600 E EVERGREEN","","","CAMERON","MO","64429","CLINTON","8166322101","Not Available","Number of Cases Too Small","Not Available","Not Available","23","The number of cases/patients is too few to report","13.4","No Different than U.S. National Rate","10.2","17.1","124","","17.6","Worse than U.S. National Rate","14.4","21.4","276","","Not Available","Number of Cases Too Small","Not Available","Not Available","17","The number of cases/patients is too few to report","23.0","No Different than U.S. National Rate","19.0","27.3","135","","17.8","No Different than U.S. National Rate","14.9","21.1","280","","No Different than U.S. National Rate","","60","5.3","3.5","7.6","No Different than U.S. National Rate","","665","17.2","15.7","18.7","No Different than U.S. National Rate","","51","","2.2","6.1"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","","","LEBANON","MO","65536","LACLEDE","4175336100","Not Available","Number of Cases Too Small","Not Available","Not Available","10","The number of cases/patients is too few to report","15.0","No Different than U.S. National Rate","11.1","20.0","97","","12.1","No Different than U.S. National Rate","9.1","15.9","163","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","The number of cases/patients is too few to report","22.5","No Different than U.S. National Rate","18.4","27.3","119","","19.0","No Different than U.S. National Rate","15.7","22.7","171","","No Different than U.S. National Rate","","159","5.5","3.9","7.7","No Different than U.S. National Rate","","616","15.5","14.0","17.1","No Different than U.S. National Rate","","150","","2.2","5.8"
"260061","NEVADA REGIONAL MEDICAL CENTER","800 S ASH ST","","","NEVADA","MO","64772","VERNON","4176673355","Not Available","Number of Cases Too Small","Not Available","Not Available","12","The number of cases/patients is too few to report","12.7","No Different than U.S. National Rate","9.1","17.5","80","","15.2","No Different than U.S. National Rate","11.0","20.3","93","","Not Available","Number of Cases Too Small","Not Available","Not Available","11","The number of cases/patients is too few to report","22.3","No Different than U.S. National Rate","18.2","27.3","86","","16.8","No Different than U.S. National Rate","13.6","20.7","104","","Number of Cases Too Small","The number of cases/patients is too few to report","18","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","269","15.5","13.7","17.2","Number of Cases Too Small","The number of cases/patients is too few to report","18","","Not Available","Not Available"
"260062","ST LUKES NORTHLAND HOSPITAL","5830 N W BARRY ROAD","","","KANSAS CITY","MO","64154","PLATTE","8168916000","13.4","No Different than U.S. National Rate","9.9","17.8","85","","11.8","No Different than U.S. National Rate","8.9","15.3","172","","13.8","No Different than U.S. National Rate","10.5","18.1","180","","18.7","No Different than U.S. National Rate","15.3","22.9","86","","22.1","No Different than U.S. National Rate","18.5","26.1","198","","18.6","No Different than U.S. National Rate","15.2","22.3","189","","No Different than U.S. National Rate","","137","5.7","4.0","8.2","No Different than U.S. National Rate","","1201","16.3","15.1","17.6","No Different than U.S. National Rate","","126","","2.1","5.7"
"260064","AUDRAIN MEDICAL CENTER","620 E MONROE","","","MEXICO","MO","65265","AUDRAIN","5735825000","14.2","No Different than U.S. National Rate","10.8","18.6","52","","10.9","No Different than U.S. National Rate","8.5","13.9","285","","11.0","No Different than U.S. National Rate","8.4","14.3","282","","17.7","No Different than U.S. National Rate","14.0","21.8","51","","18.1","Better than U.S. National Rate","15.3","21.5","332","","16.3","No Different than U.S. National Rate","13.6","19.5","286","","No Different than U.S. National Rate","","140","5.2","3.7","7.4","No Different than U.S. National Rate","","1089","16.4","15.1","17.6","No Different than U.S. National Rate","","124","","2.0","5.4"
"260065","MERCY HOSPITAL SPRINGFIELD","1235 E CHEROKEE","","","SPRINGFIELD","MO","65804","GREENE","4178202000","14.6","No Different than U.S. National Rate","12.1","17.4","556","","15.2","Worse than U.S. National Rate","13.1","17.5","822","","15.2","Worse than U.S. National Rate","13.1","17.6","751","","16.7","No Different than U.S. National Rate","14.2","19.6","562","","18.3","Better than U.S. National Rate","16.2","20.8","937","","16.4","No Different than U.S. National Rate","14.2","18.7","760","","No Different than U.S. National Rate","","1138","4.6","3.7","5.8","Better than U.S. National Rate","","6772","15.1","14.3","15.9","No Different than U.S. National Rate","","1033","","2.7","4.7"
"260068","BOONE HOSPITAL CENTER","1600 E BROADWAY","","","COLUMBIA","MO","65201","BOONE","5738158000","12.5","Better than U.S. National Rate","10.3","15.0","538","","10.9","No Different than U.S. National Rate","9.1","13.0","727","","10.8","No Different than U.S. National Rate","8.8","13.2","607","","18.4","No Different than U.S. National Rate","16.1","21.1","660","","19.8","Better than U.S. National Rate","17.7","22.1","951","","16.6","No Different than U.S. National Rate","14.4","19.1","632","","No Different than U.S. National Rate","","1480","5.2","4.3","6.2","Better than U.S. National Rate","","6364","14.9","14.2","15.9","Better than U.S. National Rate","","1368","","1.5","2.7"
"260070","PEMISCOT MEMORIAL HOSPITAL","946 EAST REED","","","HAYTI","MO","63851","PEMISCOT","5733591372","Not Available","Number of Cases Too Small","Not Available","Not Available","18","The number of cases/patients is too few to report","11.8","No Different than U.S. National Rate","8.8","15.7","128","","10.9","No Different than U.S. National Rate","7.8","15.1","54","","Not Available","Number of Cases Too Small","Not Available","Not Available","8","The number of cases/patients is too few to report","24.6","No Different than U.S. National Rate","20.7","29.2","158","","18.5","No Different than U.S. National Rate","14.7","23.3","51","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","477","17.4","15.7","19.2","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"260074","MOBERLY REGIONAL MEDICAL CENTER","1515 UNION AVE","","","MOBERLY","MO","65270","RANDOLPH","6602638400","14.8","No Different than U.S. National Rate","11.6","19.1","65","","11.1","No Different than U.S. National Rate","8.4","14.6","146","","11.1","No Different than U.S. National Rate","8.0","15.3","132","","18.7","No Different than U.S. National Rate","15.3","22.8","63","","22.1","No Different than U.S. National Rate","18.3","26.4","153","","17.7","No Different than U.S. National Rate","14.4","21.6","150","","No Different than U.S. National Rate","","96","6.1","4.3","8.6","No Different than U.S. National Rate","","793","16.2","14.8","17.6","No Different than U.S. National Rate","","85","","2.5","7.0"
"260077","ST ANTHONY'S MEDICAL CENTER","10010 KENNERLY ROAD","","","SAINT LOUIS","MO","63128","SAINT LOUIS","3145251000","16.1","No Different than U.S. National Rate","13.4","19.2","432","","12.8","No Different than U.S. National Rate","11.1","14.9","945","","12.3","No Different than U.S. National Rate","10.7","14.1","1005","","19.6","No Different than U.S. National Rate","16.9","22.5","446","","24.4","No Different than U.S. National Rate","22.3","26.6","1204","","20.5","Worse than U.S. National Rate","18.4","22.6","1072","","No Different than U.S. National Rate","","893","4.7","3.6","5.9","Worse than U.S. National Rate","","6015","17.6","16.3","18.4","No Different than U.S. National Rate","","810","","2.5","4.8"
"260078","OZARKS MEDICAL CENTER","1100 KENTUCKY AVE","","","WEST PLAINS","MO","65775","HOWELL","4172569111","14.5","No Different than U.S. National Rate","11.1","18.7","136","","13.1","No Different than U.S. National Rate","10.1","16.9","194","","14.7","No Different than U.S. National Rate","11.8","18.1","338","","16.5","No Different than U.S. National Rate","13.4","20.2","132","","20.7","No Different than U.S. National Rate","17.3","24.7","221","","18.5","No Different than U.S. National Rate","15.7","21.7","361","","No Different than U.S. National Rate","","54","6.4","4.4","9.0","No Different than U.S. National Rate","","1300","15.9","14.7","17.0","No Different than U.S. National Rate","","52","","2.8","7.5"
"26007F","POPLAR BLUFF VA MEDICAL CENTER","1500 N. WESTWOOD BLVD.","","","POPLAR BLUFF                  ","MO","63901","BUTLER","5736864151","Not Available","Number of Cases Too Small","Not Available","Not Available","20","The number of cases/patients is too few to report","11.9","No Different than U.S. National Rate","8.9","15.8","162","","11.5","No Different than U.S. National Rate","8.1","15.8","108","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","The number of cases/patients is too few to report","27.6","Worse than U.S. National Rate","23.6","32.2","200","","16.8","No Different than U.S. National Rate","13.5","20.6","121","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"260080","SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY","109 PLUM ST","","","DONIPHAN","MO","63935","RIPLEY","5739962141","Not Available","Number of Cases Too Small","Not Available","Not Available","4","The number of cases/patients is too few to report","10.9","No Different than U.S. National Rate","7.5","15.1","38","","12.3","No Different than U.S. National Rate","8.8","16.8","83","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","The number of cases/patients is too few to report","24.7","No Different than U.S. National Rate","20.0","29.9","44","","19.6","No Different than U.S. National Rate","16.0","23.8","86","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","111","16.5","14.5","18.5","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"260081","SSM ST CLARE HEALTH CENTER","1015 BOWLES","","","FENTON","MO","63026","JEFFERSON","6364962000","14.5","No Different than U.S. National Rate","11.5","17.9","242","","12.0","No Different than U.S. National Rate","9.8","14.7","413","","11.8","No Different than U.S. National Rate","9.4","14.7","303","","19.5","No Different than U.S. National Rate","16.3","22.9","270","","22.1","No Different than U.S. National Rate","19.4","25.2","505","","19.2","No Different than U.S. National Rate","16.5","22.7","323","","No Different than U.S. National Rate","","321","5.5","4.1","7.4","No Different than U.S. National Rate","","2836","15.9","15.0","16.9","No Different than U.S. National Rate","","303","","2.5","5.6"
"260085","ST JOSEPH MEDICAL CENTER","1000 CARONDELET DR","","","KANSAS CITY","MO","64114","JACKSON","8169424000","15.9","No Different than U.S. National Rate","13.0","19.2","292","","13.1","No Different than U.S. National Rate","10.9","15.7","499","","12.9","No Different than U.S. National Rate","10.8","15.1","594","","19.5","No Different than U.S. National Rate","16.5","22.9","300","","21.2","No Different than U.S. National Rate","18.6","24.1","595","","16.0","No Different than U.S. National Rate","13.8","18.5","619","","No Different than U.S. National Rate","","290","6.1","4.5","8.3","No Different than U.S. National Rate","","3273","15.8","14.9","16.7","No Different than U.S. National Rate","","270","","3.2","6.8"
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","","","RICHMOND HEIGHTS","MO","63117","SAINT LOUIS","3147688000","14.3","No Different than U.S. National Rate","11.3","17.9","173","","9.2","Better than U.S. National Rate","7.4","11.5","492","","11.1","No Different than U.S. National Rate","8.9","13.7","316","","18.4","No Different than U.S. National Rate","15.2","22.1","164","","25.9","Worse than U.S. National Rate","23.1","29.0","621","","19.1","No Different than U.S. National Rate","16.2","22.3","325","","No Different than U.S. National Rate","","226","6.2","4.5","8.4","No Different than U.S. National Rate","","2854","16.6","15.7","17.6","No Different than U.S. National Rate","","213","","2.6","6.4"
"260094","COX MEDICAL CENTER BRANSON","PO BOX 650 BUS HWY 65 & SKAGGS RD","","","BRANSON","MO","65616","TANEY","4173357000","12.7","No Different than U.S. National Rate","9.9","16.1","198","","9.3","No Different than U.S. National Rate","7.2","11.8","277","","8.6","Better than U.S. National Rate","6.6","11.0","270","","18.1","No Different than U.S. National Rate","14.9","21.8","209","","22.0","No Different than U.S. National Rate","19.0","25.3","386","","15.9","No Different than U.S. National Rate","13.3","18.8","302","","No Different than U.S. National Rate","","217","4.2","3.0","5.8","No Different than U.S. National Rate","","1745","15.1","14.1","16.1","No Different than U.S. National Rate","","191","","1.6","4.1"
"260095","CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC","19600 EAST 39TH STREET","","","INDEPENDENCE","MO","64057","JACKSON","8166987000","15.6","No Different than U.S. National Rate","12.6","19.2","257","","13.6","No Different than U.S. National Rate","11.1","16.5","408","","13.1","No Different than U.S. National Rate","10.5","16.4","331","","20.0","No Different than U.S. National Rate","16.8","23.6","254","","20.1","No Different than U.S. National Rate","17.3","23.2","474","","19.0","No Different than U.S. National Rate","16.0","22.4","350","","No Different than U.S. National Rate","","312","4.5","3.3","6.1","No Different than U.S. National Rate","","2886","15.9","14.9","16.8","No Different than U.S. National Rate","","285","","1.8","4.2"
"260096","NORTH KANSAS CITY HOSPITAL","2800 CLAY EDWARDS DRIVE","","","NORTH KANSAS CITY","MO","64116","CLAY","8166912000","16.0","No Different than U.S. National Rate","13.2","19.4","358","","9.8","No Different than U.S. National Rate","8.1","11.8","809","","10.8","No Different than U.S. National Rate","8.9","13.1","714","","19.6","No Different than U.S. National Rate","16.7","22.8","379","","23.2","No Different than U.S. National Rate","20.9","25.6","1029","","18.3","No Different than U.S. National Rate","16.1","20.7","803","","No Different than U.S. National Rate","","945","6.2","5.0","7.6","No Different than U.S. National Rate","","5929","15.2","14.5","16.1","Worse than U.S. National Rate","","853","","3.5","5.9"
"260097","WESTERN MISSOURI MEDICAL CENTER","403 BURKARTH ROAD","","","WARRENSBURG","MO","64093","JOHNSON","6607472500","16.2","No Different than U.S. National Rate","12.8","20.2","36","","15.5","Worse than U.S. National Rate","11.8","19.7","118","","13.9","No Different than U.S. National Rate","10.8","17.6","206","","Not Available","Number of Cases Too Small","Not Available","Not Available","23","The number of cases/patients is too few to report","22.9","No Different than U.S. National Rate","18.9","27.6","131","","16.8","No Different than U.S. National Rate","13.6","20.5","200","","No Different than U.S. National Rate","","126","6.5","4.6","9.4","No Different than U.S. National Rate","","740","16.0","14.5","17.6","No Different than U.S. National Rate","","118","","3.2","8.2"
"26009F","ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER","915 NORTH GRAND","","","ST. LOUIS                     ","MO","63106","SAINT LOUIS CITY","3146524100","12.4","No Different than U.S. National Rate","9.3","16.5","120","","9.2","No Different than U.S. National Rate","7.2","11.9","441","","11.8","No Different than U.S. National Rate","8.7","15.8","174","","21.1","No Different than U.S. National Rate","17.5","25.2","144","","27.6","Worse than U.S. National Rate","24.7","30.9","605","","20.5","No Different than U.S. National Rate","17.2","24.4","194","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
