"State","Diagnosis Related Group","Number Of Cases","Footnote"
"OH","Hernia procedures except inguinal and femoral w CC","399",""
"OK","Hernia procedures except inguinal and femoral w CC","165",""
"OR","Hernia procedures except inguinal and femoral w CC","115",""
"PA","Hernia procedures except inguinal and femoral w CC","391",""
"PR","Hernia procedures except inguinal and femoral w CC","15",""
"RI","Hernia procedures except inguinal and femoral w CC","32",""
"SC","Hernia procedures except inguinal and femoral w CC","194",""
"SD","Hernia procedures except inguinal and femoral w CC","36",""
"TN","Hernia procedures except inguinal and femoral w CC","217",""
"TX","Hernia procedures except inguinal and femoral w CC","746",""
"UT","Hernia procedures except inguinal and femoral w CC","55",""
"VA","Hernia procedures except inguinal and femoral w CC","241",""
"VT","Hernia procedures except inguinal and femoral w CC","16",""
"WA","Hernia procedures except inguinal and femoral w CC","208",""
"WI","Hernia procedures except inguinal and femoral w CC","226",""
"WV","Hernia procedures except inguinal and femoral w CC","43",""
"WY","Hernia procedures except inguinal and femoral w CC","*","The number of cases/patients is too few to report"
"AK","Major small and large bowel procedures w/o CC/MCC","58",""
"AL","Major small and large bowel procedures w/o CC/MCC","490",""
"AR","Major small and large bowel procedures w/o CC/MCC","295",""
"AZ","Major small and large bowel procedures w/o CC/MCC","426",""
"CA","Major small and large bowel procedures w/o CC/MCC","1720",""
"CO","Major small and large bowel procedures w/o CC/MCC","311",""
"CT","Major small and large bowel procedures w/o CC/MCC","347",""
"DC","Major small and large bowel procedures w/o CC/MCC","142",""
"DE","Major small and large bowel procedures w/o CC/MCC","144",""
"FL","Major small and large bowel procedures w/o CC/MCC","1641",""
"GA","Major small and large bowel procedures w/o CC/MCC","795",""
"GU","Major small and large bowel procedures w/o CC/MCC","*","The number of cases/patients is too few to report"
"HI","Major small and large bowel procedures w/o CC/MCC","54",""
"IA","Major small and large bowel procedures w/o CC/MCC","313",""
"ID","Major small and large bowel procedures w/o CC/MCC","115",""
"IL","Major small and large bowel procedures w/o CC/MCC","922",""
"IN","Major small and large bowel procedures w/o CC/MCC","667",""
"KS","Major small and large bowel procedures w/o CC/MCC","261",""
"KY","Major small and large bowel procedures w/o CC/MCC","517",""
"LA","Major small and large bowel procedures w/o CC/MCC","445",""
"MA","Major small and large bowel procedures w/o CC/MCC","661",""
"MD","Major small and large bowel procedures w/o CC/MCC","461",""
"ME","Major small and large bowel procedures w/o CC/MCC","120",""
"MI","Major small and large bowel procedures w/o CC/MCC","918",""
"MN","Major small and large bowel procedures w/o CC/MCC","383",""
"MO","Major small and large bowel procedures w/o CC/MCC","675",""
"MS","Major small and large bowel procedures w/o CC/MCC","420",""
"MT","Major small and large bowel procedures w/o CC/MCC","86",""
"NC","Major small and large bowel procedures w/o CC/MCC","952",""
"ND","Major small and large bowel procedures w/o CC/MCC","104",""
"NE","Major small and large bowel procedures w/o CC/MCC","176",""
"NH","Major small and large bowel procedures w/o CC/MCC","113",""
"NJ","Major small and large bowel procedures w/o CC/MCC","719",""
"NM","Major small and large bowel procedures w/o CC/MCC","125",""
"NV","Major small and large bowel procedures w/o CC/MCC","121",""
"NY","Major small and large bowel procedures w/o CC/MCC","1332",""
"OH","Major small and large bowel procedures w/o CC/MCC","926",""
"OK","Major small and large bowel procedures w/o CC/MCC","429",""
"OR","Major small and large bowel procedures w/o CC/MCC","198",""
"PA","Major small and large bowel procedures w/o CC/MCC","1015",""
"PR","Major small and large bowel procedures w/o CC/MCC","144",""
"RI","Major small and large bowel procedures w/o CC/MCC","72",""
"SC","Major small and large bowel procedures w/o CC/MCC","505",""
"SD","Major small and large bowel procedures w/o CC/MCC","88",""
"TN","Major small and large bowel procedures w/o CC/MCC","675",""
"TX","Major small and large bowel procedures w/o CC/MCC","1791",""
"UT","Major small and large bowel procedures w/o CC/MCC","146",""
"VA","Major small and large bowel procedures w/o CC/MCC","823",""
"VI","Major small and large bowel procedures w/o CC/MCC","21",""
"VT","Major small and large bowel procedures w/o CC/MCC","54",""
"WA","Major small and large bowel procedures w/o CC/MCC","442",""
"WI","Major small and large bowel procedures w/o CC/MCC","377",""
"WV","Major small and large bowel procedures w/o CC/MCC","182",""
"WY","Major small and large bowel procedures w/o CC/MCC","49",""
"AK","Major small and large bowel procedures w CC","92",""
"AL","Major small and large bowel procedures w CC","1175",""
"AR","Major small and large bowel procedures w CC","735",""
"AZ","Major small and large bowel procedures w CC","1052",""
"CA","Major small and large bowel procedures w CC","3928",""
"CO","Major small and large bowel procedures w CC","739",""
"CT","Major small and large bowel procedures w CC","686",""
"DC","Major small and large bowel procedures w CC","183",""
"DE","Major small and large bowel procedures w CC","242",""
"FL","Major small and large bowel procedures w CC","4083",""
"GA","Major small and large bowel procedures w CC","1595",""
"GU","Major small and large bowel procedures w CC","*","The number of cases/patients is too few to report"
"HI","Major small and large bowel procedures w CC","117",""
"IA","Major small and large bowel procedures w CC","631",""
"ID","Major small and large bowel procedures w CC","215",""
"IL","Major small and large bowel procedures w CC","2595",""
"IN","Major small and large bowel procedures w CC","1326",""
"KS","Major small and large bowel procedures w CC","688",""
"KY","Major small and large bowel procedures w CC","1113",""
"LA","Major small and large bowel procedures w CC","883",""
"MA","Major small and large bowel procedures w CC","1433",""
"MD","Major small and large bowel procedures w CC","1143",""
"ME","Major small and large bowel procedures w CC","329",""
"MI","Major small and large bowel procedures w CC","1907",""
"MN","Major small and large bowel procedures w CC","1129",""
"MO","Major small and large bowel procedures w CC","1498",""
"MS","Major small and large bowel procedures w CC","763",""
"MT","Major small and large bowel procedures w CC","206",""
"NC","Major small and large bowel procedures w CC","1796",""
"ND","Major small and large bowel procedures w CC","202",""
"NE","Major small and large bowel procedures w CC","469",""
"NH","Major small and large bowel procedures w CC","281",""
"NJ","Major small and large bowel procedures w CC","1780",""
"NM","Major small and large bowel procedures w CC","247",""
"NV","Major small and large bowel procedures w CC","332",""
"NY","Major small and large bowel procedures w CC","2988",""
"OH","Major small and large bowel procedures w CC","2070",""
"OK","Major small and large bowel procedures w CC","826",""
"OR","Major small and large bowel procedures w CC","529",""
"PA","Major small and large bowel procedures w CC","2437",""
"PR","Major small and large bowel procedures w CC","166",""
"RI","Major small and large bowel procedures w CC","222",""
"SC","Major small and large bowel procedures w CC","1062",""
"SD","Major small and large bowel procedures w CC","282",""
"TN","Major small and large bowel procedures w CC","1334",""
"TX","Major small and large bowel procedures w CC","3992",""
"UT","Major small and large bowel procedures w CC","328",""
"VA","Major small and large bowel procedures w CC","1372",""
"VI","Major small and large bowel procedures w CC","12",""
"VT","Major small and large bowel procedures w CC","105",""
"WA","Major small and large bowel procedures w CC","1059",""
"WI","Major small and large bowel procedures w CC","1144",""
"WV","Major small and large bowel procedures w CC","427",""
"WY","Major small and large bowel procedures w CC","77",""
"AK","Major small and large bowel procedures w MCC","60",""
"AL","Major small and large bowel procedures w MCC","881",""
"AR","Major small and large bowel procedures w MCC","500",""
"AS","Major small and large bowel procedures w MCC","*","The number of cases/patients is too few to report"
"AZ","Major small and large bowel procedures w MCC","724",""
"CA","Major small and large bowel procedures w MCC","2960",""
"CO","Major small and large bowel procedures w MCC","545",""
"CT","Major small and large bowel procedures w MCC","531",""
"DC","Major small and large bowel procedures w MCC","147",""
"DE","Major small and large bowel procedures w MCC","169",""
"FL","Major small and large bowel procedures w MCC","3124",""
"GA","Major small and large bowel procedures w MCC","1152",""
"GU","Major small and large bowel procedures w MCC","*","The number of cases/patients is too few to report"
"HI","Major small and large bowel procedures w MCC","92",""
"IA","Major small and large bowel procedures w MCC","503",""
"ID","Major small and large bowel procedures w MCC","148",""
"IL","Major small and large bowel procedures w MCC","1983",""
"IN","Major small and large bowel procedures w MCC","1103",""
"KS","Major small and large bowel procedures w MCC","439",""
"KY","Major small and large bowel procedures w MCC","842",""
"LA","Major small and large bowel procedures w MCC","698",""
"MA","Major small and large bowel procedures w MCC","1027",""
"MD","Major small and large bowel procedures w MCC","826",""
"ME","Major small and large bowel procedures w MCC","200",""
"MI","Major small and large bowel procedures w MCC","1667",""
"MN","Major small and large bowel procedures w MCC","667",""
"MO","Major small and large bowel procedures w MCC","1040",""
"MS","Major small and large bowel procedures w MCC","567",""
"MT","Major small and large bowel procedures w MCC","135",""
"NC","Major small and large bowel procedures w MCC","1424",""
"ND","Major small and large bowel procedures w MCC","143",""
"NE","Major small and large bowel procedures w MCC","342",""
"NH","Major small and large bowel procedures w MCC","211",""
"NJ","Major small and large bowel procedures w MCC","1477",""
"NM","Major small and large bowel procedures w MCC","184",""
"NV","Major small and large bowel procedures w MCC","313",""
"NY","Major small and large bowel procedures w MCC","2225",""
"OH","Major small and large bowel procedures w MCC","1854",""
"OK","Major small and large bowel procedures w MCC","622",""
"OR","Major small and large bowel procedures w MCC","342",""
"PA","Major small and large bowel procedures w MCC","1929",""
"PR","Major small and large bowel procedures w MCC","121",""
"RI","Major small and large bowel procedures w MCC","138",""
"SC","Major small and large bowel procedures w MCC","699",""
"SD","Major small and large bowel procedures w MCC","173",""
"TN","Major small and large bowel procedures w MCC","1034",""
"TX","Major small and large bowel procedures w MCC","3089",""
"UT","Major small and large bowel procedures w MCC","199",""
"VA","Major small and large bowel procedures w MCC","1105",""
"VI","Major small and large bowel procedures w MCC","*","The number of cases/patients is too few to report"
"VT","Major small and large bowel procedures w MCC","70",""
"WA","Major small and large bowel procedures w MCC","764",""
"WI","Major small and large bowel procedures w MCC","729",""
"WV","Major small and large bowel procedures w MCC","357",""
"WY","Major small and large bowel procedures w MCC","56",""
"AK","Stomach, esophageal duodenal proc w/o CC/MCC","17",""
"AL","Stomach, esophageal duodenal proc w/o CC/MCC","227",""
"AR","Stomach, esophageal duodenal proc w/o CC/MCC","173",""
"AZ","Stomach, esophageal duodenal proc w/o CC/MCC","184",""
"CA","Stomach, esophageal duodenal proc w/o CC/MCC","679",""
"CO","Stomach, esophageal duodenal proc w/o CC/MCC","156",""
"CT","Stomach, esophageal duodenal proc w/o CC/MCC","140",""
"DC","Stomach, esophageal duodenal proc w/o CC/MCC","40",""
"DE","Stomach, esophageal duodenal proc w/o CC/MCC","42",""
"FL","Stomach, esophageal duodenal proc w/o CC/MCC","654",""
"GA","Stomach, esophageal duodenal proc w/o CC/MCC","293",""
"HI","Stomach, esophageal duodenal proc w/o CC/MCC","16",""
"IA","Stomach, esophageal duodenal proc w/o CC/MCC","70",""
"ID","Stomach, esophageal duodenal proc w/o CC/MCC","60",""
"IL","Stomach, esophageal duodenal proc w/o CC/MCC","407",""
"IN","Stomach, esophageal duodenal proc w/o CC/MCC","266",""
"KS","Stomach, esophageal duodenal proc w/o CC/MCC","75",""
"KY","Stomach, esophageal duodenal proc w/o CC/MCC","204",""
"LA","Stomach, esophageal duodenal proc w/o CC/MCC","176",""
"MA","Stomach, esophageal duodenal proc w/o CC/MCC","244",""
"MD","Stomach, esophageal duodenal proc w/o CC/MCC","140",""
"ME","Stomach, esophageal duodenal proc w/o CC/MCC","48",""
"MI","Stomach, esophageal duodenal proc w/o CC/MCC","387",""
"MN","Stomach, esophageal duodenal proc w/o CC/MCC","209",""
"MO","Stomach, esophageal duodenal proc w/o CC/MCC","211",""
"MS","Stomach, esophageal duodenal proc w/o CC/MCC","161",""
"MT","Stomach, esophageal duodenal proc w/o CC/MCC","42",""
"NC","Stomach, esophageal duodenal proc w/o CC/MCC","376",""
"ND","Stomach, esophageal duodenal proc w/o CC/MCC","23",""
"NE","Stomach, esophageal duodenal proc w/o CC/MCC","87",""
"NH","Stomach, esophageal duodenal proc w/o CC/MCC","35",""
"NJ","Stomach, esophageal duodenal proc w/o CC/MCC","182",""
"NM","Stomach, esophageal duodenal proc w/o CC/MCC","52",""
"NV","Stomach, esophageal duodenal proc w/o CC/MCC","55",""
"NY","Stomach, esophageal duodenal proc w/o CC/MCC","545",""
"OH","Stomach, esophageal duodenal proc w/o CC/MCC","314",""
"OK","Stomach, esophageal duodenal proc w/o CC/MCC","154",""
"OR","Stomach, esophageal duodenal proc w/o CC/MCC","178",""
"PA","Stomach, esophageal duodenal proc w/o CC/MCC","431",""
"PR","Stomach, esophageal duodenal proc w/o CC/MCC","14",""
"RI","Stomach, esophageal duodenal proc w/o CC/MCC","23",""
"SC","Stomach, esophageal duodenal proc w/o CC/MCC","199",""
"SD","Stomach, esophageal duodenal proc w/o CC/MCC","39",""
"TN","Stomach, esophageal duodenal proc w/o CC/MCC","255",""
"TX","Stomach, esophageal duodenal proc w/o CC/MCC","807",""
"UT","Stomach, esophageal duodenal proc w/o CC/MCC","65",""
"VA","Stomach, esophageal duodenal proc w/o CC/MCC","282",""
"VI","Stomach, esophageal duodenal proc w/o CC/MCC","*","The number of cases/patients is too few to report"
"VT","Stomach, esophageal duodenal proc w/o CC/MCC","21",""
"WA","Stomach, esophageal duodenal proc w/o CC/MCC","228",""
"WI","Stomach, esophageal duodenal proc w/o CC/MCC","181",""
"WV","Stomach, esophageal duodenal proc w/o CC/MCC","87",""
"WY","Stomach, esophageal duodenal proc w/o CC/MCC","18",""
"AK","Cervical spinal fusion w/o CC/MCC","78",""
"AL","Cervical spinal fusion w/o CC/MCC","1067",""
"AR","Cervical spinal fusion w/o CC/MCC","432",""
"AZ","Cervical spinal fusion w/o CC/MCC","440",""
"CA","Cervical spinal fusion w/o CC/MCC","1748",""
"CO","Cervical spinal fusion w/o CC/MCC","391",""
"CT","Cervical spinal fusion w/o CC/MCC","267",""
"DC","Cervical spinal fusion w/o CC/MCC","129",""
"DE","Cervical spinal fusion w/o CC/MCC","77",""
"FL","Cervical spinal fusion w/o CC/MCC","2336",""
"GA","Cervical spinal fusion w/o CC/MCC","1355",""
"HI","Cervical spinal fusion w/o CC/MCC","29",""
"IA","Cervical spinal fusion w/o CC/MCC","228",""
"ID","Cervical spinal fusion w/o CC/MCC","189",""
"IL","Cervical spinal fusion w/o CC/MCC","829",""
"IN","Cervical spinal fusion w/o CC/MCC","679",""
"KS","Cervical spinal fusion w/o CC/MCC","294",""
"KY","Cervical spinal fusion w/o CC/MCC","599",""
"LA","Cervical spinal fusion w/o CC/MCC","611",""
"MA","Cervical spinal fusion w/o CC/MCC","431",""
"MD","Cervical spinal fusion w/o CC/MCC","495",""
"ME","Cervical spinal fusion w/o CC/MCC","125",""
"MI","Cervical spinal fusion w/o CC/MCC","1038",""
"MN","Cervical spinal fusion w/o CC/MCC","342",""
"MO","Cervical spinal fusion w/o CC/MCC","806",""
"MS","Cervical spinal fusion w/o CC/MCC","443",""
"MT","Cervical spinal fusion w/o CC/MCC","142",""
"NC","Cervical spinal fusion w/o CC/MCC","1375",""
"ND","Cervical spinal fusion w/o CC/MCC","71",""
"NE","Cervical spinal fusion w/o CC/MCC","205",""
"NH","Cervical spinal fusion w/o CC/MCC","111",""
"NJ","Cervical spinal fusion w/o CC/MCC","322",""
"NM","Cervical spinal fusion w/o CC/MCC","89",""
"NV","Cervical spinal fusion w/o CC/MCC","384",""
"NY","Cervical spinal fusion w/o CC/MCC","941",""
"OH","Cervical spinal fusion w/o CC/MCC","1035",""
"OK","Cervical spinal fusion w/o CC/MCC","613",""
"OR","Cervical spinal fusion w/o CC/MCC","327",""
"PA","Cervical spinal fusion w/o CC/MCC","943",""
"PR","Cervical spinal fusion w/o CC/MCC","42",""
"RI","Cervical spinal fusion w/o CC/MCC","72",""
"SC","Cervical spinal fusion w/o CC/MCC","849",""
"SD","Cervical spinal fusion w/o CC/MCC","119",""
"TN","Cervical spinal fusion w/o CC/MCC","1099",""
"TX","Cervical spinal fusion w/o CC/MCC","2663",""
"UT","Cervical spinal fusion w/o CC/MCC","218",""
"VA","Cervical spinal fusion w/o CC/MCC","852",""
"VT","Cervical spinal fusion w/o CC/MCC","31",""
"WA","Cervical spinal fusion w/o CC/MCC","624",""
"WI","Cervical spinal fusion w/o CC/MCC","316",""
"WV","Cervical spinal fusion w/o CC/MCC","157",""
"WY","Cervical spinal fusion w/o CC/MCC","72",""
"AK","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"AL","Cervical spinal fusion w MCC","70",""
"AR","Cervical spinal fusion w MCC","32",""
"AZ","Cervical spinal fusion w MCC","62",""
"CA","Cervical spinal fusion w MCC","314",""
"CO","Cervical spinal fusion w MCC","52",""
"CT","Cervical spinal fusion w MCC","34",""
"DC","Cervical spinal fusion w MCC","31",""
"DE","Cervical spinal fusion w MCC","14",""
"FL","Cervical spinal fusion w MCC","258",""
"GA","Cervical spinal fusion w MCC","112",""
"HI","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"IA","Cervical spinal fusion w MCC","31",""
"ID","Cervical spinal fusion w MCC","21",""
"IL","Cervical spinal fusion w MCC","160",""
"IN","Cervical spinal fusion w MCC","73",""
"KS","Cervical spinal fusion w MCC","33",""
"KY","Cervical spinal fusion w MCC","49",""
"LA","Cervical spinal fusion w MCC","56",""
"MA","Cervical spinal fusion w MCC","76",""
"MD","Cervical spinal fusion w MCC","89",""
"ME","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"MI","Cervical spinal fusion w MCC","141",""
"MN","Cervical spinal fusion w MCC","50",""
"MO","Cervical spinal fusion w MCC","78",""
"MS","Cervical spinal fusion w MCC","50",""
"MT","Cervical spinal fusion w MCC","11",""
"NC","Cervical spinal fusion w MCC","139",""
"ND","Cervical spinal fusion w MCC","13",""
"NE","Cervical spinal fusion w MCC","11",""
"NH","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"NJ","Cervical spinal fusion w MCC","58",""
"NM","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"NV","Cervical spinal fusion w MCC","35",""
"NY","Cervical spinal fusion w MCC","127",""
"OH","Cervical spinal fusion w MCC","133",""
"OK","Cervical spinal fusion w MCC","39",""
"OR","Cervical spinal fusion w MCC","27",""
"PA","Cervical spinal fusion w MCC","124",""
"PR","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"RI","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"SC","Cervical spinal fusion w MCC","55",""
"SD","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"TN","Cervical spinal fusion w MCC","104",""
"TX","Cervical spinal fusion w MCC","317",""
"UT","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"VA","Cervical spinal fusion w MCC","83",""
"VT","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"WA","Cervical spinal fusion w MCC","66",""
"WI","Cervical spinal fusion w MCC","40",""
"WV","Cervical spinal fusion w MCC","21",""
"WY","Cervical spinal fusion w MCC","*","The number of cases/patients is too few to report"
"AK","Cervical spinal fusion w CC","21",""
"AL","Cervical spinal fusion w CC","247",""
"AR","Cervical spinal fusion w CC","140",""
"AZ","Cervical spinal fusion w CC","228",""
"CA","Cervical spinal fusion w CC","828",""
"CO","Cervical spinal fusion w CC","241",""
"CT","Cervical spinal fusion w CC","82",""
"DC","Cervical spinal fusion w CC","48",""
"DE","Cervical spinal fusion w CC","40",""
"FL","Cervical spinal fusion w CC","854",""
"GA","Cervical spinal fusion w CC","366",""
"HI","Cervical spinal fusion w CC","*","The number of cases/patients is too few to report"
"IA","Cervical spinal fusion w CC","75",""
"ID","Cervical spinal fusion w CC","66",""
"IL","Cervical spinal fusion w CC","494",""
"IN","Cervical spinal fusion w CC","226",""
"KS","Cervical spinal fusion w CC","94",""
"KY","Cervical spinal fusion w CC","179",""
"LA","Cervical spinal fusion w CC","189",""
"MA","Cervical spinal fusion w CC","189",""
"MD","Cervical spinal fusion w CC","288",""
"ME","Cervical spinal fusion w CC","37",""
"MI","Cervical spinal fusion w CC","447",""
"MN","Cervical spinal fusion w CC","211",""
"MO","Cervical spinal fusion w CC","287",""
"MS","Cervical spinal fusion w CC","126",""
"MT","Cervical spinal fusion w CC","46",""
"NC","Cervical spinal fusion w CC","437",""
"ND","Cervical spinal fusion w CC","45",""
"NE","Cervical spinal fusion w CC","85",""
"NH","Cervical spinal fusion w CC","34",""
"NJ","Cervical spinal fusion w CC","150",""
"NM","Cervical spinal fusion w CC","31",""
"NV","Cervical spinal fusion w CC","116",""
"NY","Cervical spinal fusion w CC","430",""
"OH","Cervical spinal fusion w CC","438",""
"OK","Cervical spinal fusion w CC","180",""
"OR","Cervical spinal fusion w CC","125",""
"PA","Cervical spinal fusion w CC","449",""
"PR","Cervical spinal fusion w CC","*","The number of cases/patients is too few to report"
"RI","Cervical spinal fusion w CC","32",""
"SC","Cervical spinal fusion w CC","211",""
"SD","Cervical spinal fusion w CC","48",""
"TN","Cervical spinal fusion w CC","315",""
"TX","Cervical spinal fusion w CC","980",""
"UT","Cervical spinal fusion w CC","60",""
"VA","Cervical spinal fusion w CC","279",""
"VT","Cervical spinal fusion w CC","16",""
"WA","Cervical spinal fusion w CC","203",""
"WI","Cervical spinal fusion w CC","153",""
"WV","Cervical spinal fusion w CC","55",""
"WY","Cervical spinal fusion w CC","22",""
"AK","Spinal fusion except cervical w/o MCC","137",""
"AL","Spinal fusion except cervical w/o MCC","1757",""
"AR","Spinal fusion except cervical w/o MCC","837",""
"AZ","Spinal fusion except cervical w/o MCC","1364",""
"CA","Spinal fusion except cervical w/o MCC","4592",""
"CO","Spinal fusion except cervical w/o MCC","1533",""
"CT","Spinal fusion except cervical w/o MCC","669",""
"DC","Spinal fusion except cervical w/o MCC","306",""
"DE","Spinal fusion except cervical w/o MCC","411",""
"FL","Spinal fusion except cervical w/o MCC","5760",""
"GA","Spinal fusion except cervical w/o MCC","2508",""
"HI","Spinal fusion except cervical w/o MCC","94",""
"IA","Spinal fusion except cervical w/o MCC","744",""
"ID","Spinal fusion except cervical w/o MCC","570",""
"IL","Spinal fusion except cervical w/o MCC","2536",""
"IN","Spinal fusion except cervical w/o MCC","1901",""
"KS","Spinal fusion except cervical w/o MCC","970",""
"KY","Spinal fusion except cervical w/o MCC","990",""
"LA","Spinal fusion except cervical w/o MCC","1079",""
"MA","Spinal fusion except cervical w/o MCC","1265",""
"MD","Spinal fusion except cervical w/o MCC","1326",""
"ME","Spinal fusion except cervical w/o MCC","336",""
"MI","Spinal fusion except cervical w/o MCC","3118",""
"MN","Spinal fusion except cervical w/o MCC","1144",""
"MO","Spinal fusion except cervical w/o MCC","1954",""
"MS","Spinal fusion except cervical w/o MCC","618",""
"MT","Spinal fusion except cervical w/o MCC","419",""
"NC","Spinal fusion except cervical w/o MCC","2765",""
"ND","Spinal fusion except cervical w/o MCC","187",""
"NE","Spinal fusion except cervical w/o MCC","596",""
"NH","Spinal fusion except cervical w/o MCC","306",""
"NJ","Spinal fusion except cervical w/o MCC","986",""
"NM","Spinal fusion except cervical w/o MCC","283",""
"NV","Spinal fusion except cervical w/o MCC","785",""
"NY","Spinal fusion except cervical w/o MCC","2584",""
"OH","Spinal fusion except cervical w/o MCC","2851",""
"OK","Spinal fusion except cervical w/o MCC","1133",""
"OR","Spinal fusion except cervical w/o MCC","859",""
"PA","Spinal fusion except cervical w/o MCC","2661",""
"PR","Spinal fusion except cervical w/o MCC","105",""
"RI","Spinal fusion except cervical w/o MCC","243",""
"SC","Spinal fusion except cervical w/o MCC","1867",""
"SD","Spinal fusion except cervical w/o MCC","461",""
"TN","Spinal fusion except cervical w/o MCC","2122",""
"TX","Spinal fusion except cervical w/o MCC","5549",""
"UT","Spinal fusion except cervical w/o MCC","693",""
"VA","Spinal fusion except cervical w/o MCC","2346",""
"VI","Spinal fusion except cervical w/o MCC","*","The number of cases/patients is too few to report"
"VT","Spinal fusion except cervical w/o MCC","126",""
"WA","Spinal fusion except cervical w/o MCC","1433",""
"WI","Spinal fusion except cervical w/o MCC","995",""
"WV","Spinal fusion except cervical w/o MCC","228",""
"WY","Spinal fusion except cervical w/o MCC","224",""
"AK","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"AL","Spinal fusion except cervical w MCC","78",""
"AR","Spinal fusion except cervical w MCC","27",""
"AZ","Spinal fusion except cervical w MCC","85",""
"CA","Spinal fusion except cervical w MCC","345",""
"CO","Spinal fusion except cervical w MCC","128",""
"CT","Spinal fusion except cervical w MCC","43",""
"DC","Spinal fusion except cervical w MCC","26",""
"DE","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"FL","Spinal fusion except cervical w MCC","301",""
"GA","Spinal fusion except cervical w MCC","145",""
"HI","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"IA","Spinal fusion except cervical w MCC","56",""
"ID","Spinal fusion except cervical w MCC","24",""
"IL","Spinal fusion except cervical w MCC","200",""
"IN","Spinal fusion except cervical w MCC","110",""
"KS","Spinal fusion except cervical w MCC","66",""
"KY","Spinal fusion except cervical w MCC","80",""
"LA","Spinal fusion except cervical w MCC","59",""
"MA","Spinal fusion except cervical w MCC","94",""
"MD","Spinal fusion except cervical w MCC","92",""
"ME","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"MI","Spinal fusion except cervical w MCC","227",""
"MN","Spinal fusion except cervical w MCC","103",""
"MO","Spinal fusion except cervical w MCC","145",""
"MS","Spinal fusion except cervical w MCC","25",""
"MT","Spinal fusion except cervical w MCC","22",""
"NC","Spinal fusion except cervical w MCC","181",""
"ND","Spinal fusion except cervical w MCC","18",""
"NE","Spinal fusion except cervical w MCC","31",""
"NH","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"NJ","Spinal fusion except cervical w MCC","80",""
"NM","Spinal fusion except cervical w MCC","14",""
"NV","Spinal fusion except cervical w MCC","45",""
"NY","Spinal fusion except cervical w MCC","168",""
"OH","Spinal fusion except cervical w MCC","183",""
"OK","Spinal fusion except cervical w MCC","34",""
"OR","Spinal fusion except cervical w MCC","35",""
"PA","Spinal fusion except cervical w MCC","191",""
"PR","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"RI","Spinal fusion except cervical w MCC","16",""
"SC","Spinal fusion except cervical w MCC","84",""
"SD","Spinal fusion except cervical w MCC","13",""
"TN","Spinal fusion except cervical w MCC","123",""
"TX","Spinal fusion except cervical w MCC","327",""
"UT","Spinal fusion except cervical w MCC","34",""
"VA","Spinal fusion except cervical w MCC","167",""
"VI","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"VT","Spinal fusion except cervical w MCC","*","The number of cases/patients is too few to report"
"WA","Spinal fusion except cervical w MCC","93",""
"WI","Spinal fusion except cervical w MCC","64",""
"WV","Spinal fusion except cervical w MCC","20",""
"WY","Spinal fusion except cervical w MCC","14",""
"AK","Back and neck proc exc spinal fusion w/o CC/MCC","83",""
"AL","Back and neck proc exc spinal fusion w/o CC/MCC","608",""
"AR","Back and neck proc exc spinal fusion w/o CC/MCC","616",""
"AZ","Back and neck proc exc spinal fusion w/o CC/MCC","588",""
"CA","Back and neck proc exc spinal fusion w/o CC/MCC","2688",""
"CO","Back and neck proc exc spinal fusion w/o CC/MCC","474",""
"CT","Back and neck proc exc spinal fusion w/o CC/MCC","352",""
"DC","Back and neck proc exc spinal fusion w/o CC/MCC","167",""
"DE","Back and neck proc exc spinal fusion w/o CC/MCC","104",""
"FL","Back and neck proc exc spinal fusion w/o CC/MCC","1860",""
"GA","Back and neck proc exc spinal fusion w/o CC/MCC","723",""
"GU","Back and neck proc exc spinal fusion w/o CC/MCC","*","The number of cases/patients is too few to report"
"HI","Back and neck proc exc spinal fusion w/o CC/MCC","20",""
"IA","Back and neck proc exc spinal fusion w/o CC/MCC","322",""
"ID","Back and neck proc exc spinal fusion w/o CC/MCC","163",""
"IL","Back and neck proc exc spinal fusion w/o CC/MCC","1413",""
"IN","Back and neck proc exc spinal fusion w/o CC/MCC","523",""
"KS","Back and neck proc exc spinal fusion w/o CC/MCC","416",""
"KY","Back and neck proc exc spinal fusion w/o CC/MCC","417",""
"LA","Back and neck proc exc spinal fusion w/o CC/MCC","385",""
