Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"240078","FAIRVIEW SOUTHDALE HOSPITAL","6401 FRANCE AVENUE SOUTH","EDINA","MN","55435","HENNEPIN","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","10","18"
"240080","UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","2450 RIVERSIDE AVENUE","MINNEAPOLIS","MN","55454","HENNEPIN","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3","12"
"240084","VIRGINIA REGIONAL MEDICAL CENTER","901 9TH STREET NORTH","VIRGINIA","MN","55792","ST. LOUIS","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","2 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","16","13"
"240088","RICE MEMORIAL HOSPITAL","301 BECKER AVE SW","WILLMAR","MN","56201","KANDIYOHI","3 out of 10","1 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","0 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","0 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","29","20"
"240093","MAYO CLINIC HEALTH SYSTEM - MANKATO","1025 MARSH STREET BOX 8673","MANKATO","MN","56002","BLUE EARTH","2 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","19","15"
"240100","SANFORD BEMIDJI MEDICAL CENTER","1300 ANNE ST NW","BEMIDJI","MN","56601","BELTRAMI","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6","14"
"240101","ESSENTIA HEALTH ST MARYS","1027 WASHINGTON AVE","DETROIT LAKES","MN","56501","BECKER","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","11","16"
"240104","ST FRANCIS REGIONAL MEDICAL CENTER","1455 ST FRANCIS AVENUE","SHAKOPEE","MN","55379","SCOTT","5 out of 10","3 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","5 out of 10","1 out of 9","5 out of 10","4 out of 10","4 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","5 out of 9","7 out of 10","6 out of 10","4 out of 9","6 out of 10","41","20"
"230005","EMMA L BIXBY MEDICAL CENTER","818 RIVERSIDE AVENUE","ADRIAN","MI","49221","LENAWEE","3 out of 10","0 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","4 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","23","19"
"230013","DOCTORS' HOSPITAL OF MICHIGAN","461 W HURON ST","PONTIAC","MI","48341","OAKLAND","0 out of 10","0 out of 9","0 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","10","16"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","THREE RIVERS","MI","49093","ST. JOSEPH","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","9 out of 10","8 out of 9","9 out of 10","0 out of 10","0 out of 9","0 out of 10","21","14"
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET","KALAMAZOO","MI","49007","KALAMAZOO","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","7 out of 10","6 out of 9","7 out of 10","7 out of 10","0 out of 9","7 out of 10","26","20"
"230019","PROVIDENCE HOSPITAL AND MEDICAL CENTERS","16001 W NINE MILE RD","SOUTHFIELD","MI","48075","OAKLAND","1 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","3 out of 10","2 out of 9","3 out of 10","17","16"
"230020","OAKWOOD HOSPITAL AND MEDICAL CENTER","18101 OAKWOOD BLVD","DEARBORN","MI","48124","WAYNE","6 out of 10","1 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","3 out of 9","4 out of 10","5 out of 10","3 out of 9","5 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","22","17"
"230021","LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","ST JOSEPH","MI","49085","BERRIEN","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6","18"
"230022","COMMUNITY HEALTH CENTER OF BRANCH COUNTY","274 E CHICAGO ST","COLDWATER","MI","49036","BRANCH","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","4 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","2 out of 10","3 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","4 out of 9","4 out of 10","28","19"
"230024","SINAI-GRACE HOSPITAL","6071 W OUTER DRIVE","DETROIT","MI","48235","WAYNE","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","9","14"
"230029","ST JOSEPH MERCY OAKLAND","44405 WOODWARD AVE","PONTIAC","MI","48341","OAKLAND","3 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","3 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","17","14"
"230030","MIDMICHIGAN MEDICAL CENTER-GRATIOT","300 E WARWICK DR","ALMA","MI","48801","GRATIOT","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","3 out of 9","5 out of 10","4 out of 10","5 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","3 out of 10","0 out of 9","3 out of 10","33","17"
"230031","ST JOSEPH MERCY PORT HURON","2601 ELECTRIC AVENUE","PORT HURON","MI","48060","SAINT CLAIR","5 out of 10","4 out of 9","5 out of 10","1 out of 10","1 out of 9","1 out of 10","4 out of 10","3 out of 9","4 out of 10","5 out of 10","6 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","7 out of 10","5 out of 9","7 out of 10","4 out of 10","2 out of 9","4 out of 10","31","18"
"230035","SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS","615 S BOWER STREET","GREENVILLE","MI","48838","MONTCALM","4 out of 10","3 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0 out of 9","6 out of 10","4 out of 10","0 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","1 out of 9","4 out of 10","32","19"
"230036","ALPENA REGIONAL MEDICAL CENTER","1501 W CHISHOLM ST","ALPENA","MI","49707","ALPENA","0 out of 10","5 out of 9","5 out of 10","1 out of 10","4 out of 9","4 out of 10","6 out of 10","7 out of 9","7 out of 10","2 out of 10","6 out of 9","6 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","33","16"
"230037","HILLSDALE COMMUNITY HEALTH CENTER","168 S HOWELL STREET","HILLSDALE","MI","49242","HILLSDALE","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","4 out of 10","6 out of 9","6 out of 10","0 out of 10","3 out of 9","3 out of 10","15","18"
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","GRAND RAPIDS","MI","49503","KENT","5 out of 10","2 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","1 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","3 out of 9","6 out of 10","5 out of 10","1 out of 9","5 out of 10","23","19"
"230040","PENNOCK HOSPITAL","1009 W GREEN ST","HASTINGS","MI","49058","BARRY","2 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","1 out of 10","2 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","2 out of 10","0 out of 9","2 out of 10","30","20"
"230041","MCLAREN BAY REGION","1900 COLUMBUS AVE","BAY CITY","MI","48708","BAY","2 out of 10","1 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","1 out of 10","1 out of 9","1 out of 10","19","17"
"230046","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","1500 E MEDICAL CENTER DRIVE, SPC 5474","ANN ARBOR","MI","48109","WASHTENAW","2 out of 10","1 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","9 out of 10","0 out of 9","9 out of 10","4 out of 10","0 out of 9","4 out of 10","16","12"
"230047","HENRY FORD MACOMB HOSPITAL","15855 NINETEEN MILE RD","CLINTON TOWNSHIP","MI","48038","MACOMB","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0","12"
"230053","HENRY FORD HOSPITAL","2799 W GRAND BLVD","DETROIT","MI","48202","WAYNE","1 out of 10","0 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","9","18"
"230054","MARQUETTE GENERAL HOSPITAL","420 W MAGNETIC","MARQUETTE","MI","49855","MARQUETTE","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","6 out of 10","1 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","15","18"
"230055","DICKINSON COUNTY MEMORIAL HOSPITAL","1721 S STEPHENSON AVE","IRON MOUNTAIN","MI","49801","DICKINSON","5 out of 10","4 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","2 out of 9","4 out of 10","3 out of 10","1 out of 9","3 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","5 out of 9","6 out of 10","2 out of 10","2 out of 9","2 out of 10","35","20"
"230058","MERCY HOSPITAL - GRAYLING","1100 E MICHIGAN AVE","GRAYLING","MI","49738","CRAWFORD","7 out of 10","4 out of 9","7 out of 10","4 out of 10","3 out of 9","4 out of 10","8 out of 10","4 out of 9","8 out of 10","4 out of 10","1 out of 9","4 out of 10","8 out of 10","6 out of 9","8 out of 10","3 out of 10","2 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","3 out of 9","5 out of 10","49","20"
"230059","SAINT MARY'S HEALTH CARE","200 JEFFERSON AVENUE SE","GRAND RAPIDS","MI","49503","KENT","5 out of 10","3 out of 9","5 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","9 out of 10","6 out of 9","9 out of 10","6 out of 10","3 out of 9","6 out of 10","32","20"
"230066","MERCY HEALTH PARTNERS, HACKLEY CAMPUS","1700 CLINTON STREET","MUSKEGON","MI","49442","MUSKEGON","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","6 out of 10","3 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","7","12"
"230069","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD","HOWELL","MI","48843","LIVINGSTON","3 out of 10","0 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","0 out of 9","8 out of 10","2 out of 10","1 out of 9","2 out of 10","32","19"
"230070","COVENANT MEDICAL CENTER, INC","1447 N HARRISON","SAGINAW","MI","48602","SAGINAW","7 out of 10","5 out of 9","7 out of 10","0 out of 10","3 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","6 out of 10","1 out of 9","6 out of 10","5 out of 10","5 out of 9","5 out of 10","33","18"
"230072","HOLLAND COMMUNITY HOSPITAL","602 MICHIGAN AVE","HOLLAND","MI","49423","OTTAWA","5 out of 10","3 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","4 out of 9","6 out of 10","8 out of 10","8 out of 9","8 out of 10","9 out of 10","8 out of 9","9 out of 10","5 out of 10","2 out of 9","5 out of 10","10 out of 10","9 out of 9","10 out of 10","8 out of 10","2 out of 9","8 out of 10","55","20"
"230075","BRONSON BATTLE CREEK HOSPITAL","300 NORTH AVENUE","BATTLE CREEK","MI","49017","CALHOUN","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","6","16"
"230077","ST MARY'S OF MICHIGAN MEDICAL CENTER","800 S WASHINGTON AVENUE","SAGINAW","MI","48601","SAGINAW","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","1 out of 9","4 out of 10","1 out of 10","4 out of 9","4 out of 10","17","12"
"230078","LAKELAND COMMUNITY HOSPITAL, WATERVLIET","400 MEDICAL PARK DR","WATERVLIET","MI","49098","BERRIEN","4 out of 10","0 out of 9","4 out of 10","7 out of 10","6 out of 9","7 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","4 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","10 out of 10","9 out of 9","10 out of 10","6 out of 10","2 out of 9","6 out of 10","55","20"
"230080","MCLAREN - CENTRAL MICHIGAN","1221 SOUTH DRIVE","MOUNT PLEASANT","MI","48858","ISABELLA","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","9 out of 10","0 out of 9","9 out of 10","4 out of 10","0 out of 9","4 out of 10","19","17"
"230081","MERCY HOSPITAL - CADILLAC","400 HOBART ST","CADILLAC","MI","49601","WEXFORD","8 out of 10","5 out of 9","8 out of 10","3 out of 10","0 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","10 out of 10","9 out of 9","10 out of 10","4 out of 10","0 out of 9","4 out of 10","45","20"
"230085","SOUTH HAVEN COMMUNITY HOSPITAL","955 S BAILEY AVE","SOUTH HAVEN","MI","49090","VAN BUREN","5 out of 10","4 out of 9","5 out of 10","6 out of 10","4 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","6 out of 10","5 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","4 out of 10","4 out of 9","4 out of 10","6 out of 10","2 out of 9","6 out of 10","5 out of 10","4 out of 9","5 out of 10","47","20"
"230089","BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","GROSSE POINTE","MI","48230","WAYNE","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","16","19"
"230092","ALLEGIANCE HEALTH","205 N EAST AVE","JACKSON","MI","49201","JACKSON","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","11","18"
"230093","MECOSTA COUNTY MEDICAL CENTER","605 OAK STREET","BIG RAPIDS","MI","49307","MECOSTA","3 out of 10","3 out of 9","3 out of 10","4 out of 10","4 out of 9","4 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","16","19"
"230095","WEST BRANCH REGIONAL MEDICAL CENTER","2463 SOUTH M-30","WEST BRANCH","MI","48661","OGEMAW","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","5 out of 10","6 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","8 out of 10","6 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","28","19"
"230096","STURGIS HOSPITAL","916 MYRTLE AVE","STURGIS","MI","49091","ST. JOSEPH","5 out of 10","3 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","4 out of 9","4 out of 10","4 out of 10","2 out of 9","4 out of 10","9 out of 10","8 out of 9","9 out of 10","5 out of 10","0 out of 9","5 out of 10","35","19"
"230097","MUNSON MEDICAL CENTER","1105 SIXTH STREET","TRAVERSE CITY","MI","49684","GRAND TRAVERSE","10 out of 10","9 out of 9","10 out of 10","3 out of 10","1 out of 9","3 out of 10","9 out of 10","7 out of 9","9 out of 10","7 out of 10","0 out of 9","7 out of 10","7 out of 10","2 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","3 out of 9","7 out of 10","9 out of 10","0 out of 9","9 out of 10","52","19"
"230099","MERCY MEMORIAL HOSPITAL SYSTEM","718 N MACOMB ST","MONROE","MI","48162","MONROE","1 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","10","13"
"230100","TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","TAWAS CITY","MI","48764","IOSCO","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","0 out of 9","2 out of 10","28","20"
"230101","ST FRANCIS HOSPITAL","3401 LUDINGTON ST","ESCANABA","MI","49829","DELTA","5 out of 10","0 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","8 out of 10","3 out of 9","8 out of 10","5 out of 10","0 out of 9","5 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","2 out of 9","5 out of 10","1 out of 10","0 out of 9","1 out of 10","30","19"
"230104","HARPER UNIVERSITY HOSPITAL","3990 JOHN R STREET","DETROIT","MI","48201","WAYNE","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","5","18"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","PETOSKEY","MI","49770","EMMET","7 out of 10","4 out of 9","7 out of 10","5 out of 10","3 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","8 out of 10","4 out of 9","8 out of 10","1 out of 10","2 out of 9","2 out of 10","10 out of 10","0 out of 9","10 out of 10","7 out of 10","4 out of 9","7 out of 10","51","20"
"230106","SPECTRUM HEALTH GERBER MEMORIAL","212 S SULLIVAN ST","FREMONT","MI","49412","NEWAYGO","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","9 out of 10","0 out of 9","9 out of 10","3 out of 10","0 out of 9","3 out of 10","35","19"
"230108","PORTAGE HEALTH HOSPITAL","500 CAMPUS DRIVE","HANCOCK","MI","49930","HOUGHTON","10 out of 10","9 out of 9","10 out of 10","8 out of 10","8 out of 9","8 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","3 out of 9","5 out of 10","7 out of 10","1 out of 9","7 out of 10","5 out of 10","1 out of 9","5 out of 10","9 out of 10","9 out of 9","9 out of 10","7 out of 10","7 out of 9","7 out of 10","61","20"
"230110","MEMORIAL MEDICAL CENTER OF WEST MICHIGAN","1 N ATKINSON DRIVE","LUDINGTON","MI","49431","MASON","3 out of 10","3 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","6 out of 10","1 out of 9","6 out of 10","5 out of 10","4 out of 9","5 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","10 out of 10","9 out of 9","10 out of 10","3 out of 10","2 out of 9","3 out of 10","34","20"
