Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,HF-1 Performance Rate,HF-1 Achievement Points,HF-1 Improvement Points,HF-1 Measure Score,HF Condition/Procedure Score
"260091","SSM ST MARYS HEALTH CENTER","6420 CLAYTON RD","RICHMOND HEIGHTS","MO","63117","ST. LOUIS","0.9849","8 out of 10","7 out of 9","8 out of 10","8"
"260094","SKAGGS REGIONAL MEDICAL CENTER","PO BOX 650 BUS HWY 65 & SKAGGS RD","BRANSON","MO","65616","TANEY","0.9500","5 out of 10","6 out of 9","6 out of 10","6"
"260095","CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC","19600 EAST 39TH STREET","INDEPENDENCE","MO","64057","JACKSON","0.9745","7 out of 10","2 out of 9","7 out of 10","7"
"260096","NORTH KANSAS CITY HOSPITAL","2800 CLAY EDWARDS DRIVE","NORTH KANSAS CITY","MO","64116","CLAY","0.9815","8 out of 10","5 out of 9","8 out of 10","8"
"260097","WESTERN MISSOURI MEDICAL CENTER","403 BURKARTH ROAD","WARRENSBURG","MO","64093","JOHNSON","0.4286","0 out of 10","0 out of 9","0 out of 10","0"
"260102","TRUMAN MEDICAL CENTER LAKEWOOD","7900 LEE'S SUMMIT RD","KANSAS CITY","MO","64139","JACKSON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"260104","SSM DEPAUL HEALTH CENTER","12303 DEPAUL DRIVE","BRIDGETON","MO","63044","ST. LOUIS","0.9713","7 out of 10","7 out of 9","7 out of 10","7"
"260105","ST LOUIS UNIVERSITY HOSPITAL","3635 VISTA AVE","SAINT LOUIS","MO","63110","ST. LOUIS CITY","0.9904","9 out of 10","0 out of 9","9 out of 10","9"
"260108","MISSOURI BAPTIST MEDICAL CENTER","3015 N BALLAS RD","TOWN AND COUNTRY","MO","63131","ST. LOUIS","0.9894","8 out of 10","9 out of 9","9 out of 10","9"
"260110","SOUTHEAST MISSOURI HOSPITAL","1701 LACEY ST","CAPE GIRARDEAU","MO","63701","CAPE GIRARDEAU","0.9510","5 out of 10","8 out of 9","8 out of 10","8"
"260113","MISSOURI DELTA MEDICAL CENTER","1008 NORTH MAIN ST","SIKESTON","MO","63801","NEW MADRID","0.9746","7 out of 10","8 out of 9","8 out of 10","8"
"260115","MISSOURI BAPTIST HOSPITAL SULLIVAN","751 SAPPINGTON BRIDGE RD","SULLIVAN","MO","63080","FRANKLIN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"260116","MINERAL AREA REGIONAL MEDICAL CENTER","1212 WEBER RD","FARMINGTON","MO","63640","ST. FRANCOIS","0.8537","0 out of 10","4 out of 9","4 out of 10","4"
"260119","POPLAR BLUFF REGIONAL MEDICAL CENTER","2620 N WESTWOOD BLVD","POPLAR BLUFF","MO","63901","BUTLER","0.9349","3 out of 10","0 out of 9","3 out of 10","3"
"260137","FREEMAN HEALTH SYSTEM - FREEMAN WEST","1102 WEST 32ND STREET","JOPLIN","MO","64804","JASPER","0.6935","0 out of 10","0 out of 9","0 out of 10","0"
"260138","ST LUKES HOSPITAL OF KANSAS CITY","4401 WORNALL ROAD","KANSAS CITY","MO","64111","JACKSON","0.8992","0 out of 10","5 out of 9","5 out of 10","5"
"260141","UNIVERSITY OF MISSOURI HEALTH CARE","ONE HOSPITAL DRIVE, ROOM CE121, DC031,00","COLUMBIA","MO","65201","BOONE","0.9826","8 out of 10","8 out of 9","8 out of 10","8"
"260142","FITZGIBBON MEMORIAL HOSPITAL","2305 S 65 HIGHWAY","MARSHALL","MO","65340","SALINE","0.9231","2 out of 10","8 out of 9","8 out of 10","8"
"260162","BARNES-JEWISH WEST COUNTY HOSPITAL","12634 OLIVE BOULEVARD","CREVE COEUR","MO","63141","ST. LOUIS","0.9375","3 out of 10","4 out of 9","4 out of 10","4"
"260163","PARKLAND HEALTH CENTER","1101 W LIBERTY","FARMINGTON","MO","63640","ST. FRANCOIS","0.8571","0 out of 10","2 out of 9","2 out of 10","2"
"260175","GOLDEN VALLEY MEMORIAL HOSPITAL","1600 N 2ND ST","CLINTON","MO","64735","HENRY","0.7679","0 out of 10","2 out of 9","2 out of 10","2"
"260176","DES PERES HOSPITAL","2345 DOUGHERTY FERRY ROAD","SAINT LOUIS","MO","63122","ST. LOUIS","0.9483","4 out of 10","3 out of 9","4 out of 10","4"
"260177","LIBERTY HOSPITAL","2525 GLENN HENDREN DR","LIBERTY","MO","64069","CLAY","0.8258","0 out of 10","3 out of 9","3 out of 10","3"
"260179","ST LUKES HOSPITAL","232 S WOODS MILL RD","CHESTERFIELD","MO","63017","ST. LOUIS","0.9533","5 out of 10","4 out of 9","5 out of 10","5"
"260180","CHRISTIAN HOSPITAL NORTHEAST","11133 DUNN ROAD","SAINT LOUIS","MO","63136","ST. LOUIS","0.9385","4 out of 10","6 out of 9","6 out of 10","6"
"260183","ST FRANCIS MEDICAL CENTER","211 ST FRANCIS DR","CAPE GIRARDEAU","MO","63703","CAPE GIRARDEAU","0.8889","0 out of 10","1 out of 9","1 out of 10","1"
"260186","LAKE REGIONAL HEALTH SYSTEM","54 HOSPITAL DRIVE","OSAGE BEACH","MO","65065","CAMDEN","0.8080","0 out of 10","0 out of 9","0 out of 10","0"
"260190","LEE'S SUMMIT MEDICAL CENTER","2100 SE BLUE PARKWAY","LEES SUMMIT","MO","64063","JACKSON","0.9730","7 out of 10","8 out of 9","8 out of 10","8"
"260191","BARNES-JEWISH ST PETERS HOSPITAL","10 HOSPITAL DR","SAINT PETERS","MO","63376","ST. CHARLES","0.9231","2 out of 10","3 out of 9","3 out of 10","3"
"260193","ST MARY'S MEDICAL CENTER","201 NW R D MIZE RD","BLUE SPRINGS","MO","64014","JACKSON","0.9474","4 out of 10","4 out of 9","4 out of 10","4"
"260195","CITIZENS MEMORIAL HOSPITAL","1500 N OAKLAND","BOLIVAR","MO","65613","POLK","0.9429","4 out of 10","5 out of 9","5 out of 10","5"
"260200","SSM ST JOSEPH HOSPITAL WEST","100 MEDICAL PLAZA","LAKE SAINT LOUIS","MO","63367","ST. CHARLES","0.9882","8 out of 10","8 out of 9","8 out of 10","8"
"260207","OZARKS COMMUNITY HOSPITAL","2828 NORTH NATIONAL","SPRINGFIELD","MO","65803","GREENE","N/A","N/A","N/A","N/A","N/A"
"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","SAINT LOUIS","MO","63118","ST. LOUIS CITY","0.6875","0 out of 10","0 out of 9","0 out of 10","0"
"260214","BELTON REGIONAL MEDICAL CENTER","17065 S 71 HIGHWAY","BELTON","MO","64012","CASS","0.8387","0 out of 10","0 out of 9","0 out of 10","0"
"260216","SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL","100 N E SAINT LUKE'S BOULEVARD","LEES SUMMIT","MO","64086","JACKSON","0.9091","1 out of 10","6 out of 9","6 out of 10","6"
"260219","PROGRESS WEST HEALTHCARE CENTER","2 PROGRESS POINT PKWY","O FALLON","MO","63368","ST. CHARLES","0.8780","0 out of 10","0 out of 9","0 out of 10","0"
"270003","ST PETER'S HOSPITAL","2475 BROADWAY","HELENA","MT","59601","LEWIS AND CLARK","0.8780","0 out of 10","6 out of 9","6 out of 10","6"
"270004","BILLINGS CLINIC HOSPITAL","2800 10TH AVE N","BILLINGS","MT","59101","YELLOWSTONE","0.9211","2 out of 10","4 out of 9","4 out of 10","4"
"270012","BENEFIS HOSPITALS INC","1101 26TH ST S","GREAT FALLS","MT","59405","CASCADE","0.9623","6 out of 10","6 out of 9","6 out of 10","6"
"270014","ST PATRICK HOSPITAL","500 W BROADWAY","MISSOULA","MT","59806","MISSOULA","0.9487","4 out of 10","3 out of 9","4 out of 10","4"
"270017","ST JAMES HEALTHCARE","400 S CLARK ST","BUTTE","MT","59701","SILVER BOW","0.9143","1 out of 10","8 out of 9","8 out of 10","8"
"270023","COMMUNITY MEDICAL CENTER INC","2827 FORT MISSOULA RD","MISSOULA","MT","59804","MISSOULA","0.9167","1 out of 10","1 out of 9","1 out of 10","1"
"270032","NORTHERN MONTANA HOSPITAL","30 13TH ST","HAVRE","MT","59501","HILL","0.8667","0 out of 10","6 out of 9","6 out of 10","6"
"270049","ST VINCENT HEALTHCARE","1233 N 30TH ST","BILLINGS","MT","59107","YELLOWSTONE","0.8966","0 out of 10","4 out of 9","4 out of 10","4"
"270051","KALISPELL REGIONAL MEDICAL CENTER","310 SUNNYVIEW LANE","KALISPELL","MT","59901","FLATHEAD","0.9577","5 out of 10","7 out of 9","7 out of 10","7"
"270057","BOZEMAN DEACONESS HOSPITAL","915 HIGHLAND BLVD","BOZEMAN","MT","59715","GALLATIN","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"270086","GREAT FALLS CLINIC MEDICAL CENTER","1411 9TH ST S","GREAT FALLS","MT","59405","CASCADE","N/A","N/A","N/A","N/A","N/A"
"270087","HEALTH CENTER NORTHWEST","320 SUNNYVIEW LANE","KALISPELL","MT","59901","FLATHEAD","N/A","N/A","N/A","N/A","N/A"
"280003","BRYANLGH MEDICAL CENTER","1600 SOUTH 48TH ST","LINCOLN","NE","68506","LANCASTER","0.9128","1 out of 10","0 out of 9","1 out of 10","1"
"280009","GOOD SAMARITAN HOSPITAL","P O BOX 1990, 10 EAST 31ST ST","KEARNEY","NE","68848","BUFFALO","0.9342","3 out of 10","5 out of 9","5 out of 10","5"
"280013","THE NEBRASKA MEDICAL CENTER","987400 NEBRASKA MEDICAL CENTER","OMAHA","NE","68198","DOUGLAS","0.9487","4 out of 10","8 out of 9","8 out of 10","8"
"280020","SAINT ELIZABETH REGIONAL MEDICAL CENTER","555 SOUTH 70TH ST","LINCOLN","NE","68510","LANCASTER","0.9417","4 out of 10","7 out of 9","7 out of 10","7"
"280023","ST FRANCIS MEDICAL CENTER","2620 WEST FAIDLEY AVE","GRAND ISLAND","NE","68803","HALL","0.9540","5 out of 10","0 out of 9","5 out of 10","5"
"280030","ALEGENT CREIGHTON HEALTH CREIGHTON UNIVERSITY MEDI","601 NORTH 30TH ST","OMAHA","NE","68131","DOUGLAS","0.9720","7 out of 10","2 out of 9","7 out of 10","7"
"280032","MARY LANNING MEMORIAL HOSPITAL","715 N ST JOSEPH AVE","HASTINGS","NE","68901","ADAMS","0.9506","5 out of 10","6 out of 9","6 out of 10","6"
"280040","THE NEBRASKA METHODIST HOSPITAL","8303 DODGE ST","OMAHA","NE","68114","DOUGLAS","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"280060","ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER","7500 MERCY RD","OMAHA","NE","68124","DOUGLAS","0.9275","2 out of 10","0 out of 9","2 out of 10","2"
"280061","REGIONAL WEST MEDICAL CENTER","4021 AVE B","SCOTTSBLUFF","NE","69361","SCOTTS BLUFF","0.9730","7 out of 10","9 out of 9","9 out of 10","9"
"280065","GREAT PLAINS REGIONAL MEDICAL CENTER","601 WEST LEOTA ST","NORTH PLATTE","NE","69101","LINCOLN","0.9259","2 out of 10","4 out of 9","4 out of 10","4"
"280077","FREMONT AREA MEDICAL CENTER","450 EAST 23RD ST","FREMONT","NE","68025","DODGE","0.7714","0 out of 10","0 out of 9","0 out of 10","0"
"280081","ALEGENT HEALTH IMMANUEL MEDICAL CENTER","6901 NORTH 72ND ST","OMAHA","NE","68122","DOUGLAS","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"280105","ALEGENT HEALTH MIDLANDS HOSPITAL","11111 SOUTH 84TH ST","PAPILLION","NE","68046","SARPY","0.9714","7 out of 10","4 out of 9","7 out of 10","7"
"280111","COLUMBUS COMMUNITY HOSPITAL","4600 38TH ST","COLUMBUS","NE","68601","PLATTE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"280125","FAITH REGIONAL HEALTH SERVICES","2700 WEST NORFOLK AVE","NORFOLK","NE","68701","MADISON","0.9167","1 out of 10","7 out of 9","7 out of 10","7"
"280127","LINCOLN SURGICAL HOSPITAL","1710 SOUTH 70TH ST, SUITE 200","LINCOLN","NE","68506","LANCASTER","N/A","N/A","N/A","N/A","N/A"
"280128","NEBRASKA HEART HOSPITAL","7500 SOUTH 91ST ST","LINCOLN","NE","68526","LANCASTER","0.9701","7 out of 10","7 out of 9","7 out of 10","7"
"280129","NEBRASKA ORTHOPAEDIC HOSPITAL","2808 SOUTH 143RD PLZ","OMAHA","NE","68144","DOUGLAS","N/A","N/A","N/A","N/A","N/A"
"280130","ALEGENT HEALTH LAKESIDE HOSPITAL","16901 LAKESIDE HILLS CT","OMAHA","NE","68130","DOUGLAS","0.9825","8 out of 10","7 out of 9","8 out of 10","8"
"280131","MIDWEST SURGICAL HOSPITAL LLC","7915 FARNAM DRIVE","OMAHA","NE","68114","DOUGLAS","N/A","N/A","N/A","N/A","N/A"
"280132","BELLEVUE MEDICAL CENTER","2500 BELLEVUE MEDICAL CENTER DR","BELLEVUE","NE","68123","SARPY","1.0000","10 out of 10","N/A","10 out of 10","10"
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","RENO","NV","89502","WASHOE","0.9426","4 out of 10","7 out of 9","7 out of 10","7"
"290003","SUNRISE HOSPITAL AND MEDICAL CENTER","3186 S MARYLAND PKWY","LAS VEGAS","NV","89109","CLARK","0.9902","9 out of 10","9 out of 9","9 out of 10","9"
"290005","NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD","NORTH LAS VEGAS","NV","89030","CLARK","0.8983","0 out of 10","0 out of 9","0 out of 10","0"
"290006","BANNER CHURCHILL COMMUNITY HOSPITAL","801 EAST WILLIAMS AVENUE","FALLON","NV","89406","CHURCHILL","0.7576","0 out of 10","0 out of 9","0 out of 10","0"
"290007","UMC OF SOUTHERN NEVADA","1800 W CHARLESTON BLVD","LAS VEGAS","NV","89102","CLARK","0.8235","0 out of 10","5 out of 9","5 out of 10","5"
"290008","NORTHEASTERN NEVADA REGIONAL HOSPITAL","2001 ERRECART BLVD","ELKO","NV","89801","ELKO","0.7917","0 out of 10","0 out of 9","0 out of 10","0"
"290009","SAINT MARY'S REGIONAL MEDICAL CENTER","235 W 6TH ST","RENO","NV","89503","WASHOE","0.9653","6 out of 10","5 out of 9","6 out of 10","6"
"290012","ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS","102 E LAKE MEAD DR","HENDERSON","NV","89015","CLARK","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","CARSON CITY","NV","89703","CARSON CITY","0.7908","0 out of 10","0 out of 9","0 out of 10","0"
"290021","VALLEY HOSPITAL MEDICAL CENTER","620 SHADOW LANE","LAS VEGAS","NV","89106","CLARK","0.9780","7 out of 10","8 out of 9","8 out of 10","8"
"290022","DESERT SPRINGS HOSPITAL","2075 EAST FLAMINGO ROAD","LAS VEGAS","NV","89119","CLARK","0.9765","7 out of 10","0 out of 9","7 out of 10","7"
"290032","NORTHERN NEVADA MEDICAL CENTER","2375 PRATER WAY","SPARKS","NV","89434","WASHOE","0.9063","0 out of 10","6 out of 9","6 out of 10","6"
"290039","MOUNTAINVIEW HOSPITAL","3100 N TENAYA WAY","LAS VEGAS","NV","89128","CLARK","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","LAS VEGAS","NV","89144","CLARK","0.8535","0 out of 10","1 out of 9","1 out of 10","1"
"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","HENDERSON","NV","89052","CLARK","0.8621","0 out of 10","0 out of 9","0 out of 10","0"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","LAS VEGAS","NV","89118","CLARK","0.4655","0 out of 10","0 out of 9","0 out of 10","0"
"290047","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","9300 WEST SUNSET RD","LAS VEGAS","NV","89148","CLARK","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","RENO","NV","89521","CARSON CITY","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","CARSON CITY","NV","89703","CARSON CITY","N/A","N/A","N/A","N/A","N/A"
"290053","ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","LAS VEGAS","NV","89113","CLARK","0.9434","4 out of 10","3 out of 9","4 out of 10","4"
"290054","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","6900 N DURANGO DR","LAS VEGAS","NV","89149","CLARK","0.7358","0 out of 10","0 out of 9","0 out of 10","0"
"300001","CONCORD HOSPITAL","250 PLEASANT ST","CONCORD","NH","03301","MERRIMACK","0.9699","7 out of 10","1 out of 9","7 out of 10","7"
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","LEBANON","NH","03756","GRAFTON","0.9535","5 out of 10","7 out of 9","7 out of 10","7"
"300005","LAKES REGION GENERAL HOSPITAL","80 HIGHLAND ST","LACONIA","NH","03246","BELKNAP","0.9667","6 out of 10","9 out of 9","9 out of 10","9"
"300011","ST JOSEPH HOSPITAL","172 KINSLEY ST","NASHUA","NH","03060","HILLSBOROUGH","0.9417","4 out of 10","6 out of 9","6 out of 10","6"
"300012","ELLIOT HOSPITAL","1 ELLIOT WAY","MANCHESTER","NH","03103","HILLSBOROUGH","0.9400","4 out of 10","3 out of 9","4 out of 10","4"
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","ROCHESTER","NH","03867","STRAFFORD","0.9867","8 out of 10","8 out of 9","8 out of 10","8"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","DERRY","NH","03038","ROCKINGHAM","0.9697","7 out of 10","0 out of 9","7 out of 10","7"
"300018","WENTWORTH-DOUGLASS HOSPITAL","789 CENTRAL AVE","DOVER","NH","03820","STRAFFORD","0.8780","0 out of 10","0 out of 9","0 out of 10","0"
"300019","CHESHIRE MEDICAL CENTER","580 COURT STREET","KEENE","NH","03431","CHESHIRE","0.8222","0 out of 10","0 out of 9","0 out of 10","0"
"300020","SOUTHERN NH MEDICAL CENTER","8 PROSPECT STREET","NASHUA","NH","03060","HILLSBOROUGH","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","EXETER","NH","03833","ROCKINGHAM","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","PORTSMOUTH","NH","03801","ROCKINGHAM","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"300034","CATHOLIC MEDICAL CENTER","100 MCGREGOR STREET","MANCHESTER","NH","03102","HILLSBOROUGH","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"310001","HACKENSACK UNIVERSITY MEDICAL CENTER","30 PROSPECT AVE","HACKENSACK","NJ","07601","BERGEN","0.9632","6 out of 10","7 out of 9","7 out of 10","7"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","NEWARK","NJ","07112","ESSEX","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310003","PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S","7600 RIVER RD","NORTH BERGEN","NJ","07047","HUDSON","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","FLEMINGTON","NJ","08822","HUNTERDON","0.8171","0 out of 10","0 out of 9","0 out of 10","0"
"310006","ST MARY'S HOSPITAL, PASSAIC","350 BOULEVARD","PASSAIC","NJ","07055","PASSAIC","0.9396","4 out of 10","4 out of 9","4 out of 10","4"
"310008","HOLY NAME MEDICAL CENTER","718 TEANECK RD","TEANECK","NJ","07666","BERGEN","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","BELLEVILLE","NJ","07109","ESSEX","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310010","UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO","ONE-FIVE PLAINSBORO ROAD","PLAINSBORO","NJ","08536","MIDDLESEX","0.9783","7 out of 10","0 out of 9","7 out of 10","7"
"310011","CAPE REGIONAL MEDICAL CENTER INC","TWO STONE HARBOR BLVD","CAPE MAY COURT HOUSE","NJ","08210","CAPE MAY","0.8551","0 out of 10","0 out of 9","0 out of 10","0"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","RIDGEWOOD","NJ","07450","BERGEN","0.9401","4 out of 10","7 out of 9","7 out of 10","7"
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","CAMDEN","NJ","08103","CAMDEN","0.9953","9 out of 10","6 out of 9","9 out of 10","9"
"310015","MORRISTOWN MEMORIAL HOSPITAL","100 MADISON AVE","MORRISTOWN","NJ","07962","MORRIS","0.9643","6 out of 10","0 out of 9","6 out of 10","6"
"310016","CHRIST HOSPITAL","176 PALISADE AVE","JERSEY CITY","NJ","07306","HUDSON","0.9143","1 out of 10","0 out of 9","1 out of 10","1"
"310017","CHILTON HOSPITAL","97 WEST PARKWAY","POMPTON PLAINS","NJ","07444","MORRIS","0.9000","0 out of 10","0 out of 9","0 out of 10","0"
"310019","ST JOSEPH'S REGIONAL MEDICAL CENTER","703 MAIN ST","PATERSON","NJ","07503","PASSAIC","0.9247","2 out of 10","0 out of 9","2 out of 10","2"
"310021","ST FRANCIS MEDICAL CENTER","601 HAMILTON AVE","TRENTON","NJ","08629","MERCER","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"310022","VIRTUA WEST JERSEY HOSPITALS BERLIN","WHITEHORSE PIKE AND TOWNSEND AVENUE","BERLIN","NJ","08009","CAMDEN","0.9479","4 out of 10","6 out of 9","6 out of 10","6"
"310024","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","865 STONE ST","RAHWAY","NJ","07065","UNION","0.9586","5 out of 10","7 out of 9","7 out of 10","7"
"310025","BAYONNE HOSPITAL CENTER","29 EAST 29TH ST","BAYONNE","NJ","07002","HUDSON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","ELIZABETH","NJ","07207","UNION","0.9115","1 out of 10","1 out of 9","1 out of 10","1"
"310028","NEWTON MEMORIAL HOSPITAL","175 HIGH ST","NEWTON","NJ","07860","SUSSEX","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310029","OUR LADY OF LOURDES MEDICAL CENTER","1600 HADDON AVENUE","CAMDEN","NJ","08103","CAMDEN","0.9950","9 out of 10","7 out of 9","9 out of 10","9"
"310031","DEBORAH HEART AND LUNG CENTER","200 TRENTON ROAD","BROWNS MILLS","NJ","08015","BURLINGTON","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"310032","SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER","1505 W SHERMAN AVE","VINELAND","NJ","08360","CUMBERLAND","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310034","RIVERVIEW MEDICAL CENTER","ONE RIVERVIEW PLAZA","RED BANK","NJ","07701","MONMOUTH","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310038","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","ONE ROBERT WOOD JOHNSON PL","NEW BRUNSWICK","NJ","08901","MIDDLESEX","0.9821","8 out of 10","8 out of 9","8 out of 10","8"
"310039","RARITAN BAY MEDICAL CENTER","530 NEW BRUNSWICK AVE","PERTH AMBOY","NJ","08861","MIDDLESEX","0.9668","6 out of 10","2 out of 9","6 out of 10","6"
"310040","HOBOKEN UNIVERSITY MEDICAL CENTER","308 WILLOW AVE","HOBOKEN","NJ","07030","HUDSON","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310041","COMMUNITY MEDICAL CENTER","99 RT 37 WEST","TOMS RIVER","NJ","08755","OCEAN","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"310044","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","ONE CAPITAL WAY","PENNINGTON","NJ","08534","MERCER","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","ENGLEWOOD","NJ","07631","BERGEN","0.9265","2 out of 10","0 out of 9","2 out of 10","2"
"310047","SHORE MEDICAL CENTER","1 EAST NEW YORK AVE","SOMERS POINT","NJ","08244","ATLANTIC","0.9787","7 out of 10","4 out of 9","7 out of 10","7"
"310048","SOMERSET MEDICAL CENTER","110 REHILL AVE","SOMERVILLE","NJ","08876","SOMERSET","0.9857","8 out of 10","0 out of 9","8 out of 10","8"
"320065","LEA REGIONAL MEDICAL CENTER","5419 N LOVINGTON HIGHWAY","HOBBS","NM","88240","LEA","0.8261","0 out of 10","0 out of 9","0 out of 10","0"
"320074","LOVELACE WESTSIDE HOSPITAL","10501 GOLF COURSE ROAD NW","ALBUQUERQUE","NM","87114","BERNALILLO","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"320085","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","4311 EAST LOHMAN AVENUE","LAS CRUCES","NM","88011","DONA ANA","0.9706","7 out of 10","8 out of 9","8 out of 10","8"
"320086","LOVELACE REGIONAL HOSPITAL - ROSWELL","117 EAST 19TH STREET","ROSWELL","NM","88201","CHAVES","0.6111","0 out of 10","0 out of 9","0 out of 10","0"
"330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","NY","12204","ALBANY","0.9789","7 out of 10","8 out of 9","8 out of 10","8"
"330004","KINGSTON HOSPITAL","396 BROADWAY","KINGSTON","NY","12401","ULSTER","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"330005","KALEIDA HEALTH","726 EXCHANGE STREET, SUITE 522","BUFFALO","NY","14210","ERIE","0.9058","0 out of 10","4 out of 9","4 out of 10","4"
"330006","ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS","NY","10701","WESTCHESTER","0.9529","5 out of 10","5 out of 9","5 out of 10","5"
"330008","WYOMING COUNTY COMMUNITY HOSPITAL","400 NORTH MAIN STREET","WARSAW","NY","14569","WYOMING","0.8636","0 out of 10","3 out of 9","3 out of 10","3"
"330009","BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX","NY","10456","BRONX","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"330011","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE","BINGHAMTON","NY","13905","BROOME","0.9786","7 out of 10","8 out of 9","8 out of 10","8"
"330013","ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","ALBANY","NY","12208","ALBANY","0.9621","6 out of 10","0 out of 9","6 out of 10","6"
"330014","JAMAICA HOSPITAL MEDICAL CENTER","89TH AVENUE AND VAN WYCK EXPRESSWAY","JAMAICA","NY","11418","QUEENS","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","2525 KINGS HIGHWAY","BROOKLYN","NY","11229","KINGS","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","POUGHKEEPSIE","NY","12601","DUTCHESS","0.9886","8 out of 10","3 out of 9","8 out of 10","8"
