"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","AMI-7a Performance Rate","AMI-7a Achievement Points","AMI-7a Improvement Points","AMI-7a Measure Score","AMI-8a Performance Rate","AMI-8a Achievement Points","AMI Condition/Procedure Score","AMI-8a Improvement Points","AMI-8a Measure Score"
1590,"260163","PARKLAND HEALTH CENTER","1101 W LIBERTY","FARMINGTON","ST. FRANCOIS","MO","63640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1591,"260175","GOLDEN VALLEY MEMORIAL HOSPITAL","1600 N 2ND ST","CLINTON","HENRY","MO","64735","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1592,"260176","DES PERES HOSPITAL","2345 DOUGHERTY FERRY ROAD","SAINT LOUIS","ST. LOUIS","MO","63122","N/A","N/A","N/A","N/A","0.9091","0 out of 10","0","0 out of 9","0 out of 10"
1593,"260177","LIBERTY HOSPITAL","2525 GLENN HENDREN DR","LIBERTY","CLAY","MO","64069","N/A","N/A","N/A","N/A","0.9333","2 out of 10","2","N/A","2 out of 10"
1594,"260179","ST LUKES HOSPITAL","232 S WOODS MILL RD","CHESTERFIELD","ST. LOUIS","MO","63017","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
1595,"260180","CHRISTIAN HOSPITAL NORTHEAST","11133 DUNN ROAD","SAINT LOUIS","ST. LOUIS","MO","63136","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1596,"260183","ST FRANCIS MEDICAL CENTER","211 ST FRANCIS DR","CAPE GIRARDEAU","CAPE GIRARDEAU","MO","63703","N/A","N/A","N/A","N/A","0.9375","3 out of 10","3","0 out of 9","3 out of 10"
1597,"260186","LAKE REGIONAL HEALTH SYSTEM","54 HOSPITAL DRIVE","OSAGE BEACH","CAMDEN","MO","65065","N/A","N/A","N/A","N/A","0.9524","4 out of 10","8","8 out of 9","8 out of 10"
1598,"260190","LEE'S SUMMIT MEDICAL CENTER","2100 SE BLUE PARKWAY","LEES SUMMIT","JACKSON","MO","64063","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1599,"260191","BARNES-JEWISH ST PETERS HOSPITAL","10 HOSPITAL DR","SAINT PETERS","ST. CHARLES","MO","63376","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1600,"260193","ST MARY'S MEDICAL CENTER","201 NW R D MIZE RD","BLUE SPRINGS","JACKSON","MO","64014","N/A","N/A","N/A","N/A","0.9565","5 out of 10","5","N/A","5 out of 10"
1601,"260195","CITIZENS MEMORIAL HOSPITAL","1500 N OAKLAND","BOLIVAR","POLK","MO","65613","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1602,"260200","SSM ST JOSEPH HOSPITAL WEST","100 MEDICAL PLAZA","LAKE SAINT LOUIS","ST. CHARLES","MO","63367","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","N/A","10 out of 10"
1603,"260207","OZARKS COMMUNITY HOSPITAL","2828 NORTH NATIONAL","SPRINGFIELD","GREENE","MO","65803","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1604,"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","SAINT LOUIS","ST. LOUIS CITY","MO","63118","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1605,"260214","BELTON REGIONAL MEDICAL CENTER","17065 S 71 HIGHWAY","BELTON","CASS","MO","64012","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1606,"260216","SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL","100 N E SAINT LUKE'S BOULEVARD","LEES SUMMIT","JACKSON","MO","64086","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
1607,"260219","PROGRESS WEST HEALTHCARE CENTER","2 PROGRESS POINT PKWY","O FALLON","ST. CHARLES","MO","63368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1608,"270003","ST PETER'S HOSPITAL","2475 BROADWAY","HELENA","LEWIS AND CLARK","MT","59601","N/A","N/A","N/A","N/A","0.7778","0 out of 10","6","6 out of 9","6 out of 10"
1609,"270004","BILLINGS CLINIC HOSPITAL","2800 10TH AVE N","BILLINGS","YELLOWSTONE","MT","59101","N/A","N/A","N/A","N/A","0.9688","6 out of 10","6","3 out of 9","6 out of 10"
1610,"270012","BENEFIS HOSPITALS INC","1101 26TH ST S","GREAT FALLS","CASCADE","MT","59405","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1611,"270014","ST PATRICK HOSPITAL","500 W BROADWAY","MISSOULA","MISSOULA","MT","59806","N/A","N/A","N/A","N/A","0.9643","6 out of 10","6","0 out of 9","6 out of 10"
1612,"270017","ST JAMES HEALTHCARE","400 S CLARK ST","BUTTE","SILVER BOW","MT","59701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1613,"270023","COMMUNITY MEDICAL CENTER INC","2827 FORT MISSOULA RD","MISSOULA","MISSOULA","MT","59804","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1614,"270032","NORTHERN MONTANA HOSPITAL","30 13TH ST","HAVRE","HILL","MT","59501","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1615,"270049","ST VINCENT HEALTHCARE","1233 N 30TH ST","BILLINGS","YELLOWSTONE","MT","59107","N/A","N/A","N/A","N/A","0.9333","2 out of 10","2","0 out of 9","2 out of 10"
1616,"270051","KALISPELL REGIONAL MEDICAL CENTER","310 SUNNYVIEW LANE","KALISPELL","FLATHEAD","MT","59901","N/A","N/A","N/A","N/A","0.9333","2 out of 10","7","7 out of 9","7 out of 10"
1617,"270057","BOZEMAN DEACONESS HOSPITAL","915 HIGHLAND BLVD","BOZEMAN","GALLATIN","MT","59715","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
1618,"270086","GREAT FALLS CLINIC MEDICAL CENTER","1411 9TH ST S","GREAT FALLS","CASCADE","MT","59405","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1619,"270087","HEALTH CENTER NORTHWEST","320 SUNNYVIEW LANE","KALISPELL","FLATHEAD","MT","59901","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1620,"280003","BRYANLGH MEDICAL CENTER","1600 SOUTH 48TH ST","LINCOLN","LANCASTER","NE","68506","N/A","N/A","N/A","N/A","0.9200","1 out of 10","1","0 out of 9","1 out of 10"
1621,"280009","GOOD SAMARITAN HOSPITAL","P O BOX 1990, 10 EAST 31ST ST","KEARNEY","BUFFALO","NE","68848","N/A","N/A","N/A","N/A","0.8421","0 out of 10","4","4 out of 9","4 out of 10"
1622,"280013","THE NEBRASKA MEDICAL CENTER","987400 NEBRASKA MEDICAL CENTER","OMAHA","DOUGLAS","NE","68198","N/A","N/A","N/A","N/A","0.8000","0 out of 10","0","0 out of 9","0 out of 10"
1623,"280020","SAINT ELIZABETH REGIONAL MEDICAL CENTER","555 SOUTH 70TH ST","LINCOLN","LANCASTER","NE","68510","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1624,"280023","ST FRANCIS MEDICAL CENTER","2620 WEST FAIDLEY AVE","GRAND ISLAND","HALL","NE","68803","N/A","N/A","N/A","N/A","0.7143","0 out of 10","0","N/A","0 out of 10"
1625,"280030","ALEGENT CREIGHTON HEALTH CREIGHTON UNIVERSITY MEDI","601 NORTH 30TH ST","OMAHA","DOUGLAS","NE","68131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1626,"280032","MARY LANNING MEMORIAL HOSPITAL","715 N ST JOSEPH AVE","HASTINGS","ADAMS","NE","68901","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1627,"280040","THE NEBRASKA METHODIST HOSPITAL","8303 DODGE ST","OMAHA","DOUGLAS","NE","68114","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1628,"280060","ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER","7500 MERCY RD","OMAHA","DOUGLAS","NE","68124","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1629,"280061","REGIONAL WEST MEDICAL CENTER","4021 AVE B","SCOTTSBLUFF","SCOTTS BLUFF","NE","69361","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1630,"280065","GREAT PLAINS REGIONAL MEDICAL CENTER","601 WEST LEOTA ST","NORTH PLATTE","LINCOLN","NE","69101","N/A","N/A","N/A","N/A","0.9091","0 out of 10","0","N/A","0 out of 10"
1631,"280077","FREMONT AREA MEDICAL CENTER","450 EAST 23RD ST","FREMONT","DODGE","NE","68025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1632,"280081","ALEGENT HEALTH IMMANUEL MEDICAL CENTER","6901 NORTH 72ND ST","OMAHA","DOUGLAS","NE","68122","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1633,"280105","ALEGENT HEALTH MIDLANDS HOSPITAL","11111 SOUTH 84TH ST","PAPILLION","SARPY","NE","68046","N/A","N/A","N/A","N/A","0.8667","0 out of 10","0","0 out of 9","0 out of 10"
1634,"280111","COLUMBUS COMMUNITY HOSPITAL","4600 38TH ST","COLUMBUS","PLATTE","NE","68601","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1635,"280125","FAITH REGIONAL HEALTH SERVICES","2700 WEST NORFOLK AVE","NORFOLK","MADISON","NE","68701","N/A","N/A","N/A","N/A","0.9000","0 out of 10","0","N/A","0 out of 10"
1636,"280127","LINCOLN SURGICAL HOSPITAL","1710 SOUTH 70TH ST, SUITE 200","LINCOLN","LANCASTER","NE","68506","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1637,"280128","NEBRASKA HEART HOSPITAL","7500 SOUTH 91ST ST","LINCOLN","LANCASTER","NE","68526","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1638,"280129","NEBRASKA ORTHOPAEDIC HOSPITAL","2808 SOUTH 143RD PLZ","OMAHA","DOUGLAS","NE","68144","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1639,"280130","ALEGENT HEALTH LAKESIDE HOSPITAL","16901 LAKESIDE HILLS CT","OMAHA","DOUGLAS","NE","68130","N/A","N/A","N/A","N/A","0.8966","0 out of 10","0","0 out of 9","0 out of 10"
1640,"280131","MIDWEST SURGICAL HOSPITAL LLC","7915 FARNAM DRIVE","OMAHA","DOUGLAS","NE","68114","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1641,"280132","BELLEVUE MEDICAL CENTER","2500 BELLEVUE MEDICAL CENTER DR","BELLEVUE","SARPY","NE","68123","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1642,"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","RENO","WASHOE","NV","89502","N/A","N/A","N/A","N/A","0.9841","8 out of 10","8","8 out of 9","8 out of 10"
1643,"290003","SUNRISE HOSPITAL AND MEDICAL CENTER","3186 S MARYLAND PKWY","LAS VEGAS","CLARK","NV","89109","N/A","N/A","N/A","N/A","0.9677","6 out of 10","6","6 out of 9","6 out of 10"
1644,"290005","NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD","NORTH LAS VEGAS","CLARK","NV","89030","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1645,"290006","BANNER CHURCHILL COMMUNITY HOSPITAL","801 EAST WILLIAMS AVENUE","FALLON","CHURCHILL","NV","89406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1646,"290007","UMC OF SOUTHERN NEVADA","1800 W CHARLESTON BLVD","LAS VEGAS","CLARK","NV","89102","N/A","N/A","N/A","N/A","0.9000","0 out of 10","5","5 out of 9","5 out of 10"
1647,"290008","NORTHEASTERN NEVADA REGIONAL HOSPITAL","2001 ERRECART BLVD","ELKO","ELKO","NV","89801","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1648,"290009","SAINT MARY'S REGIONAL MEDICAL CENTER","235 W 6TH ST","RENO","WASHOE","NV","89503","N/A","N/A","N/A","N/A","0.7949","0 out of 10","1","1 out of 9","1 out of 10"
1649,"290012","ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS","102 E LAKE MEAD DR","HENDERSON","CLARK","NV","89015","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1650,"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","CARSON CITY","CARSON CITY","NV","89703","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1651,"290021","VALLEY HOSPITAL MEDICAL CENTER","620 SHADOW LANE","LAS VEGAS","CLARK","NV","89106","N/A","N/A","N/A","N/A","0.9592","5 out of 10","6","6 out of 9","6 out of 10"
1652,"290022","DESERT SPRINGS HOSPITAL","2075 EAST FLAMINGO ROAD","LAS VEGAS","CLARK","NV","89119","N/A","N/A","N/A","N/A","0.9167","0 out of 10","0","0 out of 9","0 out of 10"
1653,"290032","NORTHERN NEVADA MEDICAL CENTER","2375 PRATER WAY","SPARKS","WASHOE","NV","89434","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1654,"290039","MOUNTAINVIEW HOSPITAL","3100 N TENAYA WAY","LAS VEGAS","CLARK","NV","89128","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1655,"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","LAS VEGAS","CLARK","NV","89144","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1656,"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","HENDERSON","CLARK","NV","89052","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
1657,"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","LAS VEGAS","CLARK","NV","89118","N/A","N/A","N/A","N/A","0.9000","0 out of 10","0","0 out of 9","0 out of 10"
1658,"290047","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","9300 WEST SUNSET RD","LAS VEGAS","CLARK","NV","89148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1659,"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","RENO","CARSON CITY","NV","89521","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1660,"290051","SIERRA SURGERY HOSPITAL","1400 MEDICAL PKWY","CARSON CITY","CARSON CITY","NV","89703","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1661,"310047","SHORE MEDICAL CENTER","1 EAST NEW YORK AVE","SOMERS POINT","ATLANTIC","NJ","08244","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1662,"310048","SOMERSET MEDICAL CENTER","110 REHILL AVE","SOMERVILLE","SOMERSET","NJ","08876","N/A","N/A","N/A","N/A","0.8772","0 out of 10","1","1 out of 9","1 out of 10"
1663,"310050","SAINT CLARE'S HOSPITAL","25 POCONO ROAD","DENVILLE","MORRIS","NJ","07834","N/A","N/A","N/A","N/A","0.9697","6 out of 10","6","0 out of 9","6 out of 10"
1664,"310051","OVERLOOK HOSPITAL","99 BEAUVIOR AVE","SUMMIT","UNION","NJ","07902","N/A","N/A","N/A","N/A","0.9730","7 out of 10","8","8 out of 9","8 out of 10"
1665,"310052","OCEAN MEDICAL CENTER","425 JACK MARTIN BLVD","BRICK","OCEAN","NJ","08724","N/A","N/A","N/A","N/A","0.9643","6 out of 10","7","7 out of 9","7 out of 10"
1666,"310054","HACKENSACKUMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","MONTCLAIR","ESSEX","NJ","07042","N/A","N/A","N/A","N/A","0.9048","0 out of 10","4","4 out of 9","4 out of 10"
1667,"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","MOUNT HOLLY","BURLINGTON","NJ","08060","N/A","N/A","N/A","N/A","0.8571","0 out of 10","7","7 out of 9","7 out of 10"
1668,"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","PHILLIPSBURG","WARREN","NJ","08865","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1669,"310061","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY","218A SUNSET ROAD","WILLINGBORO","BURLINGTON","NJ","08046","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1670,"310064","ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV","1925 PACIFIC AVE","ATLANTIC CITY","ATLANTIC","NJ","08401","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1671,"310069","SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL","501 WEST FRONT STREET","ELMER","SALEM","NJ","08318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1672,"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","NEW BRUNSWICK","MIDDLESEX","NJ","08901","N/A","N/A","N/A","N/A","0.8750","0 out of 10","3","3 out of 9","3 out of 10"
1673,"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","NEPTUNE","MONMOUTH","NJ","07754","N/A","N/A","N/A","N/A","0.8621","0 out of 10","0","0 out of 9","0 out of 10"
1674,"310074","LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS","355 GRAND STREET","JERSEY CITY","HUDSON","NJ","07302","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1675,"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","LONG BRANCH","MONMOUTH","NJ","07740","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1676,"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","LIVINGSTON","ESSEX","NJ","07039","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1677,"310081","UNDERWOOD - MEMORIAL HOSPITAL","509 N BROAD ST","WOODBURY","GLOUCESTER","NJ","08096","N/A","N/A","N/A","N/A","0.9474","4 out of 10","5","5 out of 9","5 out of 10"
1678,"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","EAST ORANGE","ESSEX","NJ","07018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1679,"310084","KIMBALL MEDICAL CENTER","600 RIVER AVE","LAKEWOOD","OCEAN","NJ","08701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1680,"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","STRATFORD","CAMDEN","NJ","08084","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1681,"310091","MEMORIAL HOSPITAL OF SALEM COUNTY","310 WOODSTOWN ROAD","SALEM","SALEM","NJ","08079","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1682,"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","TRENTON","MERCER","NJ","08638","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1683,"310096","SAINT MICHAEL'S MEDICAL CENTER, INC","111 CENTRAL AVENUE","NEWARK","ESSEX","NJ","07102","N/A","N/A","N/A","N/A","0.6000","0 out of 10","0","N/A","0 out of 10"
1684,"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","EDISON","MIDDLESEX","NJ","08818","N/A","N/A","N/A","N/A","0.8750","0 out of 10","5","5 out of 9","5 out of 10"
1685,"310110","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","ONE HAMILTON HEALTH PLACE","HAMILTON","MERCER","NJ","08690","N/A","N/A","N/A","N/A","0.8276","0 out of 10","5","5 out of 9","5 out of 10"
1686,"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","FREEHOLD","MONMOUTH","NJ","07728","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1687,"310112","BAYSHORE COMMUNITY HOSPITAL","727 N BEERS ST","HOLMDEL","MONMOUTH","NJ","07733","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1688,"310113","SOUTHERN OCEAN MEDICAL CENTER","1140 RT 72 W","MANAHAWKIN","OCEAN","NJ","08050","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1689,"310115","HACKETTSTOWN REGIONAL MEDICAL CENTER","651 WILLOW GROVE ST","HACKETTSTOWN","WARREN","NJ","07840","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1690,"310118","MEADOWLANDS HOSPITAL MEDICAL CENTER","55 MEADOWLANDS PKWY","SECAUCUS","HUDSON","NJ","07094","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1691,"310119","UMDNJ UNIVERSITY HOSPITAL","150 BERGEN ST","NEWARK","ESSEX","NJ","07103","N/A","N/A","N/A","N/A","0.9444","3 out of 10","7","7 out of 9","7 out of 10"
1692,"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","ALBUQUERQUE","BERNALILLO","NM","87106","N/A","N/A","N/A","N/A","0.9333","2 out of 10","2","0 out of 9","2 out of 10"
1693,"320002","ST VINCENT HOSPITAL","455 ST MICHAEL'S DRIVE","SANTA FE","SANTA FE","NM","87505","N/A","N/A","N/A","N/A","0.7143","0 out of 10","3","3 out of 9","3 out of 10"
1694,"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION AVE","LAS VEGAS","SAN MIGUEL","NM","87701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1695,"320004","GERALD CHAMPION REGIONAL MEDICAL CENTE","2669 NORTH SCENIC DRIVE","ALAMOGORDO","OTERO","NM","88310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1696,"320005","SAN JUAN REGIONAL MEDICAL CENTER","801 WEST MAPLE STREET","FARMINGTON","SAN JUAN","NM","87401","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1697,"320006","EASTERN NEW MEXICO MEDICAL CENTER","405 W COUNTRY CLUB ROAD","ROSWELL","CHAVES","NM","88201","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1698,"320009","LOVELACE MEDICAL CENTER","601 DR MARTIN LUTHER KING JR AVE NE","ALBUQUERQUE","BERNALILLO","NM","87102","N/A","N/A","N/A","N/A","0.9773","7 out of 10","9","9 out of 9","9 out of 10"
1699,"320011","PRESBYTERIAN ESPANOLA HOSPITAL","1010 SPRUCE STREET","ESPANOLA","RIO ARRIBA","NM","87532","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1700,"320013","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","1397 WEIMER ROAD","TAOS","TAOS","NM","87571","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1701,"320016","GILA REGIONAL MEDICAL CENTER","1313 E 32ND ST","SILVER CITY","GRANT","NM","88061","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1702,"320017","LOVELACE WOMEN'S HOSPITAL","4701 MONTGOMERY BOULEVARD NE","ALBUQUERQUE","BERNALILLO","NM","87109","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1703,"320018","MEMORIAL MEDICAL CENTER INC","2450 SOUTH TELSHOR BLVD","LAS CRUCES","DONA ANA","NM","88011","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
1704,"320021","PRESBYTERIAN HOSPITAL","1100 CENTRAL AVENUE SE","ALBUQUERQUE","BERNALILLO","NM","87106","N/A","N/A","N/A","N/A","0.9855","8 out of 10","8","7 out of 9","8 out of 10"
1705,"320022","PLAINS REGIONAL MEDICAL CENTER","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS","CURRY","NM","88101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1706,"320033","LOS ALAMOS MEDICAL CENTER","3917 WEST ROAD","LOS ALAMOS","LOS ALAMOS","NM","87544","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1707,"320038","REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES","1901 RED ROCK DRIVE","GALLUP","MCKINLEY","NM","87301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1708,"320059","NORTHERN NAVAJO MEDICAL CENTER","US HWY 491 NORTH","SHIPROCK","SAN JUAN","NM","87420","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1709,"320061","GALLUP INDIAN MEDICAL CENTER","516 E NIZHONI BLVD","GALLUP","MCKINLEY","NM","87301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1710,"320063","CARLSBAD MEDICAL CENTER","2430 WEST PIERCE","CARLSBAD","EDDY","NM","88220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1711,"320065","LEA REGIONAL MEDICAL CENTER","5419 N LOVINGTON HIGHWAY","HOBBS","LEA","NM","88240","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1712,"320074","LOVELACE WESTSIDE HOSPITAL","10501 GOLF COURSE ROAD NW","ALBUQUERQUE","BERNALILLO","NM","87114","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1713,"320085","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","4311 EAST LOHMAN AVENUE","LAS CRUCES","DONA ANA","NM","88011","N/A","N/A","N/A","N/A","0.8000","0 out of 10","0","0 out of 9","0 out of 10"
1714,"320086","LOVELACE REGIONAL HOSPITAL - ROSWELL","117 EAST 19TH STREET","ROSWELL","CHAVES","NM","88201","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1715,"330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","ALBANY","NY","12204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1716,"330004","KINGSTON HOSPITAL","396 BROADWAY","KINGSTON","ULSTER","NY","12401","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1717,"330005","KALEIDA HEALTH","726 EXCHANGE STREET, SUITE 522","BUFFALO","ERIE","NY","14210","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1718,"330006","ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS","WESTCHESTER","NY","10701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1719,"330008","WYOMING COUNTY COMMUNITY HOSPITAL","400 NORTH MAIN STREET","WARSAW","WYOMING","NY","14569","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
1720,"330009","BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX","BRONX","NY","10456","N/A","N/A","N/A","N/A","0.9474","4 out of 10","4","0 out of 9","4 out of 10"
