"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Pain Management Achievement Points","Pain Management Improvement Points","Pain Management Dimension Score","Communication about Medicines Achievement Points","Communication about Medicines Improvement Points","Communication about Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Achievement Po","Cleanliness and Quietness of Hospital Environment Improvement Po","Cleanliness and Quietness of Hospital Environment Dimension Scor","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
1704,"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","FREEHOLD","MONMOUTH","NJ","07728","7 out of 10","7 out of 9","7 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","6 out of 10","6 out of 9","6 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","30","19"
1705,"310112","BAYSHORE COMMUNITY HOSPITAL","727 N BEERS ST","HOLMDEL","MONMOUTH","NJ","07733","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","13","13"
1706,"310113","SOUTHERN OCEAN MEDICAL CENTER","1140 RT 72 W","MANAHAWKIN","OCEAN","NJ","08050","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","4 out of 10","0 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","16","18"
1707,"310115","HACKETTSTOWN REGIONAL MEDICAL CENTER","651 WILLOW GROVE ST","HACKETTSTOWN","WARREN","NJ","07840","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2","13"
1708,"310118","MEADOWLANDS HOSPITAL MEDICAL CENTER","55 MEADOWLANDS PKWY","SECAUCUS","HUDSON","NJ","07094","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","10","14"
1709,"310119","UMDNJ UNIVERSITY HOSPITAL","150 BERGEN ST","NEWARK","ESSEX","NJ","07103","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1","11"
1710,"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","ALBUQUERQUE","BERNALILLO","NM","87106","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","16","14"
1711,"320002","ST VINCENT HOSPITAL","455 ST MICHAEL'S DRIVE","SANTA FE","SANTA FE","NM","87505","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3","8"
1712,"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION AVE","LAS VEGAS","SAN MIGUEL","NM","87701","1 out of 10","3 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1 out of 9","2 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","8 out of 10","8 out of 9","8 out of 10","1 out of 10","4 out of 9","4 out of 10","26","18"
1713,"320085","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","4311 EAST LOHMAN AVENUE","LAS CRUCES","DONA ANA","NM","88011","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","5 out of 9","5 out of 10","2 out of 10","0 out of 9","2 out of 10","9","16"
1714,"320086","LOVELACE REGIONAL HOSPITAL - ROSWELL","117 EAST 19TH STREET","ROSWELL","CHAVES","NM","88201","3 out of 10","3 out of 9","3 out of 10","5 out of 10","5 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","6 out of 10","5 out of 9","6 out of 10","4 out of 10","3 out of 9","4 out of 10","8 out of 10","6 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","34","18"
1715,"330003","ALBANY MEMORIAL HOSPITAL","600 NORTHERN BOULEVARD","ALBANY","ALBANY","NY","12204","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","9 out of 10","9 out of 9","9 out of 10","1 out of 10","0 out of 9","1 out of 10","12","14"
1716,"330004","KINGSTON HOSPITAL","396 BROADWAY","KINGSTON","ULSTER","NY","12401","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0","6"
1717,"330005","KALEIDA HEALTH","726 EXCHANGE STREET, SUITE 522","BUFFALO","ERIE","NY","14210","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3","9"
1718,"330006","ST JOSEPH'S MEDICAL CENTER","127 SOUTH BROADWAY","YONKERS","WESTCHESTER","NY","10701","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","6","12"
1719,"330008","WYOMING COUNTY COMMUNITY HOSPITAL","400 NORTH MAIN STREET","WARSAW","WYOMING","NY","14569","4 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","5 out of 10","6 out of 9","6 out of 10","5 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","7 out of 10","5 out of 9","7 out of 10","0 out of 10","2 out of 9","2 out of 10","31","17"
1720,"330009","BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX","BRONX","NY","10456","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","4","6"
1721,"330011","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE","BINGHAMTON","BROOME","NY","13905","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","2 out of 9","3 out of 10","9 out of 10","6 out of 9","9 out of 10","4 out of 10","3 out of 9","4 out of 10","18","17"
1722,"330013","ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","ALBANY","ALBANY","NY","12208","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","6","10"
1723,"330014","JAMAICA HOSPITAL MEDICAL CENTER","89TH AVENUE AND VAN WYCK EXPRESSWAY","JAMAICA","QUEENS","NY","11418","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2","4"
1724,"330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","2525 KINGS HIGHWAY","BROOKLYN","KINGS","NY","11229","0 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","24","13"
1725,"330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","POUGHKEEPSIE","DUTCHESS","NY","12601","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2","15"
1726,"330024","MOUNT SINAI HOSPITAL","ONE GUSTAVE L LEVY PLACE","NEW YORK","NEW YORK","NY","10029","1 out of 10","3 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","5 out of 10","6 out of 9","6 out of 10","2 out of 10","5 out of 9","5 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","31","18"
1727,"330027","NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TURNPIKE","EAST MEADOW","NASSAU","NY","11554","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","5","7"
1728,"330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","STATEN ISLAND","RICHMOND","NY","10304","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","4","7"
1729,"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","NEWARK","WAYNE","NY","14513","5 out of 10","2 out of 9","5 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","0 out of 9","4 out of 10","2 out of 10","1 out of 9","2 out of 10","6 out of 10","4 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","10 out of 10","9 out of 9","10 out of 10","1 out of 10","1 out of 9","1 out of 10","33","19"
1730,"330033","CHENANGO MEMORIAL HOSPITAL, INC","179 NORTH BROAD STREET","NORWICH","CHENANGO","NY","13815","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","2 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","12","14"
1731,"330037","LAKESIDE MEMORIAL HOSPITAL","156 WEST AVENUE","BROCKPORT","MONROE","NY","14420","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","3 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","15","17"
1732,"330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","BAY SHORE","SUFFOLK","NY","11706","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","1 out of 9","1 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","9","15"
1733,"330044","FAXTON-ST LUKE'S HEALTHCARE","1656 CHAMPLIN AVENUE","UTICA","ONEIDA","NY","13503","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","6","12"
1734,"330045","HUNTINGTON HOSPITAL","270 PARK AVENUE","HUNTINGTON","SUFFOLK","NY","11743","5 out of 10","5 out of 9","5 out of 10","1 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","7 out of 10","7 out of 9","7 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","31","17"
1735,"330046","ST LUKE'S ROOSEVELT HOSPITAL","1111 AMSTERDAM AVENUE","NEW YORK","NEW YORK","NY","10025","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","9","8"
1736,"330047","ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","AMSTERDAM","MONTGOMERY","NY","12010","2 out of 10","0 out of 9","2 out of 10","1 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0 out of 9","7 out of 10","3 out of 10","1 out of 9","3 out of 10","20","16"
1737,"330049","NORTHERN DUTCHESS HOSPITAL","6511 SPRINGBROOK AVENUE","RHINEBECK","DUTCHESS","NY","12572","6 out of 10","3 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","6 out of 10","5 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","9 out of 10","8 out of 9","9 out of 10","0 out of 10","0 out of 9","0 out of 10","7 out of 10","6 out of 9","7 out of 10","4 out of 10","0 out of 9","4 out of 10","42","17"
1738,"330053","MEDINA MEMORIAL HOSPITAL","200 OHIO STREET","MEDINA","ORLEANS","NY","14103","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","1","14"
1739,"330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","56-45 MAIN STREET","FLUSHING","QUEENS","NY","11355","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","20","15"
1740,"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","BROOKLYN","KINGS","NY","11201","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","9","9"
1741,"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","ALBANY","ALBANY","NY","12208","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","7","11"
1742,"330058","GENEVA GENERAL HOSPITAL","196 -198 NORTH STREET","GENEVA","ONTARIO","NY","14456","2 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","2 out of 10","5 out of 9","5 out of 10","4 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","21","14"
1743,"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","BRONX","BRONX","NY","10467","1 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","17","18"
1744,"330061","LAWRENCE HOSPITAL CENTER","55 PALMER AVENUE","BRONXVILLE","WESTCHESTER","NY","10708","1 out of 10","0 out of 9","1 out of 10","3 out of 10","1 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","9","16"
1745,"330064","NEW YORK DOWNTOWN HOSPITAL","170 WILLIAM STREET","NEW YORK","NEW YORK","NY","10038","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1","5"
1746,"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","NIAGARA FALLS","NIAGARA","NY","14302","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2","12"
1747,"330067","ST FRANCIS HOSPITAL","241 NORTH ROAD","POUGHKEEPSIE","DUTCHESS","NY","12601","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1 out of 9","1 out of 10","2 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","6 out of 10","3 out of 9","6 out of 10","0 out of 10","2 out of 9","2 out of 10","14","18"
1748,"330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","BATAVIA","GENESEE","NY","14020","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","4","11"
1749,"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","CANANDAIGUA","ONTARIO","NY","14424","2 out of 10","1 out of 9","2 out of 10","5 out of 10","4 out of 9","5 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","4 out of 9","8 out of 10","3 out of 10","1 out of 9","3 out of 10","25","16"
1750,"330078","SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","BUFFALO","ERIE","NY","14214","3 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","1 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","23","13"
1751,"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","SARANAC LAKE","FRANKLIN","NY","12983","5 out of 10","3 out of 9","5 out of 10","8 out of 10","7 out of 9","8 out of 10","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","4 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","35","20"
1752,"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","BRONX","BRONX","NY","10451","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","3","9"
1753,"330084","ALICE HYDE MEDICAL CENTER","133 PARK STREET","MALONE","FRANKLIN","NY","12953","2 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","4 out of 10","5 out of 9","5 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","12","13"
1754,"330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONE NORTON AVENUE","ONEONTA","OTSEGO","NY","13820","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8 out of 10","7 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","10","15"
1755,"330086","MOUNT VERNON HOSPITAL","12 NORTH 7TH AVENUE","MOUNT VERNON","WESTCHESTER","NY","10550","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4","11"
1756,"330088","EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","GREENPORT","SUFFOLK","NY","11944","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","1 out of 10","0 out of 9","1 out of 10","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","21","19"
1757,"330090","ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","ELMIRA","CHEMUNG","NY","14905","4 out of 10","1 out of 9","4 out of 10","3 out of 10","3 out of 9","3 out of 10","0 out of 10","0 out of 9","0 out of 10","5 out of 10","4 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","1 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","1 out of 10","1 out of 9","1 out of 10","18","17"
1758,"330094","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","HUDSON","COLUMBIA","NY","12534","3 out of 10","5 out of 9","5 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","3 out of 9","3 out of 10","1 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1 out of 9","1 out of 10","15","10"
1759,"330096","JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","WELLSVILLE","ALLEGANY","NY","14895","2 out of 10","4 out of 9","4 out of 10","7 out of 10","7 out of 9","7 out of 10","4 out of 10","5 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","2 out of 10","4 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","3 out of 9","3 out of 10","0 out of 10","2 out of 9","2 out of 10","29","17"
1760,"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","NEW YORK","NEW YORK","NY","10021","1 out of 10","2 out of 9","2 out of 10","1 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","5 out of 10","2 out of 9","5 out of 10","14","16"
