"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"VA","493","Gallbladder Removal by Laparoscope with Complications or Preexisting Conditions","9297 - 10398","1392"
"VT","493","Gallbladder Removal by Laparoscope with Complications or Preexisting Conditions","11481 - 14755","68"
"WA","493","Gallbladder Removal by Laparoscope with Complications or Preexisting Conditions","11052 - 12177","839"
"WI","493","Gallbladder Removal by Laparoscope with Complications or Preexisting Conditions","9934 - 11032","989"
"WV","493","Gallbladder Removal by Laparoscope with Complications or Preexisting Conditions","9186 - 10437","608"
"WY","493","Gallbladder Removal by Laparoscope with Complications or Preexisting Conditions","9893 - 10992","63"
"AK","494","Gallbladder Removal By Laparoscope","8131 - 10435","31"
"AL","494","Gallbladder Removal By Laparoscope","5165 - 5719","632"
"AR","494","Gallbladder Removal By Laparoscope","5362 - 5920","312"
"AZ","494","Gallbladder Removal By Laparoscope","5789 - 6626","509"
"CA","494","Gallbladder Removal By Laparoscope","6620 - 8201","1776"
"CO","494","Gallbladder Removal By Laparoscope","5472 - 6382","215"
"CT","494","Gallbladder Removal By Laparoscope","6613 - 7801","214"
"DC","494","Gallbladder Removal By Laparoscope","5912 - 7817","33"
"DE","494","Gallbladder Removal By Laparoscope","5922 - 6827","62"
"FL","494","Gallbladder Removal By Laparoscope","5348 - 5893","1771"
"GA","494","Gallbladder Removal By Laparoscope","5788 - 6313","572"
"HI","494","Gallbladder Removal By Laparoscope","6541 - 7505","97"
"IA","494","Gallbladder Removal By Laparoscope","5349 - 5665","207"
"ID","494","Gallbladder Removal By Laparoscope","5619 - 5909","103"
"IL","494","Gallbladder Removal By Laparoscope","5743 - 6926","881"
"IN","494","Gallbladder Removal By Laparoscope","5499 - 5845","474"
"KS","494","Gallbladder Removal By Laparoscope","5267 - 5703","146"
"KY","494","Gallbladder Removal By Laparoscope","5338 - 6106","363"
"LA","494","Gallbladder Removal By Laparoscope","5246 - 5912","417"
"MA","494","Gallbladder Removal By Laparoscope","6337 - 7730","379"
"MD","494","Gallbladder Removal By Laparoscope","5973 - 9699","279"
"ME","494","Gallbladder Removal By Laparoscope","5858 - 6128","89"
"MI","494","Gallbladder Removal By Laparoscope","5843 - 6815","514"
"MN","494","Gallbladder Removal By Laparoscope","5819 - 6241","293"
"MO","494","Gallbladder Removal By Laparoscope","5337 - 6054","564"
"MS","494","Gallbladder Removal By Laparoscope","5301 - 5932","408"
"MT","494","Gallbladder Removal By Laparoscope","5114 - 5804","64"
"NC","494","Gallbladder Removal By Laparoscope","5554 - 6008","662"
"ND","494","Gallbladder Removal By Laparoscope","5006 - 5714","65"
"NE","494","Gallbladder Removal By Laparoscope","5500 - 5888","117"
"NH","494","Gallbladder Removal By Laparoscope","6166 - 6572","72"
"NJ","494","Gallbladder Removal By Laparoscope","6374 - 7660","726"
"NM","494","Gallbladder Removal By Laparoscope","5747 - 6670","176"
"NV","494","Gallbladder Removal By Laparoscope","5935 - 6928","112"
"NY","494","Gallbladder Removal By Laparoscope","6309 - 9890","1188"
"OH","494","Gallbladder Removal By Laparoscope","5329 - 6029","671"
"OK","494","Gallbladder Removal By Laparoscope","5253 - 5634","287"
"OR","494","Gallbladder Removal By Laparoscope","6189 - 6564","155"
"PA","494","Gallbladder Removal By Laparoscope","5522 - 6419","890"
"PR","494","Gallbladder Removal By Laparoscope","3327 - 3758","198"
"RI","494","Gallbladder Removal By Laparoscope","5779 - 7469","82"
"SC","494","Gallbladder Removal By Laparoscope","5480 - 6046","369"
"SD","494","Gallbladder Removal By Laparoscope","5494 - 6061","61"
"TN","494","Gallbladder Removal By Laparoscope","5360 - 6068","603"
"TX","494","Gallbladder Removal By Laparoscope","5540 - 6370","1668"
"UT","494","Gallbladder Removal By Laparoscope","5610 - 6140","143"
"VA","494","Gallbladder Removal By Laparoscope","5249 - 5870","447"
"VT","494","Gallbladder Removal By Laparoscope","6562 - 8347","29"
"WA","494","Gallbladder Removal By Laparoscope","6204 - 6738","325"
"WI","494","Gallbladder Removal By Laparoscope","5608 - 6200","332"
"WV","494","Gallbladder Removal By Laparoscope","5219 - 5920","191"
"WY","494","Gallbladder Removal By Laparoscope","5910 - 6435","29"
"AK","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","28872 - 35076","44"
"AL","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","18202 - 20798","883"
"AR","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19119 - 21881","305"
"AZ","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21607 - 28419","630"
"CA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","23924 - 32357","2154"
"CO","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21327 - 25628","684"
"CT","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","24586 - 29554","356"
"DC","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","27944 - 29756","113"
"DE","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","25042 - 27012","103"
"FL","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19428 - 22302","2735"
"GA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20213 - 25682","1134"
"HI","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","25018 - 28908","38"
"IA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20160 - 21526","390"
"ID","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20382 - 22128","262"
"IL","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21276 - 27988","1243"
"IN","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20369 - 24123","957"
"KS","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19000 - 21681","508"
"KY","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21122 - 23503","621"
"LA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20079 - 23450","558"
"MA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","23598 - 30907","485"
"MD","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","22432 - 41810","843"
"ME","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","22203 - 24476","128"
"MI","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21897 - 26416","1866"
"MN","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21982 - 23221","666"
"MO","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20039 - 23624","1110"
"MS","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20111 - 22861","282"
"MT","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19778 - 21492","232"
"NC","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21487 - 26461","1332"
"ND","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","18526 - 19749","78"
"NE","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19915 - 22150","263"
"NH","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","22461 - 29340","83"
"NJ","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","22863 - 27764","365"
"NM","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","22890 - 25854","121"
"NV","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21810 - 26026","276"
"NY","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21924 - 32480","1220"
"OH","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20359 - 23792","1872"
"OK","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","18103 - 23304","545"
"OR","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","23079 - 26077","358"
"PA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20525 - 24323","1211"
"PR","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","12743 - 14030","27"
"RI","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","22914 - 30416","102"
"SC","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20282 - 23617","601"
"SD","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19282 - 21555","252"
"TN","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20095 - 23377","1056"
"TX","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20169 - 23960","2408"
"UT","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21168 - 26831","210"
"VA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19660 - 24670","1108"
"VT","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","25047 - 30891","49"
"WA","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","23134 - 28249","511"
"WI","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","20779 - 24877","584"
"WV","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","19918 - 28696","80"
"WY","497","Back Fusion to Join Spine Bones, not Neck, with Complications or Preexisting Conditions","21913 - 35172","81"
"AK","498","Back Fusion to Join Spine Bones, not Neck","21251 - 34102","13"
"AL","498","Back Fusion to Join Spine Bones, not Neck","14809 - 16272","630"
"AR","498","Back Fusion to Join Spine Bones, not Neck","14826 - 16455","330"
"AZ","498","Back Fusion to Join Spine Bones, not Neck","16716 - 22246","358"
"CA","498","Back Fusion to Join Spine Bones, not Neck","18752 - 24156","1467"
"CO","498","Back Fusion to Join Spine Bones, not Neck","16630 - 18861","363"
"CT","498","Back Fusion to Join Spine Bones, not Neck","18631 - 23135","213"
"DC","498","Back Fusion to Join Spine Bones, not Neck","22189 - 23476","102"
"DE","498","Back Fusion to Join Spine Bones, not Neck","19602 - 19778","111"
"FL","498","Back Fusion to Join Spine Bones, not Neck","15338 - 17307","1845"
"GA","498","Back Fusion to Join Spine Bones, not Neck","15801 - 19050","819"
"HI","498","Back Fusion to Join Spine Bones, not Neck","19471 - 22629","48"
"IA","498","Back Fusion to Join Spine Bones, not Neck","15764 - 16787","188"
"ID","498","Back Fusion to Join Spine Bones, not Neck","16278 - 17321","292"
"IL","498","Back Fusion to Join Spine Bones, not Neck","16640 - 21534","597"
"IN","498","Back Fusion to Join Spine Bones, not Neck","15944 - 18103","582"
"KS","498","Back Fusion to Join Spine Bones, not Neck","14873 - 16971","278"
"KY","498","Back Fusion to Join Spine Bones, not Neck","16534 - 18195","251"
"LA","498","Back Fusion to Join Spine Bones, not Neck","15592 - 18517","474"
"MA","498","Back Fusion to Join Spine Bones, not Neck","18472 - 23912","277"
"MD","498","Back Fusion to Join Spine Bones, not Neck","18408 - 32740","416"
"ME","498","Back Fusion to Join Spine Bones, not Neck","17424 - 19159","95"
"MI","498","Back Fusion to Join Spine Bones, not Neck","17290 - 20678","977"
"MN","498","Back Fusion to Join Spine Bones, not Neck","16857 - 18164","263"
"MO","498","Back Fusion to Join Spine Bones, not Neck","15642 - 18372","626"
"MS","498","Back Fusion to Join Spine Bones, not Neck","16220 - 17418","299"
"MT","498","Back Fusion to Join Spine Bones, not Neck","14674 - 16824","138"
"NC","498","Back Fusion to Join Spine Bones, not Neck","16719 - 20521","837"
"ND","498","Back Fusion to Join Spine Bones, not Neck","14502 - 15459","49"
"NE","498","Back Fusion to Join Spine Bones, not Neck","15932 - 17338","169"
"NH","498","Back Fusion to Join Spine Bones, not Neck","18308 - 25055","89"
"NJ","498","Back Fusion to Join Spine Bones, not Neck","18438 - 22411","282"
"NM","498","Back Fusion to Join Spine Bones, not Neck","18372 - 20213","112"
"NV","498","Back Fusion to Join Spine Bones, not Neck","17646 - 20606","249"
"NY","498","Back Fusion to Join Spine Bones, not Neck","17040 - 25425","837"
"OH","498","Back Fusion to Join Spine Bones, not Neck","16183 - 18720","824"
"OK","498","Back Fusion to Join Spine Bones, not Neck","14170 - 16407","438"
"OR","498","Back Fusion to Join Spine Bones, not Neck","17928 - 19150","349"
"PA","498","Back Fusion to Join Spine Bones, not Neck","16827 - 19401","668"
"PR","498","Back Fusion to Join Spine Bones, not Neck","9806 - 11650","32"
"RI","498","Back Fusion to Join Spine Bones, not Neck","17937 - 23809","95"
"SC","498","Back Fusion to Join Spine Bones, not Neck","15684 - 17603","520"
"SD","498","Back Fusion to Join Spine Bones, not Neck","14919 - 16762","190"
"TN","498","Back Fusion to Join Spine Bones, not Neck","15699 - 18299","1040"
"TX","498","Back Fusion to Join Spine Bones, not Neck","15828 - 18456","1856"
"UT","498","Back Fusion to Join Spine Bones, not Neck","16252 - 17846","295"
"VA","498","Back Fusion to Join Spine Bones, not Neck","15443 - 19312","774"
"VT","498","Back Fusion to Join Spine Bones, not Neck","24130 - 24181","48"
"WA","498","Back Fusion to Join Spine Bones, not Neck","18315 - 21075","386"
"WI","498","Back Fusion to Join Spine Bones, not Neck","15489 - 18379","332"
"WV","498","Back Fusion to Join Spine Bones, not Neck","14998 - 21910","67"
"WY","498","Back Fusion to Join Spine Bones, not Neck","16243 - 22693","84"
"AK","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","10732 - 12143","37"
"AL","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","6896 - 7566","815"
"AR","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7152 - 8383","393"
"AZ","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7873 - 10333","545"
"CA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","9096 - 11532","2672"
"CO","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7750 - 8859","512"
"CT","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","9509 - 10732","429"
"DC","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","10161 - 11438","97"
"DE","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7843 - 9187","84"
"FL","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7247 - 8166","2492"
"GA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7338 - 9365","892"
"HI","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8881 - 10226","37"
"IA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7211 - 7798","570"
"ID","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7559 - 8041","173"
"IL","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7735 - 9821","1401"
"IN","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7406 - 8086","637"
"KS","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","6909 - 7674","485"
"KY","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7543 - 8522","567"
"LA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7291 - 8085","565"
"MA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8580 - 11094","818"
"MD","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","6161 - 13242","640"
"ME","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8245 - 8900","240"
"MI","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8081 - 9605","1363"
"MN","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8219 - 9728","1068"
"MO","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7093 - 8239","909"
"MS","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7483 - 8208","355"
"MT","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7443 - 7811","161"
"NC","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7813 - 9021","1033"
"ND","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","6736 - 7181","157"
"NE","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7401 - 9213","398"
"NH","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8297 - 11638","139"
"NJ","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8523 - 10215","537"
"NM","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7740 - 9171","126"
"NV","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8395 - 9324","293"
"NY","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8247 - 12247","1188"
"OH","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7595 - 9096","1542"
"OK","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","6832 - 8331","560"
"OR","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8328 - 8833","669"
"PA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7816 - 8957","1646"
"PR","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","4476 - 5102","19"
"RI","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8077 - 11150","48"
"SC","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7647 - 8812","592"
"SD","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7804 - 9320","248"
"TN","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7459 - 8092","771"
"TX","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7382 - 8570","2342"
"UT","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7697 - 8290","165"
"VA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7206 - 8633","826"
"VT","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8834 - 11232","32"
"WA","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","8527 - 9400","873"
"WI","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7560 - 8544","745"
"WV","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7157 - 8112","204"
"WY","499","Back & Neck Operations Except Back or Neck Fusion with Complications or Preexisting Conditions","7480 - 7977","47"
"AK","500","Back & Neck Operations Except Back or Neck Fusion","6832 - 8064","35"
"AL","500","Back & Neck Operations Except Back or Neck Fusion","4586 - 5025","1169"
"AR","500","Back & Neck Operations Except Back or Neck Fusion","4413 - 5566","856"
"AZ","500","Back & Neck Operations Except Back or Neck Fusion","5157 - 6863","579"
"CA","500","Back & Neck Operations Except Back or Neck Fusion","6042 - 8063","3459"
"CO","500","Back & Neck Operations Except Back or Neck Fusion","4890 - 5819","658"
"CT","500","Back & Neck Operations Except Back or Neck Fusion","6444 - 7137","486"
"DC","500","Back & Neck Operations Except Back or Neck Fusion","5284 - 7186","154"
"DE","500","Back & Neck Operations Except Back or Neck Fusion","5145 - 6102","137"
"FL","500","Back & Neck Operations Except Back or Neck Fusion","4813 - 5442","2964"
"GA","500","Back & Neck Operations Except Back or Neck Fusion","4960 - 6202","1077"
"HI","500","Back & Neck Operations Except Back or Neck Fusion","6042 - 6981","111"
"IA","500","Back & Neck Operations Except Back or Neck Fusion","4591 - 5179","649"
"ID","500","Back & Neck Operations Except Back or Neck Fusion","5022 - 5340","314"
"IL","500","Back & Neck Operations Except Back or Neck Fusion","5134 - 6223","1300"
"IN","500","Back & Neck Operations Except Back or Neck Fusion","4844 - 5362","731"
"KS","500","Back & Neck Operations Except Back or Neck Fusion","4588 - 5097","458"
"KY","500","Back & Neck Operations Except Back or Neck Fusion","5140 - 5676","552"
"LA","500","Back & Neck Operations Except Back or Neck Fusion","4849 - 5421","670"
"MA","500","Back & Neck Operations Except Back or Neck Fusion","5746 - 7368","920"
"MD","500","Back & Neck Operations Except Back or Neck Fusion","4971 - 9138","682"
"ME","500","Back & Neck Operations Except Back or Neck Fusion","5362 - 5911","308"
"MI","500","Back & Neck Operations Except Back or Neck Fusion","5458 - 6399","1644"
"MN","500","Back & Neck Operations Except Back or Neck Fusion","5447 - 5609","955"
"MO","500","Back & Neck Operations Except Back or Neck Fusion","4720 - 5472","906"
"MS","500","Back & Neck Operations Except Back or Neck Fusion","5004 - 5302","573"
"MT","500","Back & Neck Operations Except Back or Neck Fusion","4930 - 5190","180"
"NC","500","Back & Neck Operations Except Back or Neck Fusion","5161 - 6331","1414"
"ND","500","Back & Neck Operations Except Back or Neck Fusion","4474 - 4785","233"
"NE","500","Back & Neck Operations Except Back or Neck Fusion","4955 - 6249","493"
"NH","500","Back & Neck Operations Except Back or Neck Fusion","5510 - 5917","167"
"NJ","500","Back & Neck Operations Except Back or Neck Fusion","5790 - 6872","645"
"NM","500","Back & Neck Operations Except Back or Neck Fusion","5140 - 6091","155"
"NV","500","Back & Neck Operations Except Back or Neck Fusion","5480 - 6285","365"
"NY","500","Back & Neck Operations Except Back or Neck Fusion","5476 - 8789","1602"
"OH","500","Back & Neck Operations Except Back or Neck Fusion","5042 - 6072","1451"
"OK","500","Back & Neck Operations Except Back or Neck Fusion","4535 - 5029","787"
"OR","500","Back & Neck Operations Except Back or Neck Fusion","5531 - 5999","1020"
"PA","500","Back & Neck Operations Except Back or Neck Fusion","5231 - 5959","1822"
"PR","500","Back & Neck Operations Except Back or Neck Fusion","2973 - 3388","38"
"RI","500","Back & Neck Operations Except Back or Neck Fusion","5363 - 7345","77"
"SC","500","Back & Neck Operations Except Back or Neck Fusion","4876 - 5852","940"
"SD","500","Back & Neck Operations Except Back or Neck Fusion","4656 - 7744","270"
"TN","500","Back & Neck Operations Except Back or Neck Fusion","4843 - 5331","1152"
"TX","500","Back & Neck Operations Except Back or Neck Fusion","4893 - 5685","3257"
"UT","500","Back & Neck Operations Except Back or Neck Fusion","5068 - 5619","358"
"VA","500","Back & Neck Operations Except Back or Neck Fusion","4806 - 5958","1033"
"VT","500","Back & Neck Operations Except Back or Neck Fusion","5870 - 7460","44"
"WA","500","Back & Neck Operations Except Back or Neck Fusion","5663 - 6243","1366"
"WI","500","Back & Neck Operations Except Back or Neck Fusion","4996 - 5674","704"
"WV","500","Back & Neck Operations Except Back or Neck Fusion","4753 - 5388","277"
"WY","500","Back & Neck Operations Except Back or Neck Fusion","4968 - 6245","108"
"AK","515","Insertion of Heart Defibrillator","40323 - 40623","68"
"AL","515","Insertion of Heart Defibrillator","26003 - 30034","834"
"AR","515","Insertion of Heart Defibrillator","27210 - 29527","787"
"AZ","515","Insertion of Heart Defibrillator","28190 - 35270","1065"
"CA","515","Insertion of Heart Defibrillator","33886 - 44364","2900"
"CO","515","Insertion of Heart Defibrillator","29646 - 32730","315"
"CT","515","Insertion of Heart Defibrillator","39146 - 41989","778"
"DC","515","Insertion of Heart Defibrillator","38300 - 38829","229"
"DE","515","Insertion of Heart Defibrillator","33189 - 34595","284"
"FL","515","Insertion of Heart Defibrillator","27296 - 31695","4005"
"GA","515","Insertion of Heart Defibrillator","28080 - 35547","1381"
"HI","515","Insertion of Heart Defibrillator","33442 - 39581","126"
"IA","515","Insertion of Heart Defibrillator","27604 - 29364","814"
"ID","515","Insertion of Heart Defibrillator","28474 - 30444","46"
"IL","515","Insertion of Heart Defibrillator","29143 - 35938","2141"
"IN","515","Insertion of Heart Defibrillator","27389 - 31512","1465"
"KS","515","Insertion of Heart Defibrillator","26015 - 29685","434"
"KY","515","Insertion of Heart Defibrillator","29536 - 32210","909"
"LA","515","Insertion of Heart Defibrillator","26691 - 30221","983"
"MA","515","Insertion of Heart Defibrillator","36020 - 45135","651"
"MD","515","Insertion of Heart Defibrillator","32241 - 51505","815"
"ME","515","Insertion of Heart Defibrillator","31049 - 33513","189"
"MI","515","Insertion of Heart Defibrillator","32600 - 37857","1564"
"MN","515","Insertion of Heart Defibrillator","31257 - 36471","883"
"MO","515","Insertion of Heart Defibrillator","26736 - 32347","1184"
"MS","515","Insertion of Heart Defibrillator","27714 - 30767","596"
"MT","515","Insertion of Heart Defibrillator","28046 - 29428","120"
"NC","515","Insertion of Heart Defibrillator","30293 - 37955","1375"
"ND","515","Insertion of Heart Defibrillator","27040 - 30497","264"
"NE","515","Insertion of Heart Defibrillator","27664 - 34334","467"
"NH","515","Insertion of Heart Defibrillator","31242 - 43825","147"
"NJ","515","Insertion of Heart Defibrillator","34924 - 41066","2073"
"NM","515","Insertion of Heart Defibrillator","28692 - 32269","145"
"NV","515","Insertion of Heart Defibrillator","34682 - 35109","288"
"NY","515","Insertion of Heart Defibrillator","34093 - 50457","3069"
"OH","515","Insertion of Heart Defibrillator","28898 - 35787","2959"
"OK","515","Insertion of Heart Defibrillator","26929 - 31372","809"
"OR","515","Insertion of Heart Defibrillator","31586 - 34715","282"
"PA","515","Insertion of Heart Defibrillator","29704 - 34202","2738"
"PR","515","Insertion of Heart Defibrillator","16856","22"
"RI","515","Insertion of Heart Defibrillator","39984 - 42325","102"
"SC","515","Insertion of Heart Defibrillator","27034 - 35557","797"
"SD","515","Insertion of Heart Defibrillator","26597 - 29319","153"
"TN","515","Insertion of Heart Defibrillator","28087 - 32515","1474"
"TX","515","Insertion of Heart Defibrillator","28232 - 33597","3559"
"UT","515","Insertion of Heart Defibrillator","29965 - 38254","269"
"VA","515","Insertion of Heart Defibrillator","28016 - 36908","698"
"VT","515","Insertion of Heart Defibrillator","42296","84"
"WA","515","Insertion of Heart Defibrillator","34153 - 36986","733"
"WI","515","Insertion of Heart Defibrillator","29276 - 32658","828"
"WV","515","Insertion of Heart Defibrillator","26565 - 32216","360"
"WY","515","Insertion of Heart Defibrillator","30003 - 46473","27"
"AK","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","18083 - 20513","21"
"AL","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12632 - 14501","466"
"AR","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","12987 - 15356","151"
"AZ","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","15393 - 20002","221"
"CA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","16666 - 22425","1046"
"CO","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","14206 - 16282","204"
"CT","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","16781 - 19686","174"
"DC","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","18881 - 19898","64"
"DE","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","16718 - 16829","40"
"FL","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13275 - 15533","1172"
"GA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13925 - 17156","528"
"HI","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","17698 - 19255","12"
"IA","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13428 - 18647","113"
"ID","519","Neck Fusion to Join Bones with Complications or Preexisting Conditions","13847 - 14810","109"
