"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","Surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method","Number of Patients 7","Footnote 7","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"330011","OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE","","","BINGHAMTON","NY","13905","BROOME","6077985111","98","202","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","202","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","213","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","214","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","303","The hospital indicated that the data submitted for this measure were based on a sample of cases","78","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","72","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","335","","94","389","","100","329","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330013","ALBANY MEDICAL CENTER HOSPITAL","43 NEW SCOTLAND AVENUE","","","ALBANY","NY","12208","ALBANY","5182623125","99","382","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","380","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","394","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","291","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","291","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","125","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","580","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","232","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","198","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","559","","96","556","","100","483","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330014","JAMAICA HOSPITAL MEDICAL CENTER","89TH AVENUE AND VAN WYCK EXPRESSWAY","","","JAMAICA","NY","11418","QUEENS","7182626000","97","190","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","192","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","328","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","329","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","422","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","68","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","67","","85","61","","95","423","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","2525 KINGS HIGHWAY","","","BROOKLYN","NY","11229","KINGS","7186925302","100","56","","100","54","","96","56","","99","95","","99","95","","Not Available","0","","100","111","","97","39","","98","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","109",""
"330023","VASSAR BROTHERS MEDICAL CENTER","45 READE PLACE","","","POUGHKEEPSIE","NY","12601","DUTCHESS","8454548500","99","361","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","364","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","163","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","600","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","193","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","257","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","542","","99","541","","100","408","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330024","MOUNT SINAI HOSPITAL","ONE GUSTAVE L LEVY PLACE","","","NEW YORK","NY","10029","NEW YORK","2122417981","99","722","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","701","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","731","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","737","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","737","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","176","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","1165","The hospital indicated that the data submitted for this measure were based on a sample of cases","87","580","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","371","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","712","","94","730","","100","1065","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330027","NASSAU UNIVERSITY MEDICAL CENTER","2201 HEMPSTEAD TURNPIKE","","","EAST MEADOW","NY","11554","NASSAU","5165720123","97","177","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","165","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","177","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","258","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","258","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","323","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","125","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","43","","77","60","","100","349","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","","","STATEN ISLAND","NY","10304","RICHMOND","7188181234","99","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","253","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","259","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","302","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","302","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","396","The hospital indicated that the data submitted for this measure were based on a sample of cases","70","128","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","88","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","310","","95","305","","98","409","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330029","SHEEHAN MEMORIAL HOSPITAL","425 MICHIGAN AVENUE","","","BUFFALO","NY","14203","ERIE","7168482000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","","","NEWARK","NY","14513","WAYNE","3153322022","93","181","","97","179","","97","182","","95","200","","95","202","","Not Available","0","","100","271","","92","153","","89","82","","92","65","","95","63","","95","266",""
"330033","CHENANGO MEMORIAL HOSPITAL, INC","179 NORTH BROAD STREET","","","NORWICH","NY","13815","CHENANGO","6073354111","95","134","","92","130","","96","134","","97","134","","99","134","","Not Available","0","","99","167","","100","97","","94","34","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","179",""
"330037","LAKESIDE MEMORIAL HOSPITAL","156 WEST AVENUE","","","BROCKPORT","NY","14420","MONROE","5856373131","99","85","","92","84","","98","85","","96","117","","96","117","","Not Available","0","","100","136","","89","44","","100","51","","92","24","","95","22","","100","138",""
"330043","SOUTHSIDE HOSPITAL","301 EAST MAIN STREET","","","BAY SHORE","NY","11706","SUFFOLK","6319683000","100","396","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","380","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","398","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","308","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","308","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","141","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","545","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","274","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","93","","98","93","","100","451","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330044","FAXTON-ST LUKE'S HEALTHCARE","1656 CHAMPLIN AVENUE","","","UTICA","NY","13503","ONEIDA","3157986000","93","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","267","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","280","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","282","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","429","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","160","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","112","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","264","","75","236","","96","451","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330045","HUNTINGTON HOSPITAL","270 PARK AVENUE","","","HUNTINGTON","NY","11743","SUFFOLK","6313512000","97","222","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","209","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","220","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","281","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","281","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","369","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","116","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","129","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","320","","97","319","","100","387","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330046","ST LUKE'S ROOSEVELT HOSPITAL","1111 AMSTERDAM AVENUE","","","NEW YORK","NY","10025","NEW YORK","2125234000","99","583","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","568","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","592","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","467","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","467","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","131","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","803","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","424","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","317","","88","330","","100","660","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330047","ST MARY'S HOSPITAL AT AMSTERDAM","427 GUY PARK AVENUE","","","AMSTERDAM","NY","12010","MONTGOMERY","5188421900","100","150","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","146","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","150","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","200","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","200","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","264","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","148","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","63","","97","119","","100","253","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330049","NORTHERN DUTCHESS HOSPITAL","6511 SPRINGBROOK AVENUE","","","RHINEBECK","NY","12572","DUTCHESS","8458713391","98","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","237","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","246","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","246","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","334","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","290","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","97","","96","96","","100","337","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330053","MEDINA MEMORIAL HOSPITAL","200 OHIO STREET","","","MEDINA","NY","14103","ORLEANS","5857988111","93","45","","90","42","","95","44","","92","61","","97","61","","Not Available","0","","100","69","","93","28","","93","27","","45","11","","89","27","","96","68",""
"330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","56-45 MAIN STREET","","","FLUSHING","NY","11355","QUEENS","7186701231","98","500","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","468","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","502","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","423","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","423","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","115","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","721","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","424","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","221","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","320","","97","319","","99","592","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","","","BROOKLYN","NY","11201","KINGS","7182508000","93","164","","94","158","","97","165","","98","322","","98","322","","Not Available","0","","100","421","","98","161","","97","105","","61","180","","84","158","","99","441",""
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","","","ALBANY","NY","12208","ALBANY","5185251550","99","592","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","589","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","601","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","449","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","449","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","184","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","794","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","347","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","252","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","949","","96","936","","100","628","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330058","GENEVA GENERAL HOSPITAL","196 -198 NORTH STREET","","","GENEVA","NY","14456","ONTARIO","3157874175","99","194","","93","191","","98","195","","93","234","","98","234","","Not Available","0","","100","311","","92","212","","99","114","","84","56","","94","108","","99","343",""
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","","","BRONX","NY","10467","BRONX","7189204321","86","795","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","748","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","783","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","611","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","612","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","204","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","1153","The hospital indicated that the data submitted for this measure were based on a sample of cases","81","498","The hospital indicated that the data submitted for this measure were based on a sample of cases","82","428","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","598","","66","580","","93","970","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330061","LAWRENCE HOSPITAL CENTER","55 PALMER AVENUE","","","BRONXVILLE","NY","10708","WESTCHESTER","9147871000","100","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","179","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","248","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","248","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","297","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","125","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","97","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","85","","90","83","","99","332","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330064","NEW YORK DOWNTOWN HOSPITAL","170 WILLIAM STREET","","","NEW YORK","NY","10038","NEW YORK","2123125000","98","215","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","207","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","215","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","272","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","272","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","328","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","170","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","61","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","124","","97","116","","100","340","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","","","NIAGARA FALLS","NY","14302","NIAGARA","7162784000","98","84","","97","79","","99","83","","97","116","","97","116","","Not Available","0","","100","150","","95","44","","100","33","","95","74","","99","81","","98","149",""
"330067","ST FRANCIS HOSPITAL","241 NORTH ROAD","","","POUGHKEEPSIE","NY","12601","DUTCHESS","8454835000","100","206","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","201","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","209","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","355","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","120","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","101","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","178","","98","178","","100","354","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330073","UNITED MEMORIAL MEDICAL CENTER","127 NORTH STREET","","","BATAVIA","NY","14020","GENESEE","5853436030","92","209","","89","204","","100","209","","95","218","","97","218","","Not Available","0","","100","262","","74","168","","100","104","","86","29","","90","30","","99","261",""
"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","","","CANANDAIGUA","NY","14424","ONTARIO","5853966000","99","455","","99","441","","98","454","","99","374","","99","374","","Not Available","0","","99","521","","97","370","","89","130","","94","65","","95","64","","96","522",""
"330078","SISTERS OF CHARITY HOSPITAL","2157 MAIN STREET","","","BUFFALO","NY","14214","ERIE","7168621000","95","573","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","561","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","572","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","599","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","599","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","869","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","505","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","304","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","519","","99","501","","99","882","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","","","SARANAC LAKE","NY","12983","FRANKLIN","5188914141","97","175","","97","173","","98","177","","85","251","","85","258","","Not Available","0","","100","304","","87","207","","96","77","","90","126","","90","121","","99","376",""
"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","234 EAST 149TH STREET","","","BRONX","NY","10451","BRONX","7185795000","96","188","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","279","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","279","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","344","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","144","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","59","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","157","","96","157","","100","348","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330084","ALICE HYDE MEDICAL CENTER","133 PARK STREET","","","MALONE","NY","12953","FRANKLIN","5184833000","97","61","","100","55","","97","61","","96","102","","97","102","","Not Available","0","","100","118","","100","58","","100","33","","95","40","","79","39","","100","125",""
"330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","ONE NORTON AVENUE","","","ONEONTA","NY","13820","OTSEGO","6074232000","96","94","","100","94","","100","95","","95","119","","95","119","","Not Available","0","","100","148","","92","88","","98","40","","82","56","","96","74","","97","152",""
"330086","MOUNT VERNON HOSPITAL","12 NORTH 7TH AVENUE","","","MOUNT VERNON","NY","10550","WESTCHESTER","9146648000","100","32","","88","32","","100","32","","89","57","","90","58","","Not Available","0","","100","76","","79","33","","56","16","","100","19","","100","19","","91","79",""
"330088","EASTERN LONG ISLAND HOSPITAL","201 MANOR PLACE","","","GREENPORT","NY","11944","SUFFOLK","6314771000","91","23","","100","21","","100","23","","91","34","","91","34","","Not Available","0","","100","37","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","15","","97","33","","100","34","","100","41",""
"330090","ARNOT OGDEN MEDICAL CENTER","600 ROE AVENUE","","","ELMIRA","NY","14905","CHEMUNG","6077374100","99","579","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","561","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","586","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","429","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","432","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","116","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","740","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","223","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","261","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","340","","100","340","","100","614","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330094","COLUMBIA MEMORIAL HOSPITAL","71 PROSPECT AVENUE","","","HUDSON","NY","12534","COLUMBIA","5188287601","95","152","","93","149","","95","154","","93","217","","94","218","","Not Available","0","","100","270","","89","175","","93","89","","96","119","","87","118","","100","274",""
"330096","JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","","","WELLSVILLE","NY","14895","ALLEGANY","5855931100","98","60","","88","59","","92","60","","95","58","","97","58","","Not Available","0","","99","76","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","95","19","","100","21","","100","21","","99","81",""
"330100","NY EYE AND EAR INFIRMARY","310 EAST 14TH STREET","","","NEW YORK","NY","10003","NEW YORK","2129794000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","525 EAST 68TH STREET","","","NEW YORK","NY","10021","NEW YORK","2127464189","96","942","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","916","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","951","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","938","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","938","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","338","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1714","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","661","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","526","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","1236","","96","1233","","100","1377","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","","","KENMORE","NY","14217","ERIE","7164476100","99","244","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","242","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","244","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","300","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","300","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","396","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","94","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","127","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","566","","99","566","","100","395","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330103","OLEAN GENERAL HOSPITAL","515 MAIN STREET","","","OLEAN","NY","14760","CATTARAUGUS","7163732600","100","226","","96","207","","99","227","","95","277","","97","277","","Not Available","0","","100","355","","76","118","","96","104","","95","149","","92","146","","100","355",""
"330104","NYACK HOSPITAL","160 NORTH MIDLAND AVENUE","","","NYACK","NY","10960","ROCKLAND","8453482000","100","366","","98","358","","98","366","","99","429","","100","429","","Not Available","0","","100","569","","98","355","","99","144","","96","89","","95","86","","100","571",""
"330106","NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE","","","MANHASSET","NY","11030","NASSAU","5165620100","100","554","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","543","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","563","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","505","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","505","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","158","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","900","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","480","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","276","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","361","","96","358","","99","789","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","","","RIVERHEAD","NY","11901","SUFFOLK","6315486000","98","551","","96","540","","97","553","","97","577","","98","578","","Not Available","0","","100","725","","96","545","","92","225","","96","79","","94","78","","100","771",""
