"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Outpatients with low back pain who had an MRI without trying recommended treatments first such as physical therapy","Number of Patients 1","Footnote 1","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram","Number of Patients 2","Footnote 2","Outpatient CT scans of the abdomen that were “combination” (double) scans","Number of Patients 3","Footnote 3","Outpatient CT scans of the chest that were “combination” (double) scans","Number of Patients 4","Footnote 4","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Number of Patients 5","Footnote 5","Outpatients with brain CT scans who got a sinus CT scan at the same time","Number of Patients 6","Footnote 6"
"190263","HEART HOSPITAL OF LAFAYETTE","1105 KALISTE SALOOM ROAD","","","LAFAYETTE","LA","70508","LAFAYETTE","3375211000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0.04","100","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0","89",""
"190266","THE NEUROMEDICAL CENTER HOSPITAL","10105 PARK ROW CIRCLE","","","BATON ROUGE","LA","70810","EAST BATON ROUGE","2257639900","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190267","FAIRWAY MEDICAL CENTER","67252 INDUSTRY LANE","","","COVINGTON","LA","70433","SAINT TAMMANY","9858013010","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"190268","LAFAYETTE GENERAL SURGICAL HOSPITAL","1000 W PINHOOK RD SUITE 100","","","LAFAYETTE","LA","70503","LAFAYETTE","3372898095","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190270","SOUTHERN SURGICAL HOSPITAL","1700 W LINDBERG DRIVE","","","SLIDELL","LA","70458","SAINT TAMMANY","9856410600","39.6","53","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190273","GREATER BATON ROUGE SURGICAL HOSPITAL","7855 HOWELL PLACE BLVD","","","BATON ROUGE","LA","70807","EAST BATON ROUGE","2253584900","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190274","OCHSNER MEDICAL CENTER-KENNER LLC","180 WEST ESPLANADE AVENUE","","","KENNER","LA","70065","JEFFERSON","5044648065","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","8.6","245","","0.311","222","","0","79","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"190278","SPECIALISTS HOSPITAL SHREVEPORT","1500 LINE AVENUE","","","SHREVEPORT","LA","71101","CADDO","3182133800","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190297","DOCTORS HOSPITAL AT DEER CREEK LLC","815 SOUTH 10TH STREET","","","LEESVILLE","LA","71446","VERNON","3373925088","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","0.525","40","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"190298","CENTRAL LOUISIANA SURGICAL HOSPITAL","651 NORTH BOLTON AVE","","","ALEXANDRIA","LA","71301","RAPIDES","3184433511","34.2","73","","Not Available","Not Available","No data are available from the hospital for this measure","0.895","86","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"190303","CYPRESS POINTE SURGICAL HOSPITAL","42570 SOUTH AIRPORT RD","","","HAMMOND","LA","70403","TANGIPAHOA","9855106200","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"190307","SOUTH CAMERON MEMORIAL HOSPITAL","5360 WEST CREOLE HWY","","","CAMERON","LA","70631","CAMERON","3375424111","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"191301","UNION GENERAL HOSPITAL","901 JAMES AVE","","","FARMERVILLE","LA","71241","UNION","3183689751","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"191305","ST JAMES PARISH HOSPITAL","1645 LUTCHER AVENUE","","","LUTCHER","LA","70071","SAINT JAMES","2258695512","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","9.5","158","","0.297","138","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","3","67","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"191306","WEST FELICIANA PARISH HOSPITAL","5266 COMMERCE STREET","","","SAINT FRANCISVILLE","LA","70775","WEST FELICIANA","2256353811","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.621","66","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"191311","BUNKIE GENERAL HOSPITAL","427 EVERGREEN STREET","","","BUNKIE                        ","LA","71322","AVOYELLES","3183466681","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.239","113","","0.471","34","","Not Available","Not Available","No data are available from the hospital for this measure","0.6","176",""
"191317","JACKSON PARISH HOSPITAL","165 BEECH SPRINGS ROAD","","","JONESBORO","LA","71251","JACKSON","3182594321","Not Available","Not Available","No data are available from the hospital for this measure","5.8","86","","0.17","94","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","5.1","196",""
"191324","OCHSNER ST ANNE GENERAL HOSPITAL","4608 HIGHWAY 1","","","RACELAND","LA","70394","LAFOURCHE","9855378377","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","2.2","356","","0.37","138","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"191326","REEVES MEMORIAL MEDICAL CENTER","409 FIRST STREET","","","BERNICE","LA","71222","UNION","3182859066","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200001","ST JOSEPH HOSPITAL","360 BROADWAY","","","BANGOR","ME","04401","PENOBSCOT","2072621000","31.9","185","","5.4","2687","","0.015","535","","0","336","","3.9","257","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200002","MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE","35 MILES STREET","","","DAMARISCOTTA","ME","04543","LINCOLN","2075631234","47.3","55","","5.6","623","","0.038","264","","0.013","156","","2.6","156","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200008","MERCY HOSPITAL","144 STATE STREET","","","PORTLAND","ME","04101","CUMBERLAND","2078793000","34.7","173","","8.3","2011","","0.047","632","","0","520","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0.8","478",""
"200009","MAINE MEDICAL CENTER","22 BRAMHALL ST","","","PORTLAND","ME","04102","CUMBERLAND","2076620111","33.1","136","","9.3","2076","","0.091","1886","","0","1793","","5.6","216","","1.1","1265",""
"200018","AROOSTOOK MEDICAL CENTER,THE","140 ACADEMY ST - PO BOX 151","","","PRESQUE ISLE","ME","04769","AROOSTOOK","2077684000","Not Available","Not Available","No data are available from the hospital for this measure","8.7","1320","","0.389","447","","0.24","412","","6.6","335","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200019","SOUTHERN MAINE MEDICAL CENTER","1 MEDICAL CENTER DRIVE","","","BIDDEFORD","ME","04005","YORK","2072837000","33.8","160","","7.5","1832","","0.032","815","","0","561","","5.4","689","","0.9","886",""
"200020","YORK HOSPITAL","15 HOSPITAL DRIVE","","","YORK","ME","03909","YORK","2073634321","27.4","84","","8.2","1765","","0.108","592","","0.006","516","","5.2","383","","1.2","414",""
"200021","MID COAST HOSPITAL","123 MEDICAL CENTER DRIVE","","","BRUNSWICK","ME","04011","CUMBERLAND","2077290181","32.1","159","","8.3","1155","","0.085","539","","0","461","","2.3","133","","0.9","464",""
"200024","CENTRAL MAINE MEDICAL CENTER","300 MAIN STREET","","","LEWISTON","ME","04240","ANDROSCOGGIN","2077950111","Not Available","Not Available","No data are available from the hospital for this measure","5.8","1833","","0.052","1045","","0.001","791","","7.8","650","","2.1","713",""
"200025","PARKVIEW ADVENTIST MEDICAL CENTER","329 MAIN ST","","","BRUNSWICK","ME","04011","CUMBERLAND","2073732000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","11.8","728","","0.022","227","","0.007","141","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200031","CARY MEDICAL CENTER","163 VAN BUREN RD, SUITE 1","","","CARIBOU","ME","04736","AROOSTOOK","2074983111","49.5","91","","14.1","809","","0.142","450","","0.017","415","","5.9","222","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200033","EASTERN MAINE MEDICAL CENTER","489 STATE ST, PO BOX 404","","","BANGOR","ME","04401","PENOBSCOT","2079737000","42.3","227","","5","1587","","0.018","1384","","0.001","1322","","6.7","415","","2.3","642",""
"200034","ST MARYS REGIONAL MEDICAL CENTER","CAMPUS AVENUE - PO BOX 291","","","LEWISTON","ME","04240","ANDROSCOGGIN","2077778100","43.7","151","","11.4","1330","","0.049","672","","0.006","519","","4.3","164","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200037","FRANKLIN MEMORIAL HOSPITAL","111 FRANKLIN HEALTH COMMONS","","","FARMINGTON","ME","04938","FRANKLIN","2077786031","46.7","90","","8","1126","","0.095","388","","0.009","231","","2.2","184","","4.4","272",""
"200039","MAINE GENERAL MEDICAL CENTER","6 E CHESTNUT ST","","","AUGUSTA","ME","04330","KENNEBEC","2078721000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","6","3213","","0.027","1349","","0.001","1112","","4.9","547","","1.2","969",""
"200040","HENRIETTA D GOODALL HOSPITAL","25 JUNE ST","","","SANFORD","ME","04073","YORK","2073244310","26.6","94","","10.3","1073","","0.051","376","","0.015","343","","6.3","158","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200041","INLAND HOSPITAL","200 KENNEDY MEMORIAL DRIVE","","","WATERVILLE","ME","04901","KENNEBEC","2078613000","28.6","56","","8.1","491","","0.014","296","","0.007","139","","6.1","424","","0.3","289",""
"200050","MAINE COAST MEMORIAL HOSPITAL","50 UNION ST","","","ELLSWORTH","ME","04605","HANCOCK","2076675311","44","100","","1.8","872","","0.062","420","","0.005","188","","4.2","165","","1.1","273",""
"200052","NORTHERN MAINE MEDICAL CENTER","194 E MAIN STREET","","","FORT KENT","ME","04743","AROOSTOOK","2078343195","55.2","67","","5.7","755","","0.361","216","","0.051","197","","5.5","146","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"200063","PENOBSCOT BAY MEDICAL CENTER","6 GLEN COVE DRIVE","","","ROCKPORT","ME","04856","KNOX","2075968000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0.046","503","","0","468","","5.2","287","","1.4","436",""
"201302","ST ANDREWS HOSPITAL (LINCOLN COUNTY HEALTHCARE)","6 ST ANDREWS LANE  - PO BOX 417","","","BOOTHBAY HARBOR","ME","04538","LINCOLN","2076332121","Not Available","Not Available","No data are available from the hospital for this measure","9.7","176","","0.045","110","","0","70","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"201303","PENOBSCOT VALLEY HOSPITAL","7 TRANSALPINE ROAD, PO BOX 368","","","LINCOLN","ME","04457","PENOBSCOT","2077943321","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","9.3","355","","0.013","159","","0","81","","4.6","87","","1","197",""
"201304","MOUNT DESERT ISLAND HOSPITAL","10 WAYMAN LANE, PO BOX 8","","","BAR HARBOR","ME","04609","HANCOCK","2072885081","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","8.5","366","","0.1","251","","0.028","107","","3.8","79","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"201305","CALAIS REGIONAL HOSPITAL","24 HOSPITAL LANE","","","CALAIS","ME","04619","WASHINGTON","2074547521","51.3","39","","4.6","372","","0.26","292","","0.388","147","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","1.1","262",""
"201306","RUMFORD  HOSPITAL","420 FRANKLIN STREET","","","RUMFORD","ME","04276","OXFORD","2073691000","Not Available","Not Available","No data are available from the hospital for this measure","5.1","565","","0.043","278","","0.006","179","","5.1","99","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"201307","MILLINOCKET REGIONAL HOSPITAL","200 SOMERSET STREET","","","MILLINOCKET","ME","04462","PENOBSCOT","2077235161","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","13.7","409","","0.043","161","","0","157","","3.6","139","","0.6","177",""
"201308","HOULTON REGIONAL HOSPITAL","20 HARTFORD STREET","","","HOULTON","ME","04730","AROOSTOOK","2075322900","Not Available","Not Available","No data are available from the hospital for this measure","3.1","590","","0.024","371","","0.007","152","","3.8","133","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"201310","BRIDGTON HOSPITAL","10 HOSPITAL DRIVE","","","BRIDGTON","ME","04009","CUMBERLAND","2076476000","48.6","35","","5.4","700","","0.034","380","","0.005","190","","4.3","117","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"201311","DOWN EAST COMMUNITY HOSPITAL","11 HOSPITAL DRIVE","","","MACHIAS","ME","04654","WASHINGTON","2072553356","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","15.6","540","","0.189","264","","0.162","136","","1.8","55","","1.1","276",""
"201313","SEBASTICOOK VALLEY HOSPITAL (HEALTH)","447 NORTH MAIN STREET","","","PITTSFIELD","ME","04967","SOMERSET","2074875141","48.1","77","","3.7","574","","0.026","268","","0","117","","4.5","132","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"201314","REDINGTON FAIRVIEW GENERAL HOSPITAL","46 FAIRVIEW AVE   PO BOX 468","","","SKOWHEGAN","ME","04976","SOMERSET","2074745121","Not Available","Not Available","No data are available from the hospital for this measure","8.9","868","","0.119","496","","0.013","306","","3.4","148","","0.9","541",""
"201315","STEPHENS MEMORIAL HOSPITAL","181 MAIN STREET","","","NORWAY","ME","04268","OXFORD","2077435933","42.7","75","","7.1","1136","","0.108","287","","0.02","307","","4.8","83","","0.9","213",""
"210004","HOLY CROSS HOSPITAL","1500 FOREST GLEN ROAD","","","SILVER SPRING","MD","20910","MONTGOMERY","3017547000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","12.9","124","","0.015","545","","0","309","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","5.5","1261",""
"210027","WESTERN MARYLAND REGIONAL MEDICAL CENTER","12500 WILLOWBROOK ROAD","","","CUMBERLAND","MD","21502","ALLEGANY","2409648001","44.2","104","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0.089","959","","0.001","726","","6.1","394","","7.7","865",""
"210058","JAMES LAWRENCE KERNAN HOSPITAL INC","2200 KERNAN DRIVE","","","BALTIMORE                     ","MD","21207","BALTIMORE CITY","4104486701","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"220001","HEALTHALLIANCE HOSPITALS, INC","60 HOSPITAL ROAD","","","LEOMINSTER","MA","01453","WORCESTER","9784662000","Not Available","Not Available","No data are available from the hospital for this measure","6.8","1269","","0.022","558","","0.002","441","","3.8","293","","1.2","587",""
"220002","MOUNT AUBURN HOSPITAL","330 MOUNT AUBURN STREET","","","CAMBRIDGE","MA","02138","MIDDLESEX","6174923500","39.6","192","","8.4","1924","","0.172","758","","0","601","","7","300","","0.2","502",""
"220008","STURDY MEMORIAL HOSPITAL","211 PARK STREET","","","ATTLEBORO","MA","02703","BRISTOL","5082225200","33","179","","11.9","2112","","0.073","807","","0.016","429","","4.6","238","","0.9","794",""
"220010","LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET","","","LAWRENCE","MA","01842","ESSEX","9786834000","Not Available","Not Available","No data are available from the hospital for this measure","14.3","933","","0.045","914","","0.05","535","","4.8","418","","2.7","1038",""
"220011","CAMBRIDGE HEALTH ALLIANCE","1493 CAMBRIDGE STREET","","","CAMBRIDGE","MA","02138","MIDDLESEX","6176652300","28.9","76","","7","1433","","0.173","560","","0","287","","3.5","231","","2","695",""
"220012","CAPE COD HOSPITAL","88 LEWIS BAY ROAD","","","HYANNIS","MA","02601","BARNSTABLE","5087711800","37.9","417","","11.2","4404","","0.084","2488","","0.034","1730","","4.4","45","","2.3","1949",""
"220015","COOLEY DICKINSON HOSPITAL INC,THE","30 LOCUST STREET","","","NORTHAMPTON","MA","01060","HAMPSHIRE","4135822000","25.4","193","","7.6","1939","","0.032","782","","0.002","574","","3.1","97","","1.4","561",""
"220016","BAYSTATE FRANKLIN MEDICAL CENTER","164 HIGH STREET","","","GREENFIELD","MA","01301","FRANKLIN","4137730211","Not Available","Not Available","No data are available from the hospital for this measure","9.3","698","","0.118","636","","0.007","306","","6","250","","2","537",""
"220017","CARNEY HOSPITAL","2100 DORCHESTER AVENUE","","","BOSTON","MA","02124","SUFFOLK","6175062000","52.8","36","","24.9","867","","0.109","385","","0.017","295","","6.5","168","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220019","HARRINGTON MEMORIAL HOSPITAL","100 SOUTH STREET","","","SOUTHBRIDGE","MA","01550","WORCESTER","5087659771","37.8","74","","7.7","971","","0.104","479","","0.03","338","","6.3","238","","2.1","477",""
"220020","SAINT ANNE'S HOSPITAL","795 MIDDLE STREET","","","FALL RIVER","MA","02721","BRISTOL","5086745600","34.1","179","","12.3","1335","","0.056","701","","0","606","","5.3","133","","2.4","510",""
"220024","HOLYOKE MEDICAL CENTER","575 BEECH STREET","","","HOLYOKE","MA","01040","HAMPDEN","4135342500","37.5","152","","8","1710","","0.027","828","","0.003","338","","2.7","263","","2.2","916",""
"220029","ANNA JAQUES HOSPITAL","25 HIGHLAND AVENUE","","","NEWBURYPORT","MA","01950","ESSEX","9784631000","Not Available","Not Available","No data are available from the hospital for this measure","9.4","2187","","0.029","657","","0.002","561","","4.1","363","","1.5","590",""
"220030","WING MEMORIAL HOSPITAL AND MEDICAL CENTER","40 WRIGHT STREET","","","PALMER","MA","01069","HAMPDEN","4132837651","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","6.1","864","","0.096","417","","0.005","370","","2.7","112","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220031","BOSTON MEDICAL CENTER CORPORATION","1 BOSTON MEDICAL CENTER PLACE","","","BOSTON","MA","02118","SUFFOLK","6176388000","38.5","192","","5.8","2905","","0.046","1386","","0.021","1202","","5.7","559","","3.7","834",""
"220033","BEVERLY HOSPITAL CORPORATION","85 HERRICK STREET","","","BEVERLY","MA","01915","ESSEX","9789223000","32.8","244","","8.1","3440","","0.045","1065","","0.001","982","","6.2","406","","1.3","766",""
"220035","NORTH SHORE MEDICAL CENTER","81 HIGHLAND AVENUE","","","SALEM","MA","01970","ESSEX","9787411215","33.7","410","","5.5","5956","","0.081","1835","","0","1439","","5.7","872","","1.5","1169",""
"220036","ST ELIZABETH'S MEDICAL CENTER","736 CAMBRIDGE STREET","","","BRIGHTON","MA","02135","SUFFOLK","6177893000","29.3","133","","10.9","1279","","0.158","588","","0.045","583","","5.6","413","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220046","BERKSHIRE MEDICAL CENTER INC","725 NORTH STREET","","","PITTSFIELD","MA","01201","BERKSHIRE","4134472000","32.5","228","","8.5","3354","","0.049","1744","","0.032","1704","","5.9","750","","3.4","1328",""
"220049","MARLBOROUGH HOSPITAL","157 UNION STREET","","","MARLBOROUGH","MA","01752","MIDDLESEX","5084815000","Not Available","Not Available","No data are available from the hospital for this measure","4.3","912","","0.042","358","","0.005","218","","5.9","273","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220050","BAYSTATE MARY LANE HOSPITAL","85 SOUTH STREET","","","WARE","MA","01082","HAMPSHIRE","4139676211","Not Available","Not Available","No data are available from the hospital for this measure","3.5","455","","0.028","217","","0.015","133","","1.6","63","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220051","NORTH ADAMS REGIONAL HOSPITAL","71 HOSPITAL AVENUE","","","NORTH ADAMS","MA","01247","BERKSHIRE","4136645000","22.5","89","","4.8","1572","","0.086","509","","0.005","421","","7.6","157","","1.3","450",""
"220052","SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET","","","BROCKTON","MA","02302","PLYMOUTH","5089417000","36.4","143","","5.3","989","","0.062","841","","0.021","575","","0.5","193","","3.8","676",""
"220058","CLINTON HOSPITAL ASSOCIATION","201 HIGHLAND STREET","","","CLINTON","MA","01510","WORCESTER","9783683000","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","4.1","370","","0.039","127","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220060","JORDAN HOSPITAL INC","275 SANDWICH STREET","","","PLYMOUTH","MA","02360","PLYMOUTH","5087462000","31.6","190","","7","2042","","0.073","1205","","0.015","825","","6.3","336","","1.9","825",""
"220062","ADCARE HOSPITAL OF WORCESTER INC","107 LINCOLN STREET","","","WORCESTER","MA","01605","WORCESTER","5087999000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"220063","LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE","","","LOWELL","MA","01854","MIDDLESEX","9789376000","32.5","123","","8.8","1429","","0.063","863","","0","674","","7.6","119","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220065","NOBLE HOSPITAL","115 WEST SILVER STREET","","","WESTFIELD","MA","01085","HAMPDEN","4135682811","49.3","67","","3.9","818","","0.015","468","","0.004","239","","1.5","133","","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220066","MERCY MEDICAL CENTER","271 CAREW STREET","","","SPRINGFIELD","MA","01104","HAMPDEN","4137489000","Not Available","Not Available","No data are available from the hospital for this measure","11.7","2242","","0.038","1181","","0.013","629","","4.2","48","","1.2","1108",""
"220067","QUINCY MEDICAL CENTER","114 WHITWELL STREET","","","QUINCY","MA","02169","NORFOLK","6177736100","47.5","80","","8.4","976","","0.036","719","","0.01","421","","7.4","136","","2.4","631",""
"220070","HALLMARK HEALTH SYSTEM","585 LEBANON STREET","","","MELROSE","MA","02176","MIDDLESEX","7819793000","35.2","216","","9.7","3719","","0.07","1306","","0.019","933","","6.2","305","","6.5","1189",""
"220071","MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET","","","BOSTON","MA","02114","SUFFOLK","6177262000","31.2","295","","5.4","7045","","0.036","4415","","0.001","6028","","5.3","2123","","0.8","1086",""
"220073","MORTON HOSPITAL","88 WASHINGTON STREET","","","TAUNTON","MA","02780","BRISTOL","5088287000","30.4","102","","9.3","2191","","0.055","806","","0.008","589","","7.1","224","","1.6","952",""
"220074","SOUTHCOAST HOSPITAL GROUP, INC","363 HIGHLAND AVENUE","","","FALL RIVER","MA","02720","BRISTOL","5086793131","34.1","182","","9.2","7131","","0.054","2742","","0.008","2356","","6","615","","3.5","3201",""
"220075","MASSACHUSETTS EYE AND EAR INFIRMARY","243 CHARLES STREET","","","BOSTON","MA","02114","SUFFOLK","6175237900","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing","0","399","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","The number of cases is too small to reliably tell how well a hospital is performing"
"220077","BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET","","","SPRINGFIELD","MA","01199","HAMPDEN","4137940000","32.2","115","","9","2375","","0.029","1811","","0","1351","","5.2","975","","1.4","1663",""
"220080","HOLY FAMILY HOSPITAL","70 EAST STREET","","","METHUEN","MA","01844","ESSEX","9786870156","34.7","101","","10.7","1063","","0.144","743","","0.027","528","","3.9","512","","2.3","660",""
