"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"490053","JOHNSTON MEMORIAL HOSPITAL","16000 JOHNSTON MEMORIAL DRIVE","","","ABINGDON","VA","24211","WASHINGTON","2762581000","94","176","The hospital indicated that the data submitted for this measure were based on a sample of cases","84","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","150","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","23","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100249","SEVEN RIVERS REGIONAL MEDICAL CENTER","6201 N SUNCOAST BLVD","","","CRYSTAL RIVER","FL","34428","CITRUS","3527956560","100","120","","100","38","","100","92","","100","18",""
"310015","MORRISTOWN MEMORIAL HOSPITAL","100 MADISON AVE","","","MORRISTOWN","NJ","07962","MORRIS","9739715450","99","335","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","120","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","238","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","43","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"05030F","VA N CALIFORNIA HEALTHCARE SYSTEM","10535 HOSPITAL WAY","","","MATHER                        ","CA","95655","SACRAMENTO","8003828387","100","189","","96","90","","95","167","","100","49",""
"220108","MILTON HOSPITAL INC","199 REEDSDALE ROAD","","","MILTON","MA","02186","NORFOLK","6176964600","98","175","","92","25","","100","122","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"261305","PUTNAM COUNTY MEMORIAL HOSPITAL","1926 OAK STREET,  PO BOX 389","","","UNIONVILLE","MO","63565","PUTNAM","6609472411","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"360271","UNIVERSITY POINTE SURGICAL HOSPITAL","7750 UNIVERSITY COURT","","","WEST CHESTER","OH","45069","BUTLER","5134758300","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"260052","MERCY HOSPITAL WASHINGTON","901 EAST 5TH STREET","","","WASHINGTON","MO","63090","FRANKLIN","6362398000","100","133","","98","40","","90","105","","100","22",""
"490005","WINCHESTER MEDICAL CENTER INC","220 CAMPUS BLVD SUITE 210","","","WINCHESTER","VA","22601","WINCHESTER CITY","5405368000","100","700","","95","209","","91","615","","100","123",""
"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","","","MANCHESTER","CT","06040","HARTFORD","8606474780","99","175","","97","32","","93","127","","100","24",""
"420053","NEWBERRY COUNTY MEMORIAL HOSPITAL","2669 KINARD ST PO BOX 497","","","NEWBERRY","SC","29108","NEWBERRY","8032767570","99","81","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","38","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","32","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330246","ST CHARLES HOSPITAL","200 BELLE TERRE ROAD","","","PORT JEFFERSON","NY","11777","SUFFOLK","6314746000","100","66","","100","18","","98","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450489","MEDICAL ARTS HOSPITAL","2200 N BRYAN AVE","","","LAMESA","TX","79331","DAWSON","8068722183","76","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","67","3","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","90","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","60","5","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"271312","PHILLIPS COUNTY MEDICAL CENTER","311 S 8TH AVE E","","","MALTA","MT","59538","PHILLIPS","4066541100","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"390323","ADVANCED SURGICAL HOSPITAL","100 TRICH DRIVE","","","WASHINGTON","PA","15301","WASHINGTON","7248840710","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"281344","CHERRY COUNTY HOSPITAL","P O BOX 410, 510 NORTH GREEN ST","","","VALENTINE","NE","69201","CHERRY","4023762525","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"521351","REEDSBURG AREA MED CTR","2000 N DEWEY AVE","","","REEDSBURG","WI","53959","SAUK","6085246487","98","62","","100","18","","80","49","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"110121","GRADY GENERAL HOSPITAL","1155 5TH STREET, SE","","","CAIRO","GA","39828","GRADY","2293770251","100","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"241333","MAYO CLINIC HEALTH SYSTEM - ST JAMES","1101 MOULTON AND PARSONS DRIVE","","","ST JAMES","MN","56081","WATONWAN","5073753261","94","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","82","11","","Not Available","0",""
"171374","FREDONIA REGIONAL HOSPITAL","1527 MADISON","","","FREDONIA","KS","66736","WILSON","6203782121","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"171313","KEARNY COUNTY HOSPITAL","500 THORPE STREET","","","LAKIN","KS","67860","KEARNY","6203557111","62","13","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"170183","KANSAS SURGERY & RECOVERY CENTER","2770 N WEBB ROAD","","","WICHITA","KS","67226","SEDGWICK","3166340090","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"510039","OHIO VALLEY MEDICAL CENTER","2000 EOFF STREET","","","WHEELING","WV","26003","OHIO","3042340123","97","110","","94","34","","100","79","","100","11",""
"471301","GIFFORD MEDICAL CENTER","44 SOUTH MAIN STREET","","","RANDOLPH","VT","05060","ORANGE","8027284441","100","37","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"370199","LAKESIDE WOMEN'S HOSPITAL","11200 NORTH PORTLAND AVENUE","","","OKLAHOMA CITY","OK","73120","OKLAHOMA","4059361500","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"521353","CUMBERLAND MEMORIAL HOSPITAL","1110 7TH AVENUE","","","CUMBERLAND","WI","54829","BARRON","7158222741","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050709","DESERT VALLEY HOSPITAL","16850 BEAR VALLEY RD","","","VICTORVILLE","CA","92395","SAN BERNARDINO","7602418000","100","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","119","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","253","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","50","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330221","WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM STREET","","","BROOKLYN","NY","11237","KINGS","7189637272","100","314","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","146","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","276","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","64","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"190268","LAFAYETTE GENERAL SURGICAL HOSPITAL","1000 W PINHOOK RD SUITE 100","","","LAFAYETTE","LA","70503","LAFAYETTE","3372898095","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"360145","EMH REGIONAL MEDICAL CENTER","630 EAST RIVER STREET","","","ELYRIA","OH","44035","LORAIN","4403297500","98","304","The hospital indicated that the data submitted for this measure were based on a sample of cases","81","103","The hospital indicated that the data submitted for this measure were based on a sample of cases","82","251","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","42","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"190040","SLIDELL MEMORIAL HOSPITAL","1001 GAUSE BLVD","","","SLIDELL","LA","70458","SAINT TAMMANY","9856432200","100","240","","100","63","","100","217","","100","39",""
"450539","COVENANT HOSPITAL PLAINVIEW","2601 DIMMITT RD","","","PLAINVIEW","TX","79072","HALE","8062965531","89","27","","90","21","","42","19","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"410005","ST JOSEPH HEALTH SERVICES OF RI","200 HIGH SERVICE AVENUE","","","NORTH PROVIDENCE","RI","02904","PROVIDENCE","4014563000","95","219","","100","46","","74","131","","100","14",""
"390123","POTTSTOWN MEMORIAL MEDICAL CENTER","1600 EAST HIGH STREET AND ARMAND HAMMER BLVD","","","POTTSTOWN","PA","19464","MONTGOMERY","6103277000","99","257","","98","90","","94","193","","96","46",""
"431317","LANDMANN-JUNGMAN MEMORIAL HOSPITAL - CAH","600 BILLARS ST","","","SCOTLAND","SD","57059","BON HOMME","6055832226","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","","","ENGLEWOOD","NJ","07631","BERGEN","2018943000","100","412","","99","116","","96","298","","100","29",""
"370210","OKLAHOMA SURGICAL HOSPITAL, LLC","2408 EAST 81ST STREET, SUITE 300","","","TULSA","OK","74137","TULSA","9184775000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"360218","LICKING MEMORIAL HOSPITAL HOMECARE","1320 WEST MAIN STREET","","","NEWARK","OH","43055","LICKING","7403484000","99","161","","97","59","","92","126","","100","32",""
"210016","WASHINGTON ADVENTIST HOSPITAL","7600 CARROLL AVE","","","TAKOMA PARK","MD","20912","MONTGOMERY","3018915651","98","301","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","141","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","236","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","41","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"500148","WENATCHEE VALLEY HOSPITAL","820 NORTH CHELAN STREET","","","WENATCHEE","WA","98801","CHELAN","5096638711","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"331313","SCHUYLER HOSPITAL, INC","220 STEUBEN STREET","","","MONTOUR FALLS","NY","14865","SCHUYLER","6075307121","100","22","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","14","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"100012","LEE MEMORIAL HOSPITAL","2776 CLEVELAND AVE","","","FORT MYERS","FL","33901","LEE","2393321111","100","307","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","103","The hospital indicated that the data submitted for this measure were based on a sample of cases","66","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","42","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180049","PATTIE A CLAY REGIONAL MEDICAL CENTER","801 EASTERN BYPASS","","","RICHMOND","KY","40475","MADISON","8596233131","100","63","","100","23","","100","47","","100","13",""
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAAS DRIVE","","","BELLEVILLE","NJ","07109","ESSEX","9734502002","100","332","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","232","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","55","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050132","SAN GABRIEL VALLEY MEDICAL CENTER","438 W LAS TUNAS DRIVE","","","SAN GABRIEL","CA","91776","LOS ANGELES","6262895454","95","274","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","195","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","8","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390071","LOCK HAVEN HOSPITAL","24 CREE DRIVE","","","LOCK HAVEN","PA","17745","CLINTON","5708935000","96","70","","95","20","","92","48","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"190183","LEONARD J CHABERT MEDICAL CENTER","1978 INDUSTRIAL BLVD","","","HOUMA","LA","70363","TERREBONNE","9858732200","100","103","","100","60","","98","102","","100","40",""
"390068","HEART OF LANCASTER REGIONAL MEDICAL CENTER","1500 HIGHLANDS DRIVE","","","LITITZ","PA","17543","LANCASTER","7176255000","100","68","","100","11","","97","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"420066","LAKE CITY COMMUNITY HOSPITAL","258 N RON MCNAIR BLVD","","","LAKE CITY","SC","29560","FLORENCE","8433742036","91","34","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","28","","100","11",""
"160069","MERCY MEDICAL CENTER-DUBUQUE","250 MERCY DRIVE","","","DUBUQUE","IA","52001","DUBUQUE","5635898000","100","194","","98","47","","93","135","","100","18",""
"341316","HIGHLANDS CASHIERS HOSPITAL INC","190 HOSPITAL DRIVE","","","HIGHLANDS","NC","28741","MACON","8285261200","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"160080","MERCY MEDICAL CENTER-CLINTON","1410 NORTH 4TH STREET","","","CLINTON","IA","52732","CLINTON","5632445555","100","150","","100","29","","93","98","","100","18",""
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","","","JEFFERSONVILLE","IN","47130","CLARK","8122832142","99","310","","90","73","","90","233","","100","52",""
"230013","DOCTORS' HOSPITAL OF MICHIGAN","461 W HURON ST","","","PONTIAC","MI","48341","OAKLAND","2488577200","94","66","","94","16","","77","62","","92","13",""
"361307","UHHS MEMORIAL HOSPITAL OF GENEVA","870 WEST MAIN STREET","","","GENEVA","OH","44041","ASHTABULA","4404661141","100","82","","100","21","","100","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"360079","KETTERING MEDICAL CENTER","3535 SOUTHERN BOULEVARD","","","KETTERING","OH","45429","MONTGOMERY","9373958311","100","467","","97","192","","85","364","","96","81",""
"110177","DOCTORS HOSPITAL","3651 WHEELER ROAD","","","AUGUSTA","GA","30909","RICHMOND","7066516008","100","227","","100","51","","100","183","","100","51",""
"050257","GOOD SAMARITAN HOSPITAL","901 OLIVE DRIVE","","","BAKERSFIELD","CA","93308","KERN","6613994461","85","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","42","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"140275","GENESIS MEDICAL CENTER ILLINI CAMPUS","801 ILLINI DRIVE","","","SILVIS","IL","61282","ROCK ISLAND","3097929363","100","147","","98","49","","90","88","","100","23",""
"370173","CLAREMORE INDIAN HOSPITAL","101 SOUTH MOORE AVE","","","CLAREMORE","OK","74017","ROGERS","9183418430","100","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","83","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"371331","DRUMRIGHT REGIONAL HOSPITAL","610 WEST BYPASS","","","DRUMRIGHT","OK","74030","CREEK","9183822300","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"230132","HURLEY MEDICAL CENTER","ONE HURLEY PLAZA","","","FLINT","MI","48503","GENESEE","8102579000","99","338","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","309","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","100","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390127","PHOENIXVILLE HOSPITAL","140 NUTT ROAD","","","PHOENIXVILLE","PA","19460","CHESTER","6109831000","99","196","","96","71","","98","160","","100","19",""
"241305","RIVERWOOD HEALTHCARE CENTER","200 BUNKER HILL DRIVE","","","AITKIN","MN","56431","AITKIN","2189275501","73","15","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","75","4","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","15","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","3","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","","","JUNCTION CITY","KS","66441","GEARY","9132103301","62","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","62","16","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"450675","MEDICAL CENTER OF ARLINGTON","3301 MATLOCK ROAD","","","ARLINGTON","TX","76015","TARRANT","8174653241","100","351","","100","89","","100","280","","100","66",""
"510062","BECKLEY ARH HOSPITAL","306 STANAFORD ROAD","","","BECKLEY","WV","25801","RALEIGH","3042553456","90","146","","71","41","","96","114","","100","16",""
"511312","PRESTON MEMORIAL HOSPITAL","300 S PRICE STREET","","","KINGWOOD","WV","26537","PRESTON","3043291400","80","30","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","70","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"360151","AFFINITY MEDICAL CENTER","875 EIGHTH STREET NE","","","MASSILLON","OH","44646","STARK","3308376863","100","161","","91","46","","91","118","","100","30",""
"360259","BAY PARK COMMUNITY HOSPITAL","2801 BAY PARK DRIVE","","","OREGON","OH","43616","LUCAS","4196907700","100","122","","88","32","","91","90","","100","14",""
"171351","WASHINGTON COUNTY HOSPITAL","304 E 3RD STREET","","","WASHINGTON","KS","66968","WASHINGTON","7853252211","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"460049","THE ORTHOPEDIC SPECIALTY HOSPITAL","5848 SOUTH 300 EAST","","","MURRAY","UT","84107","SALT LAKE","8013144100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"050616","ST JOHNS PLEASANT VALLEY HOSPITAL","2309 ANTONIO AVE","","","CAMARILLO","CA","93010","VENTURA","8053895800","100","89","","100","15","","96","71","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"350064","STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL","10 NORTH RIVER ROAD","","","FORT YATES","ND","58538","SIOUX","7018543831","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"340091","MOSES H CONE MEMORIAL HOSPITAL, THE","1200 N ELM ST","","","GREENSBORO","NC","27401","GUILFORD","3368327000","100","1254","","100","372","","98","1067","","100","304",""
"190064","OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER","5000 HENNESSY BLVD","","","BATON ROUGE","LA","70808","EAST BATON ROUGE","2257656565","96","339","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","126","The hospital indicated that the data submitted for this measure were based on a sample of cases","82","330","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","50","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"360236","MERCY HOSPITAL CLERMONT","3000 HOSPITAL DRIVE","","","BATAVIA","OH","45103","CLERMONT","5137328278","100","135","","94","36","","98","112","","100","37",""
"10063F","TAMPA VA MEDICAL CENTER","13000 BRUCE B DOWNS BLVD.","","","TAMPA                         ","FL","33612","HILLSBOROUGH","8139722000","100","343","","99","161","","96","301","","100","64",""
"050414","MERCY HOSPITAL OF FOLSOM","1650 CREEKSIDE DRIVE","","","FOLSOM","CA","95630","SACRAMENTO","9169837400","99","98","","100","21","","86","88","","100","15",""
"501331","PULLMAN REGIONAL HOSPITAL","835 S BISHOP BLVD","","","PULLMAN","WA","99163","WHITMAN","5093322541","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"531308","JOHNSON COUNTY HEALTHCARE CENTER","497 WEST LOTT","","","BUFFALO","WY","82834","JOHNSON","3076845521","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"220177","NANTUCKET COTTAGE HOSPITAL","57 PROSPECT STREET","","","NANTUCKET","MA","02554","NANTUCKET","5082281200","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"241354","TRI COUNTY HOSPITAL","415 JEFFERSON STREET NORTH","","","WADENA","MN","56482","WADENA","2186313510","96","50","","85","13","","100","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"501333","KITTITAS VALLEY COMMUNITY HOSPITAL","603 SOUTH CHESTNUT","","","ELLENSBURG","WA","98926","KITTITAS","5099629841","92","24","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","89","18","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"110011","TANNER MEDICAL CENTER - CARROLLTON","705 DIXIE STREET","","","CARROLLTON","GA","30117","CARROLL","7708369580","100","213","","98","60","","98","162","","98","43",""
"141313","MASON DISTRICT HOSPITAL","615 NORTH PROMENADE STREET,P O BOX 530","","","HAVANA","IL","62644","MASON","3095434431","100","23","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","6","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","16","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","5","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"310096","SAINT MICHAEL'S MEDICAL CENTER, INC","111 CENTRAL AVENUE","","","NEWARK","NJ","07102","ESSEX","9738775350","99","342","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","148","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","69","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"231301","KALKASKA MEMORIAL HEALTH CENTER","419 S CORAL","","","KALKASKA","MI","49646","KALKASKA","2312587500","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"330198","SOUTH NASSAU COMMUNITIES HOSPITAL","ONE HEALTHY WAY","","","OCEANSIDE","NY","11572","NASSAU","5166323000","100","494","","94","159","","98","379","","100","26",""
