"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"MN","Cervical spinal fusion w MCC","","","39",""
"MO","Cervical spinal fusion w MCC","","","70",""
"MS","Cervical spinal fusion w MCC","","","41",""
"MT","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NC","Cervical spinal fusion w MCC","","","128",""
"ND","Cervical spinal fusion w MCC","","","12",""
"NE","Cervical spinal fusion w MCC","","","11",""
"NH","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NJ","Cervical spinal fusion w MCC","","","50",""
"NM","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NV","Cervical spinal fusion w MCC","","","32",""
"NY","Cervical spinal fusion w MCC","","","122",""
"OH","Cervical spinal fusion w MCC","","","111",""
"OK","Cervical spinal fusion w MCC","","","35",""
"OR","Cervical spinal fusion w MCC","","","50",""
"PA","Cervical spinal fusion w MCC","","","115",""
"PR","Cervical spinal fusion w MCC","","","18",""
"RI","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"SC","Cervical spinal fusion w MCC","","","65",""
"SD","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"TN","Cervical spinal fusion w MCC","","","76",""
"TX","Cervical spinal fusion w MCC","","","291",""
"UT","Cervical spinal fusion w MCC","","","19",""
"VA","Cervical spinal fusion w MCC","","","96",""
"VT","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Cervical spinal fusion w MCC","","","72",""
"WI","Cervical spinal fusion w MCC","","","39",""
"WV","Cervical spinal fusion w MCC","","","14",""
"WY","Cervical spinal fusion w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Cervical spinal fusion w CC","","","29",""
"AL","Cervical spinal fusion w CC","","","251",""
"AR","Cervical spinal fusion w CC","","","76",""
"AZ","Cervical spinal fusion w CC","","","187",""
"CA","Cervical spinal fusion w CC","","","776",""
"CO","Cervical spinal fusion w CC","","","200",""
"CT","Cervical spinal fusion w CC","","","115",""
"DC","Cervical spinal fusion w CC","","","47",""
"DE","Cervical spinal fusion w CC","","","42",""
"FL","Cervical spinal fusion w CC","","","810",""
"GA","Cervical spinal fusion w CC","","","381",""
"HI","Cervical spinal fusion w CC","","","17",""
"IA","Cervical spinal fusion w CC","","","77",""
"ID","Cervical spinal fusion w CC","","","83",""
"IL","Cervical spinal fusion w CC","","","402",""
"IN","Cervical spinal fusion w CC","","","211",""
"KS","Cervical spinal fusion w CC","","","107",""
"KY","Cervical spinal fusion w CC","","","134",""
"LA","Cervical spinal fusion w CC","","","218",""
"MA","Cervical spinal fusion w CC","","","148",""
"MD","Cervical spinal fusion w CC","","","288",""
"ME","Cervical spinal fusion w CC","","","29",""
"MI","Cervical spinal fusion w CC","","","450",""
"MN","Cervical spinal fusion w CC","","","208",""
"MO","Cervical spinal fusion w CC","","","269",""
"MS","Cervical spinal fusion w CC","","","121",""
"MT","Cervical spinal fusion w CC","","","39",""
"NC","Cervical spinal fusion w CC","","","424",""
"ND","Cervical spinal fusion w CC","","","27",""
"NE","Cervical spinal fusion w CC","","","64",""
"NH","Cervical spinal fusion w CC","","","56",""
"NJ","Cervical spinal fusion w CC","","","129",""
"NM","Cervical spinal fusion w CC","","","28",""
"NV","Cervical spinal fusion w CC","","","139",""
"NY","Cervical spinal fusion w CC","","","369",""
"OH","Cervical spinal fusion w CC","","","416",""
"OK","Cervical spinal fusion w CC","","","188",""
"OR","Cervical spinal fusion w CC","","","134",""
"PA","Cervical spinal fusion w CC","","","395",""
"PR","Cervical spinal fusion w CC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Cervical spinal fusion w CC","","","11",""
"SC","Cervical spinal fusion w CC","","","152",""
"SD","Cervical spinal fusion w CC","","","34",""
"TN","Cervical spinal fusion w CC","","","271",""
"TX","Cervical spinal fusion w CC","","","858",""
"UT","Cervical spinal fusion w CC","","","66",""
"VA","Cervical spinal fusion w CC","","","277",""
"VT","Cervical spinal fusion w CC","","","13",""
"WA","Cervical spinal fusion w CC","","","193",""
"WI","Cervical spinal fusion w CC","","","166",""
"WV","Cervical spinal fusion w CC","","","54",""
"WY","Cervical spinal fusion w CC","","","11",""
"AK","Spinal fusion except cervical w/o MCC","","","120",""
"AL","Spinal fusion except cervical w/o MCC","","","1665",""
"AR","Spinal fusion except cervical w/o MCC","","","792",""
"AZ","Spinal fusion except cervical w/o MCC","","","1245",""
"CA","Spinal fusion except cervical w/o MCC","","","4333",""
"CO","Spinal fusion except cervical w/o MCC","","","1495",""
"CT","Spinal fusion except cervical w/o MCC","","","670",""
"DC","Spinal fusion except cervical w/o MCC","","","267",""
"DE","Spinal fusion except cervical w/o MCC","","","364",""
"FL","Spinal fusion except cervical w/o MCC","","","5943",""
"GA","Spinal fusion except cervical w/o MCC","","","2374",""
"HI","Spinal fusion except cervical w/o MCC","","","107",""
"IA","Spinal fusion except cervical w/o MCC","","","666",""
"ID","Spinal fusion except cervical w/o MCC","","","548",""
"IL","Spinal fusion except cervical w/o MCC","","","2440",""
"IN","Spinal fusion except cervical w/o MCC","","","1774",""
"KS","Spinal fusion except cervical w/o MCC","","","932",""
"KY","Spinal fusion except cervical w/o MCC","","","957",""
"LA","Spinal fusion except cervical w/o MCC","","","1132",""
"MA","Spinal fusion except cervical w/o MCC","","","1073",""
"MD","Spinal fusion except cervical w/o MCC","","","1318",""
"ME","Spinal fusion except cervical w/o MCC","","","280",""
"MI","Spinal fusion except cervical w/o MCC","","","3122",""
"MN","Spinal fusion except cervical w/o MCC","","","1106",""
"MO","Spinal fusion except cervical w/o MCC","","","1856",""
"MS","Spinal fusion except cervical w/o MCC","","","627",""
"MT","Spinal fusion except cervical w/o MCC","","","389",""
"NC","Spinal fusion except cervical w/o MCC","","","2726",""
"ND","Spinal fusion except cervical w/o MCC","","","144",""
"NE","Spinal fusion except cervical w/o MCC","","","619",""
"NH","Spinal fusion except cervical w/o MCC","","","251",""
"NJ","Spinal fusion except cervical w/o MCC","","","908",""
"NM","Spinal fusion except cervical w/o MCC","","","253",""
"NV","Spinal fusion except cervical w/o MCC","","","814",""
"NY","Spinal fusion except cervical w/o MCC","","","2323",""
"OH","Spinal fusion except cervical w/o MCC","","","2675",""
"OK","Spinal fusion except cervical w/o MCC","","","1199",""
"OR","Spinal fusion except cervical w/o MCC","","","833",""
"PA","Spinal fusion except cervical w/o MCC","","","2597",""
"PR","Spinal fusion except cervical w/o MCC","","","93",""
"RI","Spinal fusion except cervical w/o MCC","","","244",""
"SC","Spinal fusion except cervical w/o MCC","","","1561",""
"SD","Spinal fusion except cervical w/o MCC","","","517",""
"TN","Spinal fusion except cervical w/o MCC","","","2079",""
"TX","Spinal fusion except cervical w/o MCC","","","5682",""
"UT","Spinal fusion except cervical w/o MCC","","","639",""
"VA","Spinal fusion except cervical w/o MCC","","","2126",""
"VI","Spinal fusion except cervical w/o MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Spinal fusion except cervical w/o MCC","","","113",""
"WA","Spinal fusion except cervical w/o MCC","","","1334",""
"WI","Spinal fusion except cervical w/o MCC","","","915",""
"WV","Spinal fusion except cervical w/o MCC","","","241",""
"WY","Spinal fusion except cervical w/o MCC","","","188",""
"AK","Spinal fusion except cervical w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Spinal fusion except cervical w MCC","","","72",""
"AR","Spinal fusion except cervical w MCC","","","26",""
"AZ","Spinal fusion except cervical w MCC","","","105",""
"CA","Spinal fusion except cervical w MCC","","","332",""
"CO","Spinal fusion except cervical w MCC","","","101",""
"CT","Spinal fusion except cervical w MCC","","","53",""
"DC","Spinal fusion except cervical w MCC","","","27",""
"DE","Spinal fusion except cervical w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"FL","Spinal fusion except cervical w MCC","","","350",""
"GA","Spinal fusion except cervical w MCC","","","130",""
"HI","Spinal fusion except cervical w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IA","Spinal fusion except cervical w MCC","","","54",""
"ID","Spinal fusion except cervical w MCC","","","42",""
"IL","Spinal fusion except cervical w MCC","","","166",""
"IN","Spinal fusion except cervical w MCC","","","96",""
"KS","Spinal fusion except cervical w MCC","","","65",""
"KY","Spinal fusion except cervical w MCC","","","62",""
"LA","Spinal fusion except cervical w MCC","","","58",""
"MA","Spinal fusion except cervical w MCC","","","71",""
"MD","Spinal fusion except cervical w MCC","","","106",""
"ME","Spinal fusion except cervical w MCC","","","18",""
"MI","Spinal fusion except cervical w MCC","","","272",""
"MN","Spinal fusion except cervical w MCC","","","97",""
"MO","Spinal fusion except cervical w MCC","","","123",""
"MS","Spinal fusion except cervical w MCC","","","30",""
"MT","Spinal fusion except cervical w MCC","","","18",""
"NC","Spinal fusion except cervical w MCC","","","170",""
"ND","Spinal fusion except cervical w MCC","","","11",""
"NE","Spinal fusion except cervical w MCC","","","35",""
"NH","Spinal fusion except cervical w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NJ","Spinal fusion except cervical w MCC","","","51",""
"NM","Spinal fusion except cervical w MCC","","","13",""
"NV","Spinal fusion except cervical w MCC","","","48",""
"NY","Spinal fusion except cervical w MCC","","","164",""
"OH","Spinal fusion except cervical w MCC","","","149",""
"OK","Spinal fusion except cervical w MCC","","","41",""
"OR","Spinal fusion except cervical w MCC","","","44",""
"PA","Spinal fusion except cervical w MCC","","","180",""
"RI","Spinal fusion except cervical w MCC","","","12",""
"SC","Spinal fusion except cervical w MCC","","","63",""
"SD","Spinal fusion except cervical w MCC","","","17",""
"TN","Spinal fusion except cervical w MCC","","","121",""
"TX","Spinal fusion except cervical w MCC","","","341",""
"UT","Spinal fusion except cervical w MCC","","","36",""
"VA","Spinal fusion except cervical w MCC","","","158",""
"VT","Spinal fusion except cervical w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Spinal fusion except cervical w MCC","","","78",""
"WI","Spinal fusion except cervical w MCC","","","74",""
"WV","Spinal fusion except cervical w MCC","","","20",""
"WY","Spinal fusion except cervical w MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Back and neck proc exc spinal fusion w/o CC/MCC","","","98",""
"AL","Back and neck proc exc spinal fusion w/o CC/MCC","","","830",""
"AR","Back and neck proc exc spinal fusion w/o CC/MCC","","","805",""
"AZ","Back and neck proc exc spinal fusion w/o CC/MCC","","","797",""
"CA","Back and neck proc exc spinal fusion w/o CC/MCC","","","3322",""
"CO","Back and neck proc exc spinal fusion w/o CC/MCC","","","585",""
"CT","Back and neck proc exc spinal fusion w/o CC/MCC","","","404",""
"DC","Back and neck proc exc spinal fusion w/o CC/MCC","","","142",""
"DE","Back and neck proc exc spinal fusion w/o CC/MCC","","","95",""
"FL","Back and neck proc exc spinal fusion w/o CC/MCC","","","2631",""
"GA","Back and neck proc exc spinal fusion w/o CC/MCC","","","863",""
"HI","Back and neck proc exc spinal fusion w/o CC/MCC","","","41",""
"IA","Back and neck proc exc spinal fusion w/o CC/MCC","","","433",""
"ID","Back and neck proc exc spinal fusion w/o CC/MCC","","","158",""
"IL","Back and neck proc exc spinal fusion w/o CC/MCC","","","1387",""
"IN","Back and neck proc exc spinal fusion w/o CC/MCC","","","727",""
"KS","Back and neck proc exc spinal fusion w/o CC/MCC","","","500",""
"KY","Back and neck proc exc spinal fusion w/o CC/MCC","","","481",""
"LA","Back and neck proc exc spinal fusion w/o CC/MCC","","","507",""
"MA","Back and neck proc exc spinal fusion w/o CC/MCC","","","1047",""
"MD","Back and neck proc exc spinal fusion w/o CC/MCC","","","759",""
"ME","Back and neck proc exc spinal fusion w/o CC/MCC","","","227",""
"MI","Back and neck proc exc spinal fusion w/o CC/MCC","","","1772",""
"MN","Back and neck proc exc spinal fusion w/o CC/MCC","","","1128",""
"MO","Back and neck proc exc spinal fusion w/o CC/MCC","","","850",""
"MS","Back and neck proc exc spinal fusion w/o CC/MCC","","","317",""
"MT","Back and neck proc exc spinal fusion w/o CC/MCC","","","156",""
"NC","Back and neck proc exc spinal fusion w/o CC/MCC","","","933",""
"ND","Back and neck proc exc spinal fusion w/o CC/MCC","","","188",""
"NE","Back and neck proc exc spinal fusion w/o CC/MCC","","","350",""
"NH","Back and neck proc exc spinal fusion w/o CC/MCC","","","139",""
"NJ","Back and neck proc exc spinal fusion w/o CC/MCC","","","623",""
"NM","Back and neck proc exc spinal fusion w/o CC/MCC","","","130",""
"NV","Back and neck proc exc spinal fusion w/o CC/MCC","","","329",""
"NY","Back and neck proc exc spinal fusion w/o CC/MCC","","","1522",""
"OH","Back and neck proc exc spinal fusion w/o CC/MCC","","","1420",""
"OK","Back and neck proc exc spinal fusion w/o CC/MCC","","","916",""
"OR","Back and neck proc exc spinal fusion w/o CC/MCC","","","884",""
"PA","Back and neck proc exc spinal fusion w/o CC/MCC","","","1763",""
"PR","Back and neck proc exc spinal fusion w/o CC/MCC","","","33",""
"RI","Back and neck proc exc spinal fusion w/o CC/MCC","","","71",""
"SC","Back and neck proc exc spinal fusion w/o CC/MCC","","","716",""
"SD","Back and neck proc exc spinal fusion w/o CC/MCC","","","134",""
"TN","Back and neck proc exc spinal fusion w/o CC/MCC","","","987",""
"TX","Back and neck proc exc spinal fusion w/o CC/MCC","","","2688",""
"UT","Back and neck proc exc spinal fusion w/o CC/MCC","","","255",""
"VA","Back and neck proc exc spinal fusion w/o CC/MCC","","","995",""
"VI","Back and neck proc exc spinal fusion w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VT","Back and neck proc exc spinal fusion w/o CC/MCC","","","52",""
"WA","Back and neck proc exc spinal fusion w/o CC/MCC","","","1530",""
"WI","Back and neck proc exc spinal fusion w/o CC/MCC","","","582",""
"WV","Back and neck proc exc spinal fusion w/o CC/MCC","","","234",""
"WY","Back and neck proc exc spinal fusion w/o CC/MCC","","","87",""
"AK","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","44",""
"AL","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","367",""
"AR","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","292",""
"AZ","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","406",""
"CA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","1647",""
"CO","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","319",""
"CT","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","244",""
"DC","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","49",""
"DE","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","48",""
"FL","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","1284",""
"GA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","469",""
"HI","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","262",""
"ID","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","57",""
"IL","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","932",""
"IN","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","363",""
"KS","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","327",""
"KY","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","303",""
"LA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","246",""
"MA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","499",""
"MD","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","470",""
"ME","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","105",""
"MI","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","774",""
"MN","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","709",""
"MO","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","500",""
"MS","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","147",""
"MT","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","88",""
"NC","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","529",""
"ND","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","87",""
"NE","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","177",""
"NH","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","73",""
"NJ","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","364",""
"NM","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","56",""
"NV","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","163",""
"NY","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","835",""
"OH","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","786",""
"OK","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","405",""
"OR","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","338",""
"PA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","965",""
"PR","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","35",""
"SC","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","343",""
"SD","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","97",""
"TN","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","410",""
"TX","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","1528",""
"UT","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","118",""
"VA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","461",""
"VT","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","17",""
"WA","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","542",""
"WI","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","358",""
"WV","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","90",""
"WY","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","44",""
"AK","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Major shoulder or elbow joint procedures w/o CC/MCC","","","18",""
"AR","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Major shoulder or elbow joint procedures w/o CC/MCC","","","11",""
"CA","Major shoulder or elbow joint procedures w/o CC/MCC","","","51",""
"CO","Major shoulder or elbow joint procedures w/o CC/MCC","","","11",""
"CT","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"DC","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"DE","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"FL","Major shoulder or elbow joint procedures w/o CC/MCC","","","42",""
"GA","Major shoulder or elbow joint procedures w/o CC/MCC","","","11",""
"HI","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IA","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"ID","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IL","Major shoulder or elbow joint procedures w/o CC/MCC","","","37",""
"IN","Major shoulder or elbow joint procedures w/o CC/MCC","","","14",""
"KS","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"KY","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"LA","Major shoulder or elbow joint procedures w/o CC/MCC","","","12",""
"MA","Major shoulder or elbow joint procedures w/o CC/MCC","","","12",""
"MD","Major shoulder or elbow joint procedures w/o CC/MCC","","","12",""
"ME","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MI","Major shoulder or elbow joint procedures w/o CC/MCC","","","36",""
"MN","Major shoulder or elbow joint procedures w/o CC/MCC","","","18",""
"MO","Major shoulder or elbow joint procedures w/o CC/MCC","","","*",""
"MS","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"MT","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NC","Major shoulder or elbow joint procedures w/o CC/MCC","","","30",""
"ND","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NE","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NH","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NJ","Major shoulder or elbow joint procedures w/o CC/MCC","","","12",""
"NM","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NV","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"NY","Major shoulder or elbow joint procedures w/o CC/MCC","","","38",""
"OH","Major shoulder or elbow joint procedures w/o CC/MCC","","","20",""
"OK","Major shoulder or elbow joint procedures w/o CC/MCC","","","15",""
"OR","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"PA","Major shoulder or elbow joint procedures w/o CC/MCC","","","31",""
"PR","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"RI","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"SC","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"SD","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"TN","Major shoulder or elbow joint procedures w/o CC/MCC","","","19",""
"TX","Major shoulder or elbow joint procedures w/o CC/MCC","","","58",""
"UT","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"VA","Major shoulder or elbow joint procedures w/o CC/MCC","","","16",""
"VI","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WA","Major shoulder or elbow joint procedures w/o CC/MCC","","","20",""
"WI","Major shoulder or elbow joint procedures w/o CC/MCC","","","19",""
"WV","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"WY","Major shoulder or elbow joint procedures w/o CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AK","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AL","Major shoulder or elbow joint procedures w CC/MCC","","","12",""
"AR","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"AZ","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"CA","Major shoulder or elbow joint procedures w CC/MCC","","","50",""
"CO","Major shoulder or elbow joint procedures w CC/MCC","","","11",""
"CT","Major shoulder or elbow joint procedures w CC/MCC","","","13",""
"DE","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"FL","Major shoulder or elbow joint procedures w CC/MCC","","","43",""
"GA","Major shoulder or elbow joint procedures w CC/MCC","","","20",""
"IA","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"ID","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"IL","Major shoulder or elbow joint procedures w CC/MCC","","","29",""
"IN","Major shoulder or elbow joint procedures w CC/MCC","","","12",""
"KS","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
"KY","Major shoulder or elbow joint procedures w CC/MCC","","","*","An asterisk (*) appears in the table where data cannot be disclosed to protect personal health information due to the small number of Medicare patients (fewer than 11)"
