"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"MT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","11","0","1",,"07/01/2010","06/30/2012"
"MT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","13","0","0",,"07/01/2010","06/30/2012"
"MT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","2",,"07/01/2010","06/30/2012"
"MT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","0",,"07/01/2010","06/30/2012"
"MT","Serious complications","PSI_90_SAFETY","0","12","1","0",,"07/01/2010","06/30/2012"
"MT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","8","0","35",,"07/01/2009","06/30/2012"
"MT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","30","1","29",,"07/01/2009","06/30/2012"
"MT","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","19","1","6",,"07/01/2009","06/30/2012"
"MT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","50","3","8",,"07/01/2011","06/30/2012"
"MT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","40","2","20",,"07/01/2009","06/30/2012"
"NC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","77","1","8",,"07/01/2009","03/31/2012"
"NC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","83","2","24",,"07/01/2009","06/30/2012"
"NC","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","97","4","8",,"07/01/2009","06/30/2012"
"NC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","9","94","6","4",,"07/01/2009","06/30/2012"
"NC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","79","6","0",,"07/01/2010","06/30/2012"
"NC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","79","0","4",,"07/01/2010","06/30/2012"
"NC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","82","1","0",,"07/01/2010","06/30/2012"
"NC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","57","0","25",,"07/01/2010","06/30/2012"
"NC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","88","0","0",,"07/01/2010","06/30/2012"
"NC","Serious complications","PSI_90_SAFETY","3","83","3","0",,"07/01/2010","06/30/2012"
"NC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","67","1","40",,"07/01/2009","06/30/2012"
"NC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","97","6","8",,"07/01/2009","06/30/2012"
"NC","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","82","1","6",,"07/01/2009","06/30/2012"
"NC","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","88","15","2",,"07/01/2011","06/30/2012"
"NC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","4","104","1","5",,"07/01/2009","06/30/2012"
"ND","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","1","1",,"07/01/2009","03/31/2012"
"ND","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","8","0","32",,"07/01/2009","06/30/2012"
"ND","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","24","0","20",,"07/01/2009","06/30/2012"
"ND","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","39","0","5",,"07/01/2009","06/30/2012"
"ND","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","4","2","0",,"07/01/2010","06/30/2012"
"ND","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0",,"07/01/2010","06/30/2012"
"ND","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","6","0","0",,"07/01/2010","06/30/2012"
"ND","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","5","1","0",,"07/01/2010","06/30/2012"
"ND","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","6","0","0",,"07/01/2010","06/30/2012"
"ND","Serious complications","PSI_90_SAFETY","1","6","0","0",,"07/01/2010","06/30/2012"
"ND","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","7","1","33",,"07/01/2009","06/30/2012"
"ND","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","24","1","19",,"07/01/2009","06/30/2012"
"ND","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","7","1","1",,"07/01/2009","06/30/2012"
"ND","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","38","2","2",,"07/01/2011","06/30/2012"
"ND","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","40","0","4",,"07/01/2009","06/30/2012"
"NE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","30","2","13",,"07/01/2009","03/31/2012"
"NE","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","20","0","56",,"07/01/2009","06/30/2012"
"NE","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","48","0","35",,"07/01/2009","06/30/2012"
"NE","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","70","1","13",,"07/01/2009","06/30/2012"
"NE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","23","0","0",,"07/01/2010","06/30/2012"
"NE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","19","0","0",,"07/01/2010","06/30/2012"
"NE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","21","1","1",,"07/01/2010","06/30/2012"
"NE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","0","5",,"07/01/2010","06/30/2012"
"NE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","23","0","0",,"07/01/2010","06/30/2012"
"NE","Serious complications","PSI_90_SAFETY","0","23","1","0",,"07/01/2010","06/30/2012"
"NE","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","19","0","53",,"07/01/2009","06/30/2012"
"NE","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","47","3","35",,"07/01/2009","06/30/2012"
"NE","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","31","1","13",,"07/01/2009","06/30/2012"
"NE","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","79","6","4",,"07/01/2011","06/30/2012"
"NE","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","77","0","9",,"07/01/2009","06/30/2012"
"NH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","21","0","4",,"07/01/2009","03/31/2012"
"NH","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","17","1","6",,"07/01/2009","06/30/2012"
"NH","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","25","0","1",,"07/01/2009","06/30/2012"
"NH","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","25","1","0",,"07/01/2009","06/30/2012"
"NH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","10","1","0",,"07/01/2010","06/30/2012"
"NH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","12","0","0",,"07/01/2010","06/30/2012"
"NH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","10","0","0",,"07/01/2010","06/30/2012"
"NH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","10","0","2",,"07/01/2010","06/30/2012"
"NH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","0",,"07/01/2010","06/30/2012"
"NH","Serious complications","PSI_90_SAFETY","1","11","1","0",,"07/01/2010","06/30/2012"
"NH","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","15","0","10",,"07/01/2009","06/30/2012"
"NH","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","24","1","1",,"07/01/2009","06/30/2012"
"NH","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","22","0","4",,"07/01/2009","06/30/2012"
"NH","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","25","1","0",,"07/01/2011","06/30/2012"
"NH","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","26","0","0",,"07/01/2009","06/30/2012"
"NJ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","53","0","9",,"07/01/2009","03/31/2012"
"NJ","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","54","8","3",,"07/01/2009","06/30/2012"
"NJ","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","52","13","0",,"07/01/2009","06/30/2012"
"NJ","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","48","15","0",,"07/01/2009","06/30/2012"
"NJ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","15","47","2","1",,"07/01/2010","06/30/2012"
"NJ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","59","0","3",,"07/01/2010","06/30/2012"
"NJ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","54","8","1",,"07/01/2010","06/30/2012"
"NJ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","5","50","2","7",,"07/01/2010","06/30/2012"
"NJ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","63","2","1",,"07/01/2010","06/30/2012"
"NJ","Serious complications","PSI_90_SAFETY","10","51","5","0",,"07/01/2010","06/30/2012"
"NJ","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","5","55","0","6",,"07/01/2009","06/30/2012"
"NJ","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","16","49","1","1",,"07/01/2009","06/30/2012"
"NJ","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","54","0","7",,"07/01/2009","06/30/2012"
"NJ","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","21","41","2","0",,"07/01/2011","06/30/2012"
"NJ","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","63","1","2",,"07/01/2009","06/30/2012"
"NM","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","2",,"07/01/2009","03/31/2012"
"NM","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","13","0","26",,"07/01/2009","06/30/2012"
"NM","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","30","0","9",,"07/01/2009","06/30/2012"
"NM","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","38","0","4",,"07/01/2009","06/30/2012"
"NM","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","23","1","3",,"07/01/2010","06/30/2012"
"NM","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","22","0","3",,"07/01/2010","06/30/2012"
"NM","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","31","1","0",,"07/01/2010","06/30/2012"
"NM","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","10","0","14",,"07/01/2010","06/30/2012"
"NM","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","33","0","0",,"07/01/2010","06/30/2012"
"NM","Serious complications","PSI_90_SAFETY","2","31","0","0",,"07/01/2010","06/30/2012"
"NM","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","11","1","26",,"07/01/2009","06/30/2012"
"NM","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","32","1","9",,"07/01/2009","06/30/2012"
"NM","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","21","1","3",,"07/01/2009","06/30/2012"
"NM","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","38","2","2",,"07/01/2011","06/30/2012"
"NM","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","39","0","3",,"07/01/2009","06/30/2012"
"NV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","22","0","2",,"07/01/2009","03/31/2012"
"NV","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","18","0","13",,"07/01/2009","06/30/2012"
"NV","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","27","1","5",,"07/01/2009","06/30/2012"
"NV","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","24","3","6",,"07/01/2009","06/30/2012"
"NV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","20","1","0",,"07/01/2010","06/30/2012"
"NV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","19","0","0",,"07/01/2010","06/30/2012"
"NV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","22","0","0",,"07/01/2010","06/30/2012"
"NV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","14","0","5",,"07/01/2010","06/30/2012"
"NV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","23","0","0",,"07/01/2010","06/30/2012"
"NV","Serious complications","PSI_90_SAFETY","2","21","1","0",,"07/01/2010","06/30/2012"
"NV","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","18","0","14",,"07/01/2009","06/30/2012"
"NV","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","30","0","5",,"07/01/2009","06/30/2012"
"NV","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","23","0","2",,"07/01/2009","06/30/2012"
"NV","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","28","1","3",,"07/01/2011","06/30/2012"
"NV","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","29","0","6",,"07/01/2009","06/30/2012"
"NY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","116","4","30",,"07/01/2009","03/31/2012"
"NY","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","141","10","31",,"07/01/2009","06/30/2012"
"NY","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","7","156","13","7",,"07/01/2009","06/30/2012"
"NY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","161","14","4",,"07/01/2009","06/30/2012"
"NY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","21","133","3","5",,"07/01/2010","06/30/2012"
"NY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","146","0","9",,"07/01/2010","06/30/2012"
"NY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","158","5","2",,"07/01/2010","06/30/2012"
"NY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","91","2","58",,"07/01/2010","06/30/2012"
"NY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","4","162","1","2",,"07/01/2010","06/30/2012"
"NY","Serious complications","PSI_90_SAFETY","10","157","3","0",,"07/01/2010","06/30/2012"
"NY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","4","132","0","45",,"07/01/2009","06/30/2012"
"NY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","22","156","0","5",,"07/01/2009","06/30/2012"
"NY","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","119","3","30",,"07/01/2009","06/30/2012"
"NY","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","57","110","6","4",,"07/01/2011","06/30/2012"
"NY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","24","154","2","5",,"07/01/2009","06/30/2012"
"OH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","6","128","2","21",,"07/01/2009","03/31/2012"
"OH","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","112","1","47",,"07/01/2009","06/30/2012"
"OH","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","144","6","13",,"07/01/2009","06/30/2012"
"OH","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","146","9","4",,"07/01/2009","06/30/2012"
"OH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","9","122","0","4",,"07/01/2010","06/30/2012"
"OH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","3","117","0","7",,"07/01/2010","06/30/2012"
"OH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","9","126","3","3",,"07/01/2010","06/30/2012"
"OH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","84","1","37",,"07/01/2010","06/30/2012"
"OH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","136","0","4",,"07/01/2010","06/30/2012"
"OH","Serious complications","PSI_90_SAFETY","8","129","4","0",,"07/01/2010","06/30/2012"
"OH","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","96","0","61",,"07/01/2009","06/30/2012"
"OH","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","153","2","10",,"07/01/2009","06/30/2012"
"OH","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","2","133","2","20",,"07/01/2009","06/30/2012"
"OH","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","17","141","6","7",,"07/01/2011","06/30/2012"
"OH","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","11","149","1","6",,"07/01/2009","06/30/2012"
"OK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","46","1","18",,"07/01/2009","03/31/2012"
"OK","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","35","0","71",,"07/01/2009","06/30/2012"
"OK","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","3","84","2","29",,"07/01/2009","06/30/2012"
"OK","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","101","2","11",,"07/01/2009","06/30/2012"
"OK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","68","4","11",,"07/01/2010","06/30/2012"
"OK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","47","0","21",,"07/01/2010","06/30/2012"
"OK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","83","3","2",,"07/01/2010","06/30/2012"
"OK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","4","27","0","27",,"07/01/2010","06/30/2012"
"OK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","88","0","1",,"07/01/2010","06/30/2012"
"OK","Serious complications","PSI_90_SAFETY","2","86","3","0",,"07/01/2010","06/30/2012"
"OK","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","31","0","67",,"07/01/2009","06/30/2012"
"OK","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","87","2","25",,"07/01/2009","06/30/2012"
"OK","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","45","1","19",,"07/01/2009","06/30/2012"
"OK","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","106","9","6",,"07/01/2011","06/30/2012"
"OK","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","103","1","12",,"07/01/2009","06/30/2012"
"OR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","40","0","10",,"07/01/2009","03/31/2012"
"OR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","29","0","31",,"07/01/2009","06/30/2012"
"OR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","49","1","8",,"07/01/2009","06/30/2012"
"OR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","54","1","3",,"07/01/2009","06/30/2012"
"OR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","26","4","1",,"07/01/2010","06/30/2012"
"OR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","0",,"07/01/2010","06/30/2012"
"OR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","29","1","0",,"07/01/2010","06/30/2012"
"OR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","1","14",,"07/01/2010","06/30/2012"
"OR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","32","0","0",,"07/01/2010","06/30/2012"
"OR","Serious complications","PSI_90_SAFETY","1","31","1","0",,"07/01/2010","06/30/2012"
"OR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","23","1","36",,"07/01/2009","06/30/2012"
"OR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","51","4","5",,"07/01/2009","06/30/2012"
"OR","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","39","1","10",,"07/01/2009","06/30/2012"
"OR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","48","8","2",,"07/01/2011","06/30/2012"
"OR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","55","1","3",,"07/01/2009","06/30/2012"
"PA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","6","123","0","27",,"07/01/2009","03/31/2012"
"PA","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","1","122","6","33",,"07/01/2009","06/30/2012"
"PA","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","6","136","16","6",,"07/01/2009","06/30/2012"
"PA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","7","143","10","5",,"07/01/2009","06/30/2012"
"PA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","23","127","1","2",,"07/01/2010","06/30/2012"
"PA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","2","128","0","14",,"07/01/2010","06/30/2012"
"PA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","11","140","2","3",,"07/01/2010","06/30/2012"
"PA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","80","0","60",,"07/01/2010","06/30/2012"
"PA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","152","0","2",,"07/01/2010","06/30/2012"
"PA","Serious complications","PSI_90_SAFETY","16","136","4","0",,"07/01/2010","06/30/2012"
"PA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","120","1","41",,"07/01/2009","06/30/2012"
"PA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","144","9","6",,"07/01/2009","06/30/2012"
"PA","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","4","123","2","29",,"07/01/2009","06/30/2012"
"PA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","17","134","11","7",,"07/01/2011","06/30/2012"
"PA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","157","1","4",,"07/01/2009","06/30/2012"
"PR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","27",,"07/01/2009","03/31/2012"
"PR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","21","0","24",,"07/01/2009","06/30/2012"
"PR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","28","0","21",,"07/01/2009","06/30/2012"
"PR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","3","26","0","21",,"07/01/2009","06/30/2012"
"PR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"PR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"PR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"PR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"PR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"PR","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"PR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","12","0","32",,"07/01/2009","06/30/2012"
"PR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","28","0","20",,"07/01/2009","06/30/2012"
"PR","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","8","0","28",,"07/01/2009","06/30/2012"
"PR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","47","0","4",,"07/01/2011","06/30/2012"
"PR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","26","0","23",,"07/01/2009","06/30/2012"
"RI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","1",,"07/01/2009","03/31/2012"
"RI","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","9","2","0",,"07/01/2009","06/30/2012"
"RI","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","11","0","1",,"07/01/2009","06/30/2012"
"RI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","10","1","1",,"07/01/2009","06/30/2012"
"RI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","11","0","0",,"07/01/2010","06/30/2012"
"RI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","11","0","0",,"07/01/2010","06/30/2012"
"RI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","8","0","0",,"07/01/2010","06/30/2012"
"RI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","7","0","4",,"07/01/2010","06/30/2012"
"RI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0",,"07/01/2010","06/30/2012"
"RI","Serious complications","PSI_90_SAFETY","1","10","0","0",,"07/01/2010","06/30/2012"
"RI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","11","0","0",,"07/01/2009","06/30/2012"
"RI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","9","0","1",,"07/01/2009","06/30/2012"
"RI","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","9","0","1",,"07/01/2009","06/30/2012"
"RI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","7","0","0",,"07/01/2011","06/30/2012"
"RI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","11","0","1",,"07/01/2009","06/30/2012"
"SC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","39","1","14",,"07/01/2009","03/31/2012"
"SC","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","42","0","20",,"07/01/2009","06/30/2012"
