Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"MCLAREN OAKLAND","230207","MI","READM-30-AMI-HRRP","46","","1.0281","23.0","22.4","12","07/01/2009","06/30/2012"
"MCLAREN OAKLAND","230207","MI","READM-30-HF-HRRP","266","","0.9560","25.4","26.6","65","07/01/2009","06/30/2012"
"MCLAREN OAKLAND","230207","MI","READM-30-PN-HRRP","121","","0.9598","19.4","20.2","21","07/01/2009","06/30/2012"
"CARSON CITY HOSPITAL","230208","MI","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CARSON CITY HOSPITAL","230208","MI","READM-30-HF-HRRP","95","","0.8691","20.7","23.8","12","07/01/2009","06/30/2012"
"CARSON CITY HOSPITAL","230208","MI","READM-30-PN-HRRP","61","","0.9884","17.5","17.7","Too Few To Report","07/01/2009","06/30/2012"
"PORT HURON HOSPITAL","230216","MI","READM-30-AMI-HRRP","367","","1.0874","19.9","18.3","77","07/01/2009","06/30/2012"
"PORT HURON HOSPITAL","230216","MI","READM-30-HF-HRRP","532","","1.1315","26.7","23.6","149","07/01/2009","06/30/2012"
"PORT HURON HOSPITAL","230216","MI","READM-30-PN-HRRP","427","","1.1123","20.8","18.7","95","07/01/2009","06/30/2012"
"OAKLAWN HOSPITAL","230217","MI","READM-30-AMI-HRRP","28","","0.9778","21.8","22.3","Too Few To Report","07/01/2009","06/30/2012"
"OAKLAWN HOSPITAL","230217","MI","READM-30-HF-HRRP","154","","0.9151","20.7","22.6","27","07/01/2009","06/30/2012"
"OAKLAWN HOSPITAL","230217","MI","READM-30-PN-HRRP","173","","0.9257","16.4","17.7","24","07/01/2009","06/30/2012"
"MIDMICHIGAN MEDICAL CENTER-MIDLAND","230222","MI","READM-30-AMI-HRRP","493","","1.0071","15.8","15.6","78","07/01/2009","06/30/2012"
"MIDMICHIGAN MEDICAL CENTER-MIDLAND","230222","MI","READM-30-HF-HRRP","578","","1.0140","22.9","22.6","133","07/01/2009","06/30/2012"
"MIDMICHIGAN MEDICAL CENTER-MIDLAND","230222","MI","READM-30-PN-HRRP","629","","0.8816","15.1","17.1","88","07/01/2009","06/30/2012"
"MCLAREN MACOMB","230227","MI","READM-30-AMI-HRRP","278","","1.0998","21.3","19.4","64","07/01/2009","06/30/2012"
"MCLAREN MACOMB","230227","MI","READM-30-HF-HRRP","880","","1.0166","26.0","25.6","230","07/01/2009","06/30/2012"
"MCLAREN MACOMB","230227","MI","READM-30-PN-HRRP","370","","1.0216","21.5","21.1","81","07/01/2009","06/30/2012"
"EDWARD W SPARROW HOSPITAL","230230","MI","READM-30-AMI-HRRP","449","","0.9193","15.3","16.7","65","07/01/2009","06/30/2012"
"EDWARD W SPARROW HOSPITAL","230230","MI","READM-30-HF-HRRP","811","","1.0209","22.8","22.3","186","07/01/2009","06/30/2012"
"EDWARD W SPARROW HOSPITAL","230230","MI","READM-30-PN-HRRP","637","","0.9943","17.9","18.1","114","07/01/2009","06/30/2012"
"METRO HEALTH HOSPITAL","230236","MI","READM-30-AMI-HRRP","89","","1.0130","18.4","18.2","17","07/01/2009","06/30/2012"
"METRO HEALTH HOSPITAL","230236","MI","READM-30-HF-HRRP","244","","0.8647","19.6","22.7","40","07/01/2009","06/30/2012"
"METRO HEALTH HOSPITAL","230236","MI","READM-30-PN-HRRP","181","","0.9898","17.4","17.6","31","07/01/2009","06/30/2012"
"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","230239","MI","READM-30-AMI-HRRP","71","","0.9838","20.8","21.2","14","07/01/2009","06/30/2012"
"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","230239","MI","READM-30-HF-HRRP","138","","0.8734","19.8","22.7","20","07/01/2009","06/30/2012"
"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL","230239","MI","READM-30-PN-HRRP","186","","0.9555","15.3","16.0","26","07/01/2009","06/30/2012"
"ST JOHN RIVER DISTRICT HOSPITAL","230241","MI","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ST JOHN RIVER DISTRICT HOSPITAL","230241","MI","READM-30-HF-HRRP","164","","1.0473","23.4","22.4","41","07/01/2009","06/30/2012"
"ST JOHN RIVER DISTRICT HOSPITAL","230241","MI","READM-30-PN-HRRP","153","","1.0446","19.3","18.5","32","07/01/2009","06/30/2012"
"GARDEN CITY HOSPITAL","230244","MI","READM-30-AMI-HRRP","215","","1.1586","24.0","20.7","59","07/01/2009","06/30/2012"
"GARDEN CITY HOSPITAL","230244","MI","READM-30-HF-HRRP","671","","1.1102","26.5","23.9","184","07/01/2009","06/30/2012"
"GARDEN CITY HOSPITAL","230244","MI","READM-30-PN-HRRP","441","","1.1966","23.6","19.7","115","07/01/2009","06/30/2012"
"CRITTENTON HOSPITAL MEDICAL CENTER","230254","MI","READM-30-AMI-HRRP","143","","1.0133","19.1","18.9","28","07/01/2009","06/30/2012"
"CRITTENTON HOSPITAL MEDICAL CENTER","230254","MI","READM-30-HF-HRRP","568","","0.8956","21.3","23.8","115","07/01/2009","06/30/2012"
"CRITTENTON HOSPITAL MEDICAL CENTER","230254","MI","READM-30-PN-HRRP","377","","1.0504","20.5","19.5","80","07/01/2009","06/30/2012"
"CHELSEA COMMUNITY HOSPITAL","230259","MI","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CHELSEA COMMUNITY HOSPITAL","230259","MI","READM-30-HF-HRRP","119","","0.9367","20.6","22.0","21","07/01/2009","06/30/2012"
"CHELSEA COMMUNITY HOSPITAL","230259","MI","READM-30-PN-HRRP","154","","0.9579","16.5","17.2","23","07/01/2009","06/30/2012"
"SOUTHEAST MICHIGAN SURGICAL HOSPITAL","230264","MI","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SOUTHEAST MICHIGAN SURGICAL HOSPITAL","230264","MI","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SOUTHEAST MICHIGAN SURGICAL HOSPITAL","230264","MI","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"WILLIAM BEAUMONT HOSPITAL-TROY","230269","MI","READM-30-AMI-HRRP","613","","1.0560","19.6","18.6","123","07/01/2009","06/30/2012"
"WILLIAM BEAUMONT HOSPITAL-TROY","230269","MI","READM-30-HF-HRRP","1435","","1.1253","26.6","23.7","389","07/01/2009","06/30/2012"
"WILLIAM BEAUMONT HOSPITAL-TROY","230269","MI","READM-30-PN-HRRP","791","","1.1420","21.0","18.4","174","07/01/2009","06/30/2012"
"OAKWOOD HOSPITAL - TAYLOR","230270","MI","READM-30-AMI-HRRP","65","","0.9979","26.3","26.4","17","07/01/2009","06/30/2012"
"OAKWOOD HOSPITAL - TAYLOR","230270","MI","READM-30-HF-HRRP","288","","1.0382","29.8","28.7","88","07/01/2009","06/30/2012"
"OAKWOOD HOSPITAL - TAYLOR","230270","MI","READM-30-PN-HRRP","380","","1.0568","24.1","22.8","95","07/01/2009","06/30/2012"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER","230273","MI","READM-30-AMI-HRRP","140","","1.0656","24.8","23.3","38","07/01/2009","06/30/2012"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER","230273","MI","READM-30-HF-HRRP","390","","1.2112","32.4","26.7","138","07/01/2009","06/30/2012"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER","230273","MI","READM-30-PN-HRRP","160","","0.9757","18.4","18.8","28","07/01/2009","06/30/2012"
"HEALTHSOURCE SAGINAW","230275","MI","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HEALTHSOURCE SAGINAW","230275","MI","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HEALTHSOURCE SAGINAW","230275","MI","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HURON VALLEY-SINAI HOSPITAL","230277","MI","READM-30-AMI-HRRP","211","","0.9756","21.4","22.0","44","07/01/2009","06/30/2012"
"HURON VALLEY-SINAI HOSPITAL","230277","MI","READM-30-HF-HRRP","546","","1.0867","26.6","24.5","150","07/01/2009","06/30/2012"
"HURON VALLEY-SINAI HOSPITAL","230277","MI","READM-30-PN-HRRP","220","","0.9650","18.2","18.9","38","07/01/2009","06/30/2012"
"BRIGHTON HOSPITAL","230279","MI","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BRIGHTON HOSPITAL","230279","MI","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BRIGHTON HOSPITAL","230279","MI","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KARMANOS CANCER CENTER","230297","MI","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KARMANOS CANCER CENTER","230297","MI","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"KARMANOS CANCER CENTER","230297","MI","READM-30-PN-HRRP","46","","0.9921","22.8","23.0","Too Few To Report","07/01/2009","06/30/2012"
"OAKLAND REGIONAL HOSPITAL","230301","MI","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"OAKLAND REGIONAL HOSPITAL","230301","MI","READM-30-HF-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"OAKLAND REGIONAL HOSPITAL","230301","MI","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"HENRY FORD WEST BLOOMFIELD HOSPITAL","230302","MI","READM-30-AMI-HRRP","126","","1.0722","23.4","21.8","33","07/01/2009","06/30/2012"
"HENRY FORD WEST BLOOMFIELD HOSPITAL","230302","MI","READM-30-HF-HRRP","426","","1.0022","23.9","23.9","102","07/01/2009","06/30/2012"
"HENRY FORD WEST BLOOMFIELD HOSPITAL","230302","MI","READM-30-PN-HRRP","380","","1.0380","19.4","18.7","76","07/01/2009","06/30/2012"
"NORTH MEMORIAL MEDICAL CENTER","240001","MN","READM-30-AMI-HRRP","219","","0.8926","13.8","15.4","25","07/01/2009","06/30/2012"
"NORTH MEMORIAL MEDICAL CENTER","240001","MN","READM-30-HF-HRRP","417","","0.9230","20.5","22.2","81","07/01/2009","06/30/2012"
"NORTH MEMORIAL MEDICAL CENTER","240001","MN","READM-30-PN-HRRP","244","","0.9240","15.3","16.6","33","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER","240002","MN","READM-30-AMI-HRRP","627","","0.8552","13.2","15.5","76","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER","240002","MN","READM-30-HF-HRRP","418","","0.9174","19.5","21.3","77","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER","240002","MN","READM-30-PN-HRRP","300","","1.0316","17.8","17.2","55","07/01/2009","06/30/2012"
"HENNEPIN COUNTY MEDICAL CENTER","240004","MN","READM-30-AMI-HRRP","66","","0.9415","18.1","19.2","Too Few To Report","07/01/2009","06/30/2012"
"HENNEPIN COUNTY MEDICAL CENTER","240004","MN","READM-30-HF-HRRP","167","","1.0706","27.0","25.2","49","07/01/2009","06/30/2012"
"HENNEPIN COUNTY MEDICAL CENTER","240004","MN","READM-30-PN-HRRP","140","","1.0678","22.8","21.3","36","07/01/2009","06/30/2012"
"OLMSTED MEDICAL CENTER","240006","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"OLMSTED MEDICAL CENTER","240006","MN","READM-30-HF-HRRP","25","","0.9740","21.8","22.4","Too Few To Report","07/01/2009","06/30/2012"
"OLMSTED MEDICAL CENTER","240006","MN","READM-30-PN-HRRP","49","","0.9515","13.6","14.3","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC HOSPITAL ROCHESTER","240010","MN","READM-30-AMI-HRRP","767","","0.8561","13.8","16.1","99","07/01/2009","06/30/2012"
"MAYO CLINIC HOSPITAL ROCHESTER","240010","MN","READM-30-HF-HRRP","1379","","0.9206","20.2","21.9","274","07/01/2009","06/30/2012"
"MAYO CLINIC HOSPITAL ROCHESTER","240010","MN","READM-30-PN-HRRP","740","","0.9024","15.0","16.6","105","07/01/2009","06/30/2012"
"NORTHFIELD HOSPITAL","240014","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"NORTHFIELD HOSPITAL","240014","MN","READM-30-HF-HRRP","80","","1.0105","21.8","21.6","18","07/01/2009","06/30/2012"
"NORTHFIELD HOSPITAL","240014","MN","READM-30-PN-HRRP","89","","0.9462","13.4","14.2","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM IN RED WING","240018","MN","READM-30-AMI-HRRP","26","","1.0105","21.1","20.9","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM IN RED WING","240018","MN","READM-30-HF-HRRP","70","","0.9873","21.0","21.3","14","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM IN RED WING","240018","MN","READM-30-PN-HRRP","75","","0.9227","13.8","15.0","Too Few To Report","07/01/2009","06/30/2012"
"ESSENTIA HEALTH DULUTH","240019","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ESSENTIA HEALTH DULUTH","240019","MN","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"ESSENTIA HEALTH DULUTH","240019","MN","READM-30-PN-HRRP","44","","0.9372","17.5","18.7","Too Few To Report","07/01/2009","06/30/2012"
"CAMBRIDGE MEDICAL CENTER","240020","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"CAMBRIDGE MEDICAL CENTER","240020","MN","READM-30-HF-HRRP","71","","0.9835","22.4","22.8","15","07/01/2009","06/30/2012"
"CAMBRIDGE MEDICAL CENTER","240020","MN","READM-30-PN-HRRP","48","","0.9482","16.6","17.5","Too Few To Report","07/01/2009","06/30/2012"
"SANFORD  WORTHINGTON MEDICAL CENTER","240022","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"SANFORD  WORTHINGTON MEDICAL CENTER","240022","MN","READM-30-HF-HRRP","60","","0.9991","20.1","20.1","12","07/01/2009","06/30/2012"
"SANFORD  WORTHINGTON MEDICAL CENTER","240022","MN","READM-30-PN-HRRP","66","","0.9546","14.4","15.1","Too Few To Report","07/01/2009","06/30/2012"
"DOUGLAS COUNTY HOSPITAL","240030","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DOUGLAS COUNTY HOSPITAL","240030","MN","READM-30-HF-HRRP","95","","0.9102","17.8","19.6","12","07/01/2009","06/30/2012"
"DOUGLAS COUNTY HOSPITAL","240030","MN","READM-30-PN-HRRP","97","","0.9626","15.6","16.2","13","07/01/2009","06/30/2012"
"ST CLOUD HOSPITAL","240036","MN","READM-30-AMI-HRRP","479","","0.8537","13.0","15.2","55","07/01/2009","06/30/2012"
"ST CLOUD HOSPITAL","240036","MN","READM-30-HF-HRRP","788","","0.9578","20.5","21.4","159","07/01/2009","06/30/2012"
"ST CLOUD HOSPITAL","240036","MN","READM-30-PN-HRRP","483","","1.0436","17.7","17.0","88","07/01/2009","06/30/2012"
"UNITED HOSPITAL","240038","MN","READM-30-AMI-HRRP","296","","0.9786","15.2","15.5","44","07/01/2009","06/30/2012"
"UNITED HOSPITAL","240038","MN","READM-30-HF-HRRP","462","","0.9255","19.7","21.3","87","07/01/2009","06/30/2012"
"UNITED HOSPITAL","240038","MN","READM-30-PN-HRRP","260","","0.9925","15.2","15.3","39","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS","240040","MN","READM-30-AMI-HRRP","35","","1.0599","18.1","17.0","Too Few To Report","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS","240040","MN","READM-30-HF-HRRP","94","","0.9838","19.0","19.3","17","07/01/2009","06/30/2012"
"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS","240040","MN","READM-30-PN-HRRP","146","","1.0141","15.9","15.7","24","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA","240043","MN","READM-30-AMI-HRRP","71","","0.9140","18.7","20.5","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA","240043","MN","READM-30-HF-HRRP","102","","0.8876","20.0","22.6","14","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA","240043","MN","READM-30-PN-HRRP","211","","0.9112","14.2","15.6","25","07/01/2009","06/30/2012"
"WINONA HEALTH SERVICES","240044","MN","READM-30-AMI-HRRP","32","","0.9766","19.2","19.6","Too Few To Report","07/01/2009","06/30/2012"
"WINONA HEALTH SERVICES","240044","MN","READM-30-HF-HRRP","135","","0.9277","20.0","21.6","23","07/01/2009","06/30/2012"
"WINONA HEALTH SERVICES","240044","MN","READM-30-PN-HRRP","238","","1.0316","16.9","16.4","42","07/01/2009","06/30/2012"
"ST LUKES HOSPITAL","240047","MN","READM-30-AMI-HRRP","218","","0.9352","15.2","16.2","30","07/01/2009","06/30/2012"
"ST LUKES HOSPITAL","240047","MN","READM-30-HF-HRRP","280","","0.9546","21.3","22.3","57","07/01/2009","06/30/2012"
"ST LUKES HOSPITAL","240047","MN","READM-30-PN-HRRP","254","","0.9769","15.9","16.2","39","07/01/2009","06/30/2012"
"FAIRVIEW LAKES MEDICAL CENTER","240050","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"FAIRVIEW LAKES MEDICAL CENTER","240050","MN","READM-30-HF-HRRP","114","","0.9393","20.5","21.8","20","07/01/2009","06/30/2012"
"FAIRVIEW LAKES MEDICAL CENTER","240050","MN","READM-30-PN-HRRP","65","","1.0478","16.1","15.3","13","07/01/2009","06/30/2012"
"LAKE REGION HEALTHCARE CORPORATION","240052","MN","READM-30-AMI-HRRP","35","","0.9373","17.1","18.2","Too Few To Report","07/01/2009","06/30/2012"
"LAKE REGION HEALTHCARE CORPORATION","240052","MN","READM-30-HF-HRRP","106","","0.9784","19.0","19.4","19","07/01/2009","06/30/2012"
"LAKE REGION HEALTHCARE CORPORATION","240052","MN","READM-30-PN-HRRP","137","","0.9477","14.5","15.3","17","07/01/2009","06/30/2012"
"PARK NICOLLET METHODIST HOSPITAL","240053","MN","READM-30-AMI-HRRP","252","","0.9695","15.2","15.7","37","07/01/2009","06/30/2012"
"PARK NICOLLET METHODIST HOSPITAL","240053","MN","READM-30-HF-HRRP","581","","0.9218","20.0","21.7","112","07/01/2009","06/30/2012"
"PARK NICOLLET METHODIST HOSPITAL","240053","MN","READM-30-PN-HRRP","533","","1.0605","17.6","16.6","97","07/01/2009","06/30/2012"
"RIDGEVIEW MEDICAL CENTER","240056","MN","READM-30-AMI-HRRP","29","","0.9799","20.6","21.1","Too Few To Report","07/01/2009","06/30/2012"
"RIDGEVIEW MEDICAL CENTER","240056","MN","READM-30-HF-HRRP","118","","1.0008","20.3","20.3","24","07/01/2009","06/30/2012"
"RIDGEVIEW MEDICAL CENTER","240056","MN","READM-30-PN-HRRP","135","","1.0145","15.7","15.5","22","07/01/2009","06/30/2012"
"ABBOTT NORTHWESTERN HOSPITAL","240057","MN","READM-30-AMI-HRRP","597","","0.8256","12.3","14.9","65","07/01/2009","06/30/2012"
"ABBOTT NORTHWESTERN HOSPITAL","240057","MN","READM-30-HF-HRRP","750","","0.9068","20.6","22.7","149","07/01/2009","06/30/2012"
"ABBOTT NORTHWESTERN HOSPITAL","240057","MN","READM-30-PN-HRRP","299","","0.9579","16.9","17.6","48","07/01/2009","06/30/2012"
"REGINA HOSPITAL","240059","MN","READM-30-AMI-HRRP","28","","0.9686","19.7","20.4","Too Few To Report","07/01/2009","06/30/2012"
"REGINA HOSPITAL","240059","MN","READM-30-HF-HRRP","73","","1.0347","20.8","20.1","17","07/01/2009","06/30/2012"
"REGINA HOSPITAL","240059","MN","READM-30-PN-HRRP","76","","0.9812","14.5","14.8","Too Few To Report","07/01/2009","06/30/2012"
"MAYO CLINIC METHODIST- HOSPITAL","240061","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MAYO CLINIC METHODIST- HOSPITAL","240061","MN","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"MAYO CLINIC METHODIST- HOSPITAL","240061","MN","READM-30-PN-HRRP","43","","0.9948","19.3","19.4","Too Few To Report","07/01/2009","06/30/2012"
"ST JOSEPH'S HOSPITAL","240063","MN","READM-30-AMI-HRRP","290","","0.9260","16.1","17.3","43","07/01/2009","06/30/2012"
"ST JOSEPH'S HOSPITAL","240063","MN","READM-30-HF-HRRP","309","","0.8382","17.9","21.4","46","07/01/2009","06/30/2012"
"ST JOSEPH'S HOSPITAL","240063","MN","READM-30-PN-HRRP","183","","1.0474","17.2","16.4","34","07/01/2009","06/30/2012"
"GRAND ITASCA CLINIC AND HOSPITAL","240064","MN","READM-30-AMI-HRRP","28","","0.9896","19.6","19.8","Too Few To Report","07/01/2009","06/30/2012"
"GRAND ITASCA CLINIC AND HOSPITAL","240064","MN","READM-30-HF-HRRP","65","","0.8991","19.5","21.7","Too Few To Report","07/01/2009","06/30/2012"
"GRAND ITASCA CLINIC AND HOSPITAL","240064","MN","READM-30-PN-HRRP","144","","0.9101","15.4","16.9","17","07/01/2009","06/30/2012"
"LAKEVIEW MEMORIAL HOSPITAL","240066","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"LAKEVIEW MEMORIAL HOSPITAL","240066","MN","READM-30-HF-HRRP","77","","0.9426","18.3","19.4","11","07/01/2009","06/30/2012"
"LAKEVIEW MEMORIAL HOSPITAL","240066","MN","READM-30-PN-HRRP","60","","0.9752","13.9","14.3","Too Few To Report","07/01/2009","06/30/2012"
"OWATONNA HOSPITAL","240069","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"OWATONNA HOSPITAL","240069","MN","READM-30-HF-HRRP","124","","0.9044","18.8","20.8","18","07/01/2009","06/30/2012"
"OWATONNA HOSPITAL","240069","MN","READM-30-PN-HRRP","113","","0.9456","14.2","15.0","13","07/01/2009","06/30/2012"
"DISTRICT ONE HOSPITAL","240071","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"DISTRICT ONE HOSPITAL","240071","MN","READM-30-HF-HRRP","72","","0.9710","21.7","22.3","14","07/01/2009","06/30/2012"
"DISTRICT ONE HOSPITAL","240071","MN","READM-30-PN-HRRP","97","","0.9552","16.0","16.8","13","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","240075","MN","READM-30-AMI-HRRP","72","","0.9939","18.5","18.6","13","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","240075","MN","READM-30-HF-HRRP","225","","1.1127","24.9","22.4","62","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","240075","MN","READM-30-PN-HRRP","155","","1.0695","18.2","17.0","32","07/01/2009","06/30/2012"
"BUFFALO HOSPITAL","240076","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
"BUFFALO HOSPITAL","240076","MN","READM-30-HF-HRRP","88","","1.0308","22.0","21.3","21","07/01/2009","06/30/2012"
"BUFFALO HOSPITAL","240076","MN","READM-30-PN-HRRP","76","","1.0006","15.7","15.7","12","07/01/2009","06/30/2012"
"FAIRVIEW SOUTHDALE HOSPITAL","240078","MN","READM-30-AMI-HRRP","300","","0.9782","15.3","15.7","45","07/01/2009","06/30/2012"
"FAIRVIEW SOUTHDALE HOSPITAL","240078","MN","READM-30-HF-HRRP","419","","0.8754","18.9","21.6","72","07/01/2009","06/30/2012"
"FAIRVIEW SOUTHDALE HOSPITAL","240078","MN","READM-30-PN-HRRP","299","","0.9605","15.1","15.7","43","07/01/2009","06/30/2012"
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","240080","MN","READM-30-AMI-HRRP","123","","0.9650","16.8","17.4","19","07/01/2009","06/30/2012"
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","240080","MN","READM-30-HF-HRRP","233","","1.0672","26.7","25.0","66","07/01/2009","06/30/2012"
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","240080","MN","READM-30-PN-HRRP","127","","0.9042","17.1","18.9","16","07/01/2009","06/30/2012"
"ESSENTIA HEALTH VIRGINIA","240084","MN","READM-30-AMI-HRRP","32","","1.0039","18.2","18.1","Too Few To Report","07/01/2009","06/30/2012"
"ESSENTIA HEALTH VIRGINIA","240084","MN","READM-30-HF-HRRP","75","","0.9258","18.8","20.3","Too Few To Report","07/01/2009","06/30/2012"
"ESSENTIA HEALTH VIRGINIA","240084","MN","READM-30-PN-HRRP","66","","1.0156","15.4","15.2","11","07/01/2009","06/30/2012"
"RICE MEMORIAL HOSPITAL","240088","MN","READM-30-AMI-HRRP","25","","0.9643","18.9","19.6","Too Few To Report","07/01/2009","06/30/2012"
"RICE MEMORIAL HOSPITAL","240088","MN","READM-30-HF-HRRP","106","","0.9351","18.4","19.7","16","07/01/2009","06/30/2012"
"RICE MEMORIAL HOSPITAL","240088","MN","READM-30-PN-HRRP","186","","0.9203","14.2","15.5","22","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - MANKATO","240093","MN","READM-30-AMI-HRRP","182","","0.9730","14.4","14.8","25","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - MANKATO","240093","MN","READM-30-HF-HRRP","286","","0.8211","16.9","20.6","38","07/01/2009","06/30/2012"
"MAYO CLINIC HEALTH SYSTEM - MANKATO","240093","MN","READM-30-PN-HRRP","228","","1.0202","17.5","17.1","41","07/01/2009","06/30/2012"
"SANFORD BEMIDJI MEDICAL CENTER","240100","MN","READM-30-AMI-HRRP","28","","1.0281","23.6","22.9","Too Few To Report","07/01/2009","06/30/2012"
"SANFORD BEMIDJI MEDICAL CENTER","240100","MN","READM-30-HF-HRRP","139","","0.8812","19.3","21.9","20","07/01/2009","06/30/2012"
"SANFORD BEMIDJI MEDICAL CENTER","240100","MN","READM-30-PN-HRRP","186","","0.9919","16.4","16.5","30","07/01/2009","06/30/2012"
"ESSENTIA HEALTH ST MARYS","240101","MN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","07/01/2009","06/30/2012"
