"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"NE","Hernia procedures except inguinal and femoral w MCC","38","","10/01/2012","09/30/2013"
"NH","Hernia procedures except inguinal and femoral w MCC","15","","10/01/2012","09/30/2013"
"NJ","Hernia procedures except inguinal and femoral w MCC","103","","10/01/2012","09/30/2013"
"NM","Hernia procedures except inguinal and femoral w MCC","15","","10/01/2012","09/30/2013"
"NV","Hernia procedures except inguinal and femoral w MCC","22","","10/01/2012","09/30/2013"
"NY","Hernia procedures except inguinal and femoral w MCC","198","","10/01/2012","09/30/2013"
"OH","Hernia procedures except inguinal and femoral w MCC","181","","10/01/2012","09/30/2013"
"OK","Hernia procedures except inguinal and femoral w MCC","38","","10/01/2012","09/30/2013"
"OR","Hernia procedures except inguinal and femoral w MCC","26","","10/01/2012","09/30/2013"
"PA","Hernia procedures except inguinal and femoral w MCC","150","","10/01/2012","09/30/2013"
"PR","Hernia procedures except inguinal and femoral w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"RI","Hernia procedures except inguinal and femoral w MCC","11","","10/01/2012","09/30/2013"
"SC","Hernia procedures except inguinal and femoral w MCC","69","","10/01/2012","09/30/2013"
"SD","Hernia procedures except inguinal and femoral w MCC","14","","10/01/2012","09/30/2013"
"TN","Hernia procedures except inguinal and femoral w MCC","87","","10/01/2012","09/30/2013"
"TX","Hernia procedures except inguinal and femoral w MCC","301","","10/01/2012","09/30/2013"
"UT","Hernia procedures except inguinal and femoral w MCC","22","","10/01/2012","09/30/2013"
"VA","Hernia procedures except inguinal and femoral w MCC","92","","10/01/2012","09/30/2013"
"VT","Hernia procedures except inguinal and femoral w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"WA","Hernia procedures except inguinal and femoral w MCC","60","","10/01/2012","09/30/2013"
"WI","Hernia procedures except inguinal and femoral w MCC","66","","10/01/2012","09/30/2013"
"WV","Hernia procedures except inguinal and femoral w MCC","28","","10/01/2012","09/30/2013"
"WY","Hernia procedures except inguinal and femoral w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AK","Hernia procedures except inguinal and femoral w CC","13","","10/01/2012","09/30/2013"
"AL","Hernia procedures except inguinal and femoral w CC","188","","10/01/2012","09/30/2013"
"AR","Hernia procedures except inguinal and femoral w CC","124","","10/01/2012","09/30/2013"
"AZ","Hernia procedures except inguinal and femoral w CC","176","","10/01/2012","09/30/2013"
"CA","Hernia procedures except inguinal and femoral w CC","629","","10/01/2012","09/30/2013"
"CO","Hernia procedures except inguinal and femoral w CC","113","","10/01/2012","09/30/2013"
"CT","Hernia procedures except inguinal and femoral w CC","120","","10/01/2012","09/30/2013"
"DC","Hernia procedures except inguinal and femoral w CC","32","","10/01/2012","09/30/2013"
"DE","Hernia procedures except inguinal and femoral w CC","54","","10/01/2012","09/30/2013"
"FL","Hernia procedures except inguinal and femoral w CC","701","","10/01/2012","09/30/2013"
"GA","Hernia procedures except inguinal and femoral w CC","208","","10/01/2012","09/30/2013"
"GU","Hernia procedures except inguinal and femoral w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"HI","Hernia procedures except inguinal and femoral w CC","12","","10/01/2012","09/30/2013"
"IA","Hernia procedures except inguinal and femoral w CC","95","","10/01/2012","09/30/2013"
"ID","Hernia procedures except inguinal and femoral w CC","36","","10/01/2012","09/30/2013"
"IL","Hernia procedures except inguinal and femoral w CC","500","","10/01/2012","09/30/2013"
"IN","Hernia procedures except inguinal and femoral w CC","242","","10/01/2012","09/30/2013"
"KS","Hernia procedures except inguinal and femoral w CC","98","","10/01/2012","09/30/2013"
"KY","Hernia procedures except inguinal and femoral w CC","203","","10/01/2012","09/30/2013"
"LA","Hernia procedures except inguinal and femoral w CC","164","","10/01/2012","09/30/2013"
"MA","Hernia procedures except inguinal and femoral w CC","253","","10/01/2012","09/30/2013"
"MD","Hernia procedures except inguinal and femoral w CC","200","","10/01/2012","09/30/2013"
"ME","Hernia procedures except inguinal and femoral w CC","63","","10/01/2012","09/30/2013"
"MI","Hernia procedures except inguinal and femoral w CC","360","","10/01/2012","09/30/2013"
"MN","Hernia procedures except inguinal and femoral w CC","195","","10/01/2012","09/30/2013"
"MO","Hernia procedures except inguinal and femoral w CC","228","","10/01/2012","09/30/2013"
"MS","Hernia procedures except inguinal and femoral w CC","99","","10/01/2012","09/30/2013"
"MT","Hernia procedures except inguinal and femoral w CC","25","","10/01/2012","09/30/2013"
"NC","Hernia procedures except inguinal and femoral w CC","342","","10/01/2012","09/30/2013"
"ND","Hernia procedures except inguinal and femoral w CC","27","","10/01/2012","09/30/2013"
"NE","Hernia procedures except inguinal and femoral w CC","96","","10/01/2012","09/30/2013"
"NH","Hernia procedures except inguinal and femoral w CC","37","","10/01/2012","09/30/2013"
"NJ","Hernia procedures except inguinal and femoral w CC","251","","10/01/2012","09/30/2013"
"NM","Hernia procedures except inguinal and femoral w CC","38","","10/01/2012","09/30/2013"
"NV","Hernia procedures except inguinal and femoral w CC","50","","10/01/2012","09/30/2013"
"NY","Hernia procedures except inguinal and femoral w CC","512","","10/01/2012","09/30/2013"
"OH","Hernia procedures except inguinal and femoral w CC","399","","10/01/2012","09/30/2013"
"OK","Hernia procedures except inguinal and femoral w CC","165","","10/01/2012","09/30/2013"
"OR","Hernia procedures except inguinal and femoral w CC","115","","10/01/2012","09/30/2013"
"PA","Hernia procedures except inguinal and femoral w CC","391","","10/01/2012","09/30/2013"
"PR","Hernia procedures except inguinal and femoral w CC","15","","10/01/2012","09/30/2013"
"RI","Hernia procedures except inguinal and femoral w CC","32","","10/01/2012","09/30/2013"
"SC","Hernia procedures except inguinal and femoral w CC","194","","10/01/2012","09/30/2013"
"SD","Hernia procedures except inguinal and femoral w CC","36","","10/01/2012","09/30/2013"
"TN","Hernia procedures except inguinal and femoral w CC","217","","10/01/2012","09/30/2013"
"TX","Hernia procedures except inguinal and femoral w CC","746","","10/01/2012","09/30/2013"
"UT","Hernia procedures except inguinal and femoral w CC","55","","10/01/2012","09/30/2013"
"VA","Hernia procedures except inguinal and femoral w CC","241","","10/01/2012","09/30/2013"
"VT","Hernia procedures except inguinal and femoral w CC","16","","10/01/2012","09/30/2013"
"WA","Hernia procedures except inguinal and femoral w CC","208","","10/01/2012","09/30/2013"
"WI","Hernia procedures except inguinal and femoral w CC","226","","10/01/2012","09/30/2013"
"WV","Hernia procedures except inguinal and femoral w CC","43","","10/01/2012","09/30/2013"
"WY","Hernia procedures except inguinal and femoral w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AK","Major small and large bowel procedures w/o CC/MCC","58","","10/01/2012","09/30/2013"
"AL","Major small and large bowel procedures w/o CC/MCC","490","","10/01/2012","09/30/2013"
"AR","Major small and large bowel procedures w/o CC/MCC","295","","10/01/2012","09/30/2013"
"AZ","Major small and large bowel procedures w/o CC/MCC","426","","10/01/2012","09/30/2013"
"CA","Major small and large bowel procedures w/o CC/MCC","1720","","10/01/2012","09/30/2013"
"CO","Major small and large bowel procedures w/o CC/MCC","311","","10/01/2012","09/30/2013"
"CT","Major small and large bowel procedures w/o CC/MCC","347","","10/01/2012","09/30/2013"
"DC","Major small and large bowel procedures w/o CC/MCC","142","","10/01/2012","09/30/2013"
"DE","Major small and large bowel procedures w/o CC/MCC","144","","10/01/2012","09/30/2013"
"FL","Major small and large bowel procedures w/o CC/MCC","1641","","10/01/2012","09/30/2013"
"GA","Major small and large bowel procedures w/o CC/MCC","795","","10/01/2012","09/30/2013"
"GU","Major small and large bowel procedures w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"HI","Major small and large bowel procedures w/o CC/MCC","54","","10/01/2012","09/30/2013"
"IA","Major small and large bowel procedures w/o CC/MCC","313","","10/01/2012","09/30/2013"
"ID","Major small and large bowel procedures w/o CC/MCC","115","","10/01/2012","09/30/2013"
"IL","Major small and large bowel procedures w/o CC/MCC","922","","10/01/2012","09/30/2013"
"IN","Major small and large bowel procedures w/o CC/MCC","667","","10/01/2012","09/30/2013"
"KS","Major small and large bowel procedures w/o CC/MCC","261","","10/01/2012","09/30/2013"
"KY","Major small and large bowel procedures w/o CC/MCC","517","","10/01/2012","09/30/2013"
"LA","Major small and large bowel procedures w/o CC/MCC","445","","10/01/2012","09/30/2013"
"MA","Major small and large bowel procedures w/o CC/MCC","661","","10/01/2012","09/30/2013"
"MD","Major small and large bowel procedures w/o CC/MCC","461","","10/01/2012","09/30/2013"
"ME","Major small and large bowel procedures w/o CC/MCC","120","","10/01/2012","09/30/2013"
"MI","Major small and large bowel procedures w/o CC/MCC","918","","10/01/2012","09/30/2013"
"MN","Major small and large bowel procedures w/o CC/MCC","383","","10/01/2012","09/30/2013"
"MO","Major small and large bowel procedures w/o CC/MCC","675","","10/01/2012","09/30/2013"
"MS","Major small and large bowel procedures w/o CC/MCC","420","","10/01/2012","09/30/2013"
"MT","Major small and large bowel procedures w/o CC/MCC","86","","10/01/2012","09/30/2013"
"NC","Major small and large bowel procedures w/o CC/MCC","952","","10/01/2012","09/30/2013"
"ND","Major small and large bowel procedures w/o CC/MCC","104","","10/01/2012","09/30/2013"
"NE","Major small and large bowel procedures w/o CC/MCC","176","","10/01/2012","09/30/2013"
"NH","Major small and large bowel procedures w/o CC/MCC","113","","10/01/2012","09/30/2013"
"NJ","Major small and large bowel procedures w/o CC/MCC","719","","10/01/2012","09/30/2013"
"NM","Major small and large bowel procedures w/o CC/MCC","125","","10/01/2012","09/30/2013"
"NV","Major small and large bowel procedures w/o CC/MCC","121","","10/01/2012","09/30/2013"
"NY","Major small and large bowel procedures w/o CC/MCC","1332","","10/01/2012","09/30/2013"
"OH","Major small and large bowel procedures w/o CC/MCC","926","","10/01/2012","09/30/2013"
"OK","Major small and large bowel procedures w/o CC/MCC","429","","10/01/2012","09/30/2013"
"OR","Major small and large bowel procedures w/o CC/MCC","198","","10/01/2012","09/30/2013"
"PA","Major small and large bowel procedures w/o CC/MCC","1015","","10/01/2012","09/30/2013"
"PR","Major small and large bowel procedures w/o CC/MCC","144","","10/01/2012","09/30/2013"
"RI","Major small and large bowel procedures w/o CC/MCC","72","","10/01/2012","09/30/2013"
"SC","Major small and large bowel procedures w/o CC/MCC","505","","10/01/2012","09/30/2013"
"SD","Major small and large bowel procedures w/o CC/MCC","88","","10/01/2012","09/30/2013"
"TN","Major small and large bowel procedures w/o CC/MCC","675","","10/01/2012","09/30/2013"
"TX","Major small and large bowel procedures w/o CC/MCC","1791","","10/01/2012","09/30/2013"
"UT","Major small and large bowel procedures w/o CC/MCC","146","","10/01/2012","09/30/2013"
"VA","Major small and large bowel procedures w/o CC/MCC","823","","10/01/2012","09/30/2013"
"VI","Major small and large bowel procedures w/o CC/MCC","21","","10/01/2012","09/30/2013"
"VT","Major small and large bowel procedures w/o CC/MCC","54","","10/01/2012","09/30/2013"
"WA","Major small and large bowel procedures w/o CC/MCC","442","","10/01/2012","09/30/2013"
"WI","Major small and large bowel procedures w/o CC/MCC","377","","10/01/2012","09/30/2013"
"WV","Major small and large bowel procedures w/o CC/MCC","182","","10/01/2012","09/30/2013"
"WY","Major small and large bowel procedures w/o CC/MCC","49","","10/01/2012","09/30/2013"
"AK","Major small and large bowel procedures w CC","92","","10/01/2012","09/30/2013"
"AL","Major small and large bowel procedures w CC","1175","","10/01/2012","09/30/2013"
"AR","Major small and large bowel procedures w CC","735","","10/01/2012","09/30/2013"
"AZ","Major small and large bowel procedures w CC","1052","","10/01/2012","09/30/2013"
"CA","Major small and large bowel procedures w CC","3928","","10/01/2012","09/30/2013"
"CO","Major small and large bowel procedures w CC","739","","10/01/2012","09/30/2013"
"CT","Major small and large bowel procedures w CC","686","","10/01/2012","09/30/2013"
"DC","Major small and large bowel procedures w CC","183","","10/01/2012","09/30/2013"
"DE","Major small and large bowel procedures w CC","242","","10/01/2012","09/30/2013"
"FL","Major small and large bowel procedures w CC","4083","","10/01/2012","09/30/2013"
"GA","Major small and large bowel procedures w CC","1595","","10/01/2012","09/30/2013"
"GU","Major small and large bowel procedures w CC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"HI","Major small and large bowel procedures w CC","117","","10/01/2012","09/30/2013"
"IA","Major small and large bowel procedures w CC","631","","10/01/2012","09/30/2013"
"ID","Major small and large bowel procedures w CC","215","","10/01/2012","09/30/2013"
"IL","Major small and large bowel procedures w CC","2595","","10/01/2012","09/30/2013"
"IN","Major small and large bowel procedures w CC","1326","","10/01/2012","09/30/2013"
"KS","Major small and large bowel procedures w CC","688","","10/01/2012","09/30/2013"
"KY","Major small and large bowel procedures w CC","1113","","10/01/2012","09/30/2013"
"LA","Major small and large bowel procedures w CC","883","","10/01/2012","09/30/2013"
"MA","Major small and large bowel procedures w CC","1433","","10/01/2012","09/30/2013"
"MD","Major small and large bowel procedures w CC","1143","","10/01/2012","09/30/2013"
"ME","Major small and large bowel procedures w CC","329","","10/01/2012","09/30/2013"
"MI","Major small and large bowel procedures w CC","1907","","10/01/2012","09/30/2013"
"MN","Major small and large bowel procedures w CC","1129","","10/01/2012","09/30/2013"
"MO","Major small and large bowel procedures w CC","1498","","10/01/2012","09/30/2013"
"MS","Major small and large bowel procedures w CC","763","","10/01/2012","09/30/2013"
"MT","Major small and large bowel procedures w CC","206","","10/01/2012","09/30/2013"
"NC","Major small and large bowel procedures w CC","1796","","10/01/2012","09/30/2013"
"ND","Major small and large bowel procedures w CC","202","","10/01/2012","09/30/2013"
"NE","Major small and large bowel procedures w CC","469","","10/01/2012","09/30/2013"
"NH","Major small and large bowel procedures w CC","281","","10/01/2012","09/30/2013"
"NJ","Major small and large bowel procedures w CC","1780","","10/01/2012","09/30/2013"
"NM","Major small and large bowel procedures w CC","247","","10/01/2012","09/30/2013"
"NV","Major small and large bowel procedures w CC","332","","10/01/2012","09/30/2013"
"NY","Major small and large bowel procedures w CC","2988","","10/01/2012","09/30/2013"
"OH","Major small and large bowel procedures w CC","2070","","10/01/2012","09/30/2013"
"OK","Major small and large bowel procedures w CC","826","","10/01/2012","09/30/2013"
"OR","Major small and large bowel procedures w CC","529","","10/01/2012","09/30/2013"
"PA","Major small and large bowel procedures w CC","2437","","10/01/2012","09/30/2013"
"PR","Major small and large bowel procedures w CC","166","","10/01/2012","09/30/2013"
"RI","Major small and large bowel procedures w CC","222","","10/01/2012","09/30/2013"
"SC","Major small and large bowel procedures w CC","1062","","10/01/2012","09/30/2013"
"SD","Major small and large bowel procedures w CC","282","","10/01/2012","09/30/2013"
"TN","Major small and large bowel procedures w CC","1334","","10/01/2012","09/30/2013"
"TX","Major small and large bowel procedures w CC","3992","","10/01/2012","09/30/2013"
"UT","Major small and large bowel procedures w CC","328","","10/01/2012","09/30/2013"
"VA","Major small and large bowel procedures w CC","1372","","10/01/2012","09/30/2013"
"VI","Major small and large bowel procedures w CC","12","","10/01/2012","09/30/2013"
"VT","Major small and large bowel procedures w CC","105","","10/01/2012","09/30/2013"
"WA","Major small and large bowel procedures w CC","1059","","10/01/2012","09/30/2013"
"WI","Major small and large bowel procedures w CC","1144","","10/01/2012","09/30/2013"
"WV","Major small and large bowel procedures w CC","427","","10/01/2012","09/30/2013"
"WY","Major small and large bowel procedures w CC","77","","10/01/2012","09/30/2013"
"AK","Major small and large bowel procedures w MCC","60","","10/01/2012","09/30/2013"
"AL","Major small and large bowel procedures w MCC","881","","10/01/2012","09/30/2013"
"AR","Major small and large bowel procedures w MCC","500","","10/01/2012","09/30/2013"
"AS","Major small and large bowel procedures w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AZ","Major small and large bowel procedures w MCC","724","","10/01/2012","09/30/2013"
"CA","Major small and large bowel procedures w MCC","2960","","10/01/2012","09/30/2013"
"CO","Major small and large bowel procedures w MCC","545","","10/01/2012","09/30/2013"
"CT","Major small and large bowel procedures w MCC","531","","10/01/2012","09/30/2013"
"DC","Major small and large bowel procedures w MCC","147","","10/01/2012","09/30/2013"
"DE","Major small and large bowel procedures w MCC","169","","10/01/2012","09/30/2013"
"FL","Major small and large bowel procedures w MCC","3124","","10/01/2012","09/30/2013"
"GA","Major small and large bowel procedures w MCC","1152","","10/01/2012","09/30/2013"
"GU","Major small and large bowel procedures w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"HI","Major small and large bowel procedures w MCC","92","","10/01/2012","09/30/2013"
"IA","Major small and large bowel procedures w MCC","503","","10/01/2012","09/30/2013"
"ID","Major small and large bowel procedures w MCC","148","","10/01/2012","09/30/2013"
"IL","Major small and large bowel procedures w MCC","1983","","10/01/2012","09/30/2013"
"IN","Major small and large bowel procedures w MCC","1103","","10/01/2012","09/30/2013"
"KS","Major small and large bowel procedures w MCC","439","","10/01/2012","09/30/2013"
"KY","Major small and large bowel procedures w MCC","842","","10/01/2012","09/30/2013"
"LA","Major small and large bowel procedures w MCC","698","","10/01/2012","09/30/2013"
"MA","Major small and large bowel procedures w MCC","1027","","10/01/2012","09/30/2013"
"MD","Major small and large bowel procedures w MCC","826","","10/01/2012","09/30/2013"
"ME","Major small and large bowel procedures w MCC","200","","10/01/2012","09/30/2013"
"MI","Major small and large bowel procedures w MCC","1667","","10/01/2012","09/30/2013"
"MN","Major small and large bowel procedures w MCC","667","","10/01/2012","09/30/2013"
"MO","Major small and large bowel procedures w MCC","1040","","10/01/2012","09/30/2013"
"MS","Major small and large bowel procedures w MCC","567","","10/01/2012","09/30/2013"
"MT","Major small and large bowel procedures w MCC","135","","10/01/2012","09/30/2013"
"NC","Major small and large bowel procedures w MCC","1424","","10/01/2012","09/30/2013"
"ND","Major small and large bowel procedures w MCC","143","","10/01/2012","09/30/2013"
"NE","Major small and large bowel procedures w MCC","342","","10/01/2012","09/30/2013"
"NH","Major small and large bowel procedures w MCC","211","","10/01/2012","09/30/2013"
"NJ","Major small and large bowel procedures w MCC","1477","","10/01/2012","09/30/2013"
"NM","Major small and large bowel procedures w MCC","184","","10/01/2012","09/30/2013"
"NV","Major small and large bowel procedures w MCC","313","","10/01/2012","09/30/2013"
"NY","Major small and large bowel procedures w MCC","2225","","10/01/2012","09/30/2013"
"OH","Major small and large bowel procedures w MCC","1854","","10/01/2012","09/30/2013"
"OK","Major small and large bowel procedures w MCC","622","","10/01/2012","09/30/2013"
"OR","Major small and large bowel procedures w MCC","342","","10/01/2012","09/30/2013"
"PA","Major small and large bowel procedures w MCC","1929","","10/01/2012","09/30/2013"
"PR","Major small and large bowel procedures w MCC","121","","10/01/2012","09/30/2013"
"RI","Major small and large bowel procedures w MCC","138","","10/01/2012","09/30/2013"
"SC","Major small and large bowel procedures w MCC","699","","10/01/2012","09/30/2013"
"SD","Major small and large bowel procedures w MCC","173","","10/01/2012","09/30/2013"
"TN","Major small and large bowel procedures w MCC","1034","","10/01/2012","09/30/2013"
"TX","Major small and large bowel procedures w MCC","3089","","10/01/2012","09/30/2013"
"UT","Major small and large bowel procedures w MCC","199","","10/01/2012","09/30/2013"
"VA","Major small and large bowel procedures w MCC","1105","","10/01/2012","09/30/2013"
"VI","Major small and large bowel procedures w MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Major small and large bowel procedures w MCC","70","","10/01/2012","09/30/2013"
"WA","Major small and large bowel procedures w MCC","764","","10/01/2012","09/30/2013"
"WI","Major small and large bowel procedures w MCC","729","","10/01/2012","09/30/2013"
"WV","Major small and large bowel procedures w MCC","357","","10/01/2012","09/30/2013"
"WY","Major small and large bowel procedures w MCC","56","","10/01/2012","09/30/2013"
"AK","Stomach, esophageal duodenal proc w/o CC/MCC","17","","10/01/2012","09/30/2013"
"AL","Stomach, esophageal duodenal proc w/o CC/MCC","227","","10/01/2012","09/30/2013"
"AR","Stomach, esophageal duodenal proc w/o CC/MCC","173","","10/01/2012","09/30/2013"
"AZ","Stomach, esophageal duodenal proc w/o CC/MCC","184","","10/01/2012","09/30/2013"
"CA","Stomach, esophageal duodenal proc w/o CC/MCC","679","","10/01/2012","09/30/2013"
"CO","Stomach, esophageal duodenal proc w/o CC/MCC","156","","10/01/2012","09/30/2013"
"CT","Stomach, esophageal duodenal proc w/o CC/MCC","140","","10/01/2012","09/30/2013"
"DC","Stomach, esophageal duodenal proc w/o CC/MCC","40","","10/01/2012","09/30/2013"
"DE","Stomach, esophageal duodenal proc w/o CC/MCC","42","","10/01/2012","09/30/2013"
"FL","Stomach, esophageal duodenal proc w/o CC/MCC","654","","10/01/2012","09/30/2013"
"GA","Stomach, esophageal duodenal proc w/o CC/MCC","293","","10/01/2012","09/30/2013"
"HI","Stomach, esophageal duodenal proc w/o CC/MCC","16","","10/01/2012","09/30/2013"
"IA","Stomach, esophageal duodenal proc w/o CC/MCC","70","","10/01/2012","09/30/2013"
"ID","Stomach, esophageal duodenal proc w/o CC/MCC","60","","10/01/2012","09/30/2013"
"IL","Stomach, esophageal duodenal proc w/o CC/MCC","407","","10/01/2012","09/30/2013"
"IN","Stomach, esophageal duodenal proc w/o CC/MCC","266","","10/01/2012","09/30/2013"
"KS","Stomach, esophageal duodenal proc w/o CC/MCC","75","","10/01/2012","09/30/2013"
"KY","Stomach, esophageal duodenal proc w/o CC/MCC","204","","10/01/2012","09/30/2013"
"LA","Stomach, esophageal duodenal proc w/o CC/MCC","176","","10/01/2012","09/30/2013"
"MA","Stomach, esophageal duodenal proc w/o CC/MCC","244","","10/01/2012","09/30/2013"
"MD","Stomach, esophageal duodenal proc w/o CC/MCC","140","","10/01/2012","09/30/2013"
"ME","Stomach, esophageal duodenal proc w/o CC/MCC","48","","10/01/2012","09/30/2013"
"MI","Stomach, esophageal duodenal proc w/o CC/MCC","387","","10/01/2012","09/30/2013"
"MN","Stomach, esophageal duodenal proc w/o CC/MCC","209","","10/01/2012","09/30/2013"
"MO","Stomach, esophageal duodenal proc w/o CC/MCC","211","","10/01/2012","09/30/2013"
"MS","Stomach, esophageal duodenal proc w/o CC/MCC","161","","10/01/2012","09/30/2013"
"MT","Stomach, esophageal duodenal proc w/o CC/MCC","42","","10/01/2012","09/30/2013"
"NC","Stomach, esophageal duodenal proc w/o CC/MCC","376","","10/01/2012","09/30/2013"
"ND","Stomach, esophageal duodenal proc w/o CC/MCC","23","","10/01/2012","09/30/2013"
"NE","Stomach, esophageal duodenal proc w/o CC/MCC","87","","10/01/2012","09/30/2013"
"NH","Stomach, esophageal duodenal proc w/o CC/MCC","35","","10/01/2012","09/30/2013"
"NJ","Stomach, esophageal duodenal proc w/o CC/MCC","182","","10/01/2012","09/30/2013"
"NM","Stomach, esophageal duodenal proc w/o CC/MCC","52","","10/01/2012","09/30/2013"
"NV","Stomach, esophageal duodenal proc w/o CC/MCC","55","","10/01/2012","09/30/2013"
"NY","Stomach, esophageal duodenal proc w/o CC/MCC","545","","10/01/2012","09/30/2013"
"OH","Stomach, esophageal duodenal proc w/o CC/MCC","314","","10/01/2012","09/30/2013"
"OK","Stomach, esophageal duodenal proc w/o CC/MCC","154","","10/01/2012","09/30/2013"
"OR","Stomach, esophageal duodenal proc w/o CC/MCC","178","","10/01/2012","09/30/2013"
"PA","Stomach, esophageal duodenal proc w/o CC/MCC","431","","10/01/2012","09/30/2013"
"PR","Stomach, esophageal duodenal proc w/o CC/MCC","14","","10/01/2012","09/30/2013"
"RI","Stomach, esophageal duodenal proc w/o CC/MCC","23","","10/01/2012","09/30/2013"
"SC","Stomach, esophageal duodenal proc w/o CC/MCC","199","","10/01/2012","09/30/2013"
"SD","Stomach, esophageal duodenal proc w/o CC/MCC","39","","10/01/2012","09/30/2013"
"TN","Stomach, esophageal duodenal proc w/o CC/MCC","255","","10/01/2012","09/30/2013"
"TX","Stomach, esophageal duodenal proc w/o CC/MCC","807","","10/01/2012","09/30/2013"
"UT","Stomach, esophageal duodenal proc w/o CC/MCC","65","","10/01/2012","09/30/2013"
"VA","Stomach, esophageal duodenal proc w/o CC/MCC","282","","10/01/2012","09/30/2013"
"VI","Stomach, esophageal duodenal proc w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"VT","Stomach, esophageal duodenal proc w/o CC/MCC","21","","10/01/2012","09/30/2013"
"WA","Stomach, esophageal duodenal proc w/o CC/MCC","228","","10/01/2012","09/30/2013"
"WI","Stomach, esophageal duodenal proc w/o CC/MCC","181","","10/01/2012","09/30/2013"
"WV","Stomach, esophageal duodenal proc w/o CC/MCC","87","","10/01/2012","09/30/2013"
"WY","Stomach, esophageal duodenal proc w/o CC/MCC","18","","10/01/2012","09/30/2013"
"AK","Cervical spinal fusion w/o CC/MCC","78","","10/01/2012","09/30/2013"
"AL","Cervical spinal fusion w/o CC/MCC","1067","","10/01/2012","09/30/2013"
"AR","Cervical spinal fusion w/o CC/MCC","432","","10/01/2012","09/30/2013"
"AZ","Cervical spinal fusion w/o CC/MCC","440","","10/01/2012","09/30/2013"
"CA","Cervical spinal fusion w/o CC/MCC","1748","","10/01/2012","09/30/2013"
"CO","Cervical spinal fusion w/o CC/MCC","391","","10/01/2012","09/30/2013"
"CT","Cervical spinal fusion w/o CC/MCC","267","","10/01/2012","09/30/2013"
"DC","Cervical spinal fusion w/o CC/MCC","129","","10/01/2012","09/30/2013"
"DE","Cervical spinal fusion w/o CC/MCC","77","","10/01/2012","09/30/2013"
"FL","Cervical spinal fusion w/o CC/MCC","2336","","10/01/2012","09/30/2013"
"GA","Cervical spinal fusion w/o CC/MCC","1355","","10/01/2012","09/30/2013"
"HI","Cervical spinal fusion w/o CC/MCC","29","","10/01/2012","09/30/2013"
"IA","Cervical spinal fusion w/o CC/MCC","228","","10/01/2012","09/30/2013"
"ID","Cervical spinal fusion w/o CC/MCC","189","","10/01/2012","09/30/2013"
"IL","Cervical spinal fusion w/o CC/MCC","829","","10/01/2012","09/30/2013"
"IN","Cervical spinal fusion w/o CC/MCC","679","","10/01/2012","09/30/2013"
"KS","Cervical spinal fusion w/o CC/MCC","294","","10/01/2012","09/30/2013"
"KY","Cervical spinal fusion w/o CC/MCC","599","","10/01/2012","09/30/2013"
"LA","Cervical spinal fusion w/o CC/MCC","611","","10/01/2012","09/30/2013"
"MA","Cervical spinal fusion w/o CC/MCC","431","","10/01/2012","09/30/2013"
"MD","Cervical spinal fusion w/o CC/MCC","495","","10/01/2012","09/30/2013"
"ME","Cervical spinal fusion w/o CC/MCC","125","","10/01/2012","09/30/2013"
"MI","Cervical spinal fusion w/o CC/MCC","1038","","10/01/2012","09/30/2013"
"MN","Cervical spinal fusion w/o CC/MCC","342","","10/01/2012","09/30/2013"
"MO","Cervical spinal fusion w/o CC/MCC","806","","10/01/2012","09/30/2013"
"MS","Cervical spinal fusion w/o CC/MCC","443","","10/01/2012","09/30/2013"
"MT","Cervical spinal fusion w/o CC/MCC","142","","10/01/2012","09/30/2013"
"NC","Cervical spinal fusion w/o CC/MCC","1375","","10/01/2012","09/30/2013"
"ND","Cervical spinal fusion w/o CC/MCC","71","","10/01/2012","09/30/2013"
"NE","Cervical spinal fusion w/o CC/MCC","205","","10/01/2012","09/30/2013"
"NH","Cervical spinal fusion w/o CC/MCC","111","","10/01/2012","09/30/2013"
"NJ","Cervical spinal fusion w/o CC/MCC","322","","10/01/2012","09/30/2013"
"NM","Cervical spinal fusion w/o CC/MCC","89","","10/01/2012","09/30/2013"
"NV","Cervical spinal fusion w/o CC/MCC","384","","10/01/2012","09/30/2013"
"NY","Cervical spinal fusion w/o CC/MCC","941","","10/01/2012","09/30/2013"
"OH","Cervical spinal fusion w/o CC/MCC","1035","","10/01/2012","09/30/2013"
"OK","Cervical spinal fusion w/o CC/MCC","613","","10/01/2012","09/30/2013"
