"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"MP","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",
"MP","How often did doctors communicate well with patients?","Doctors always communicated well",
"MP","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",
"MP","How often did doctors communicate well with patients?","Doctors usually communicated well",
"MP","How often did nurses communicate well with patients?","Nurses always communicated well",
"MP","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",
"MP","How often did nurses communicate well with patients?","Nurses usually communicated well",
"MP","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",
"MP","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",
"MP","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",
"MP","How often did staff explain about medicines before giving them to patients?","Staff always explained",
"MP","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",
"MP","How often did staff explain about medicines before giving them to patients?","Staff usually explained",
"MP","How often was patients&#39; pain well controlled?","Pain was always well controlled",
"MP","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",
"MP","How often was patients&#39; pain well controlled?","Pain was usually well controlled",
"MP","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",
"MP","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",
"MP","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",
"MP","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",
"MP","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",
"MP","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",
"MP","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",
"MP","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",
"MP","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",
"MP","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",
"MP","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",
"MS","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"MS","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"MS","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",64
"MS","How often did doctors communicate well with patients?","Doctors always communicated well",83
"MS","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"MS","How often did doctors communicate well with patients?","Doctors usually communicated well",13
"MS","How often did nurses communicate well with patients?","Nurses always communicated well",76
"MS","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"MS","How often did nurses communicate well with patients?","Nurses usually communicated well",17
"MS","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",62
"MS","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",14
"MS","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"MS","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"MS","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"MS","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"MS","How often was patients&#39; pain well controlled?","Pain was always well controlled",70
"MS","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"MS","How often was patients&#39; pain well controlled?","Pain was usually well controlled",21
"MS","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",68
"MS","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",8
"MS","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",24
"MS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",69
"MS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",12
"MS","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"MS","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",24
"MS","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",76
"MS","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",7
"MS","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",66
"MS","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",27
"MT","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"MT","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"MT","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",62
"MT","How often did doctors communicate well with patients?","Doctors always communicated well",79
"MT","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"MT","How often did doctors communicate well with patients?","Doctors usually communicated well",16
"MT","How often did nurses communicate well with patients?","Nurses always communicated well",74
"MT","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"MT","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"MT","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",66
"MT","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",9
"MT","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"MT","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"MT","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"MT","How often did staff explain about medicines before giving them to patients?","Staff usually explained",22
"MT","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"MT","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"MT","How often was patients&#39; pain well controlled?","Pain was usually well controlled",26
"MT","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",56
"MT","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",11
"MT","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"MT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"MT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",10
"MT","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"MT","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",22
"MT","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",78
"MT","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"MT","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"MT","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",30
"NC","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"NC","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",23
"NC","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",68
"NC","How often did doctors communicate well with patients?","Doctors always communicated well",83
"NC","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"NC","How often did doctors communicate well with patients?","Doctors usually communicated well",13
"NC","How often did nurses communicate well with patients?","Nurses always communicated well",78
"NC","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"NC","How often did nurses communicate well with patients?","Nurses usually communicated well",17
"NC","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",67
"NC","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",10
"NC","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",23
"NC","How often did staff explain about medicines before giving them to patients?","Staff always explained",63
"NC","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"NC","How often did staff explain about medicines before giving them to patients?","Staff usually explained",16
"NC","How often was patients&#39; pain well controlled?","Pain was always well controlled",71
"NC","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",7
"NC","How often was patients&#39; pain well controlled?","Pain was usually well controlled",22
"NC","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",61
"NC","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",10
"NC","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",29
"NC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",70
"NC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",11
"NC","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"NC","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"NC","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"NC","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"NC","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",72
"NC","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",23
"ND","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"ND","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"ND","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",64
"ND","How often did doctors communicate well with patients?","Doctors always communicated well",77
"ND","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"ND","How often did doctors communicate well with patients?","Doctors usually communicated well",18
"ND","How often did nurses communicate well with patients?","Nurses always communicated well",74
"ND","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"ND","How often did nurses communicate well with patients?","Nurses usually communicated well",22
"ND","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",64
"ND","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",8
"ND","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"ND","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"ND","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
"ND","How often did staff explain about medicines before giving them to patients?","Staff usually explained",22
"ND","How often was patients&#39; pain well controlled?","Pain was always well controlled",66
"ND","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"ND","How often was patients&#39; pain well controlled?","Pain was usually well controlled",28
"ND","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",56
"ND","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"ND","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",32
"ND","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",73
"ND","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",9
"ND","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"ND","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",19
"ND","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",81
"ND","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"ND","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",68
"ND","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",27
"NE","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"NE","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"NE","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",69
"NE","How often did doctors communicate well with patients?","Doctors always communicated well",82
"NE","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",3
"NE","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"NE","How often did nurses communicate well with patients?","Nurses always communicated well",77
"NE","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"NE","How often did nurses communicate well with patients?","Nurses usually communicated well",19
"NE","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",68
"NE","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",7
"NE","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"NE","How often did staff explain about medicines before giving them to patients?","Staff always explained",60
"NE","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"NE","How often did staff explain about medicines before giving them to patients?","Staff usually explained",21
"NE","How often was patients&#39; pain well controlled?","Pain was always well controlled",69
"NE","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"NE","How often was patients&#39; pain well controlled?","Pain was usually well controlled",25
"NE","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",58
"NE","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",11
"NE","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",31
"NE","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",75
"NE","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",7
"NE","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"NE","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",18
"NE","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",82
"NE","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"NE","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",72
"NE","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",24
"NH","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"NH","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",24
"NH","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",69
"NH","How often did doctors communicate well with patients?","Doctors always communicated well",81
"NH","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"NH","How often did doctors communicate well with patients?","Doctors usually communicated well",15
"NH","How often did nurses communicate well with patients?","Nurses always communicated well",79
"NH","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"NH","How often did nurses communicate well with patients?","Nurses usually communicated well",17
"NH","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",68
"NH","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",8
"NH","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"NH","How often did staff explain about medicines before giving them to patients?","Staff always explained",64
"NH","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",18
"NH","How often did staff explain about medicines before giving them to patients?","Staff usually explained",18
"NH","How often was patients&#39; pain well controlled?","Pain was always well controlled",72
"NH","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"NH","How often was patients&#39; pain well controlled?","Pain was usually well controlled",22
"NH","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",54
"NH","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",13
"NH","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"NH","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",74
"NH","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",7
"NH","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",19
"NH","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",14
"NH","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",86
"NH","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4
"NH","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",75
"NH","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",21
"NJ","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",14
"NJ","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",29
"NJ","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",57
"NJ","How often did doctors communicate well with patients?","Doctors always communicated well",76
"NJ","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",6
"NJ","How often did doctors communicate well with patients?","Doctors usually communicated well",18
"NJ","How often did nurses communicate well with patients?","Nurses always communicated well",71
"NJ","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",8
"NJ","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"NJ","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",56
"NJ","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",17
"NJ","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",27
"NJ","How often did staff explain about medicines before giving them to patients?","Staff always explained",54
"NJ","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",27
"NJ","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"NJ","How often was patients&#39; pain well controlled?","Pain was always well controlled",66
"NJ","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",10
"NJ","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"NJ","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",49
"NJ","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",18
"NJ","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"NJ","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",66
"NJ","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",11
"NJ","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",23
"NJ","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",24
"NJ","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",76
"NJ","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",8
"NJ","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",62
"NJ","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",30
"NM","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",14
"NM","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"NM","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",59
"NM","How often did doctors communicate well with patients?","Doctors always communicated well",77
"NM","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",6
"NM","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"NM","How often did nurses communicate well with patients?","Nurses always communicated well",71
"NM","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",7
"NM","How often did nurses communicate well with patients?","Nurses usually communicated well",22
"NM","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",62
"NM","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",13
"NM","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",25
"NM","How often did staff explain about medicines before giving them to patients?","Staff always explained",57
"NM","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",23
"NM","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"NM","How often was patients&#39; pain well controlled?","Pain was always well controlled",67
"NM","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",9
"NM","How often was patients&#39; pain well controlled?","Pain was usually well controlled",24
"NM","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",56
"NM","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",13
"NM","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",31
"NM","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",68
"NM","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",12
"NM","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",20
"NM","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",23
"NM","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",77
"NM","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",8
"NM","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",60
"NM","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",32
"NV","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",18
"NV","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",27
"NV","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",55
"NV","How often did doctors communicate well with patients?","Doctors always communicated well",68
"NV","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",10
"NV","How often did doctors communicate well with patients?","Doctors usually communicated well",22
"NV","How often did nurses communicate well with patients?","Nurses always communicated well",62
"NV","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",12
"NV","How often did nurses communicate well with patients?","Nurses usually communicated well",26
"NV","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",51
"NV","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",20
"NV","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",29
"NV","How often did staff explain about medicines before giving them to patients?","Staff always explained",50
"NV","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",31
"NV","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"NV","How often was patients&#39; pain well controlled?","Pain was always well controlled",60
"NV","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",11
"NV","How often was patients&#39; pain well controlled?","Pain was usually well controlled",29
"NV","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",49
"NV","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",18
"NV","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"NV","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",61
"NV","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",16
"NV","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",23
"NV","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",25
"NV","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",75
"NV","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",12
"NV","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",60
"NV","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",28
"NY","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",14
"NY","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",30
"NY","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",56
"NY","How often did doctors communicate well with patients?","Doctors always communicated well",77
"NY","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",6
"NY","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"NY","How often did nurses communicate well with patients?","Nurses always communicated well",70
"NY","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",8
"NY","How often did nurses communicate well with patients?","Nurses usually communicated well",22
"NY","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",55
"NY","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",17
"NY","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"NY","How often did staff explain about medicines before giving them to patients?","Staff always explained",55
"NY","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",26
"NY","How often did staff explain about medicines before giving them to patients?","Staff usually explained",19
"NY","How often was patients&#39; pain well controlled?","Pain was always well controlled",64
"NY","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",10
"NY","How often was patients&#39; pain well controlled?","Pain was usually well controlled",26
"NY","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",46
"NY","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",20
"NY","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",34
"NY","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",65
"NY","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",12
"NY","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",23
"NY","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",22
"NY","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",78
"NY","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",8
"NY","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",61
"NY","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",31
"OH","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",10
"OH","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"OH","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",64
"OH","How often did doctors communicate well with patients?","Doctors always communicated well",78
"OH","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"OH","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"OH","How often did nurses communicate well with patients?","Nurses always communicated well",74
"OH","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"OH","How often did nurses communicate well with patients?","Nurses usually communicated well",21
"OH","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",63
"OH","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",11
"OK","How often did nurses communicate well with patients?","Nurses always communicated well",78
"OK","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"OK","How often did nurses communicate well with patients?","Nurses usually communicated well",18
"OK","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",67
"OK","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",9
"OK","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",24
"OK","How often did staff explain about medicines before giving them to patients?","Staff always explained",64
"OK","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"OK","How often did staff explain about medicines before giving them to patients?","Staff usually explained",17
"OK","How often was patients&#39; pain well controlled?","Pain was always well controlled",74
"OK","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",6
"OK","How often was patients&#39; pain well controlled?","Pain was usually well controlled",20
"OK","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",65
"OK","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",8
"OK","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",27
"OK","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",74
"OK","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",8
"OK","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",18
"OK","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",18
"OK","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",82
"OK","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"OK","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",72
"OK","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",23
"OR","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",9
"OR","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",26
"OR","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",65
"OR","How often did doctors communicate well with patients?","Doctors always communicated well",79
"OR","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",4
"OR","How often did doctors communicate well with patients?","Doctors usually communicated well",17
"OR","How often did nurses communicate well with patients?","Nurses always communicated well",73
"OR","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"OR","How often did nurses communicate well with patients?","Nurses usually communicated well",22
"OR","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",63
"OR","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",9
"OR","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",28
"OR","How often did staff explain about medicines before giving them to patients?","Staff always explained",59
"OR","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",21
