"Provider Number","Hospital Name","Condition","Measure Name","Category","Mortality Rate","Lower Mortality Estimate","Upper Mortality Estimate","Number of Patients","Footnote"
"330014","JAMAICA HOSPITAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12,8.7,16,95,
"330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.2,12.5,20.8,61,
"330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",8.6,6.2,11.8,171,
"330019","NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.9,8.8,15.5,110,
"330023","VASSAR BROTHERS MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.8,12.7,19.4,208,
"330023","VASSAR BROTHERS MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,8.4,13.2,380,
"330023","VASSAR BROTHERS MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.6,10,15.6,340,
"330024","MOUNT SINAI HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14,11,17.6,145,
"330024","MOUNT SINAI HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",7.9,6,10.1,384,
"330024","MOUNT SINAI HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.9,8.9,13.3,429,
"330025","INTER-COMMUNITY MEMORIAL HOSPITAL AT NEWFANE, INC.","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.6,20.6,26,
"330025","INTER-COMMUNITY MEMORIAL HOSPITAL AT NEWFANE, INC.","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.1,9,18.9,30,
"330025","INTER-COMMUNITY MEMORIAL HOSPITAL AT NEWFANE, INC.","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.3,9.3,18.6,73,
"330027","NASSAU UNIVERSITY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",19.2,15.4,23.4,115,
"330027","NASSAU UNIVERSITY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.2,7.8,15.5,66,
"330027","NASSAU UNIVERSITY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.9,7,14.1,77,
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.2,13.3,22,66,
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12,8.4,16.7,75,
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.1,9,15.8,104,
"330029","SHEEHAN MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"330029","SHEEHAN MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure",,,,,,"5         "
"330029","SHEEHAN MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia",,,,,,"5         "
"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12.1,20.7,24,
"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12,8.3,16.7,40,
"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.4,8.9,17.2,67,
"330033","CHENANGO MEMORIAL HOSPITAL, INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.1,13,22.1,30,
"330033","CHENANGO MEMORIAL HOSPITAL, INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.8,9.2,17.8,66,
"330033","CHENANGO MEMORIAL HOSPITAL, INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.7,9.6,19.3,63,
"330036","COMMUNITY HOSPITAL AT DOBBS FERRY","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.6,12,19.9,12,
"330036","COMMUNITY HOSPITAL AT DOBBS FERRY","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.2,15.1,37,
"330036","COMMUNITY HOSPITAL AT DOBBS FERRY","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.3,8.6,17.7,50,
"330037","LAKESIDE MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.6,12.5,21.4,19,
"330037","LAKESIDE MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,8.1,17.1,41,
"330037","LAKESIDE MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.3,9.3,18.9,68,
"330041","PARKWAY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,13.2,19.6,21,
"330041","PARKWAY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.3,6.9,12.3,91,
"330041","PARKWAY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12,9.5,15.1,112,
"330043","SOUTHSIDE HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.3,11.9,19.4,83,
"330043","SOUTHSIDE HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.5,7.6,14.4,138,
"330043","SOUTHSIDE HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.5,9.3,16.6,169,
"330044","FAXTON-ST LUKE'S HEALTHCARE","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",18.2,14.5,22.5,99,
"330044","FAXTON-ST LUKE'S HEALTHCARE","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,8.2,13.6,253,
"330044","FAXTON-ST LUKE'S HEALTHCARE","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.1,6.9,11.9,282,
"330045","HUNTINGTON HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.1,11.7,19.1,88,
"330045","HUNTINGTON HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,8,12.9,296,
"330045","HUNTINGTON HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10,7.9,12.4,325,
"330046","ST LUKE'S ROOSEVELT HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",12.5,9.7,16,160,
"330046","ST LUKE'S ROOSEVELT HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",7.5,5.5,10,247,
"330046","ST LUKE'S ROOSEVELT HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.1,8.5,14.6,210,
"330047","ST MARY'S HOSPITAL AT AMSTERDAM","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.6,13.9,21.6,89,
"330047","ST MARY'S HOSPITAL AT AMSTERDAM","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.1,10,16.9,171,
"330047","ST MARY'S HOSPITAL AT AMSTERDAM","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,8,15.5,102,
"330049","NORTHERN DUTCHESS HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.9,12.7,22.2,32,
"330049","NORTHERN DUTCHESS HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.8,7.6,14.9,43,
"330049","NORTHERN DUTCHESS HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.6,7.1,15.7,45,
"330053","MEDINA MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.2,11.2,20.1,21,
"330053","MEDINA MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.1,7.7,16,36,
"330053","MEDINA MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.5,17.3,35,
"330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.4,11.5,18.1,171,
"330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",8.8,6.8,11.3,337,
"330055","NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,9.7,14.2,337,
"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.2,13.3,21.9,40,
"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.7,6.9,13.5,114,
"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.4,7.4,14.2,108,
"330057","ST PETER'S HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.7,12.7,19.4,215,
"330057","ST PETER'S HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.1,10.3,16.5,289,
"330057","ST PETER'S HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",14.9,12,18.4,332,
"330058","GENEVA GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.7,10.9,19.6,30,
"330058","GENEVA GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.2,8,15.6,80,
"330058","GENEVA GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.8,9,17.8,70,
"330059","MONTEFIORE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.2,11.3,17.4,201,
"330059","MONTEFIORE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.4,7.5,12,377,
"330059","MONTEFIORE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.5,10.9,16.5,315,
"330061","LAWRENCE HOSPITAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.9,20.6,70,
"330061","LAWRENCE HOSPITAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.1,6.5,12.5,134,
"330061","LAWRENCE HOSPITAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,8.4,14.8,164,
"330064","NEW YORK DOWNTOWN HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.5,20.1,17,
"330064","NEW YORK DOWNTOWN HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10,7.1,14,68,
"330064","NEW YORK DOWNTOWN HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.7,8.8,15.2,168,
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.3,22,40,
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.8,8.4,16.4,91,
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.3,8.2,17.8,51,
"330066","ST CLARE'S HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12.4,20.4,58,
"330066","ST CLARE'S HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.1,9,16.1,87,
"330066","ST CLARE'S HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.2,9.3,16,138,
"330067","ST FRANCIS HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.9,11,20,19,
"330067","ST FRANCIS HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12,8.4,16.7,62,
"330067","ST FRANCIS HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.7,7.4,15.1,83,
"330072","OUR LADY OF MERCY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.5,11.7,19.9,36,
"330072","OUR LADY OF MERCY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.1,7.3,13.6,87,
"330072","OUR LADY OF MERCY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.4,7.9,13.5,169,
"330073","UNITED MEMORIAL MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.7,12.6,21.3,27,
"330073","UNITED MEMORIAL MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.5,15,77,
"330073","UNITED MEMORIAL MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",15.1,11,20.3,93,
"330074","F F THOMPSON HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.8,11.1,18.8,31,
"330074","F F THOMPSON HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.9,7.5,15.3,43,
"330074","F F THOMPSON HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.7,10.8,19.8,101,
"330075","ALBERT LINDLEY LEE MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,11.8,21.3,20,
"330075","ALBERT LINDLEY LEE MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",12.9,9.3,17.3,94,
"330075","ALBERT LINDLEY LEE MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.6,7.3,15,123,
"330078","SISTERS OF CHARITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12,20.8,25,
"330078","SISTERS OF CHARITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.6,8.2,16,98,
"330078","SISTERS OF CHARITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.9,8.3,16.7,65,
"330079","ADIRONDACK MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16,12.1,20.9,18,
"330079","ADIRONDACK MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,7,14.5,35,
"330079","ADIRONDACK MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.7,17.1,27,
"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15,11.5,19.5,47,
"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.4,15,71,
"330080","LINCOLN MEDICAL & MENTAL HEALTH CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",13.6,9.6,18.8,50,
"330084","ALICE HYDE MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.3,12.4,21.1,17,
"330084","ALICE HYDE MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.3,15.3,48,
"330084","ALICE HYDE MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.6,6.4,14,66,
"330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.4,21.7,44,
"330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.6,14.3,99,
"330085","AURELIA OSBORN FOX MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.4,7.3,14.6,117,
"330086","MOUNT VERNON HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15,11.5,19.2,36,
"330086","MOUNT VERNON HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.4,8.2,15.8,77,
"330086","MOUNT VERNON HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.5,6.2,14.4,42,
"330088","EASTERN LONG ISLAND HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.9,12,21,17,
"330088","EASTERN LONG ISLAND HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.9,8.3,16.5,65,
"330088","EASTERN LONG ISLAND HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,7.3,16.5,43,
"330090","ARNOT OGDEN MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.3,13.5,21.6,125,
"330090","ARNOT OGDEN MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",13.1,9.8,17.3,158,
"330090","ARNOT OGDEN MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.7,7.9,14.5,195,
"330091","ST JOSEPH HOSPITAL OF CHEEKTOWAGA NEW YORK","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.4,11.7,19.5,39,
"330091","ST JOSEPH HOSPITAL OF CHEEKTOWAGA NEW YORK","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,7.6,14.1,125,
"330091","ST JOSEPH HOSPITAL OF CHEEKTOWAGA NEW YORK","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",14.5,10.5,19.4,86,
"330094","COLUMBIA MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.4,12.7,21,54,
"330094","COLUMBIA MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.7,7.8,14.4,147,
"330094","COLUMBIA MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",15.2,11.3,20,114,
"330096","JONES MEMORIAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.5,12.5,21.7,28,
"330096","JONES MEMORIAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",9.6,6.6,13.7,63,
"330096","JONES MEMORIAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11,7.5,15.9,61,
"330100","NY EYE AND EAR INFIRMARY","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack",,,,,,"5         "
"330100","NY EYE AND EAR INFIRMARY","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure",,,,,,"5         "
"330100","NY EYE AND EAR INFIRMARY","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia",,,,,,"5         "
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",12.6,10.4,15.1,388,
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",7.7,6.1,9.6,623,
"330101","NEW YORK-PRESBYTERIAN HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.7,7.9,11.9,560,
"330102","KENMORE MERCY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.3,13.4,22,49,
"330102","KENMORE MERCY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",16.4,12.7,20.8,148,
"330102","KENMORE MERCY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.5,7.9,16.4,72,
"330103","OLEAN GENERAL HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",17.5,13.5,22.1,54,
"330103","OLEAN GENERAL HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.3,8.4,14.9,187,
"330103","OLEAN GENERAL HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.2,8.1,15.4,137,
"330104","NYACK HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.6,12.2,19.6,72,
"330104","NYACK HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.6,9,15.1,167,
"330104","NYACK HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",9.6,7.1,12.8,236,
"330106","NORTH SHORE UNIVERSITY HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",15.7,12.6,19.2,213,
"330106","NORTH SHORE UNIVERSITY HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.3,8.1,12.8,389,
"330106","NORTH SHORE UNIVERSITY HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.8,9.7,14.1,504,
"330107","PECONIC BAY MEDICAL CENTER","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",18.3,13.9,23.5,60,
"330107","PECONIC BAY MEDICAL CENTER","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",11.5,8.2,15.6,108,
"330107","PECONIC BAY MEDICAL CENTER","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",11.9,8.5,16.4,103,
"330108","ST JOSEPH'S HOSPITAL, INC","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",14.4,10.6,18.6,40,
"330108","ST JOSEPH'S HOSPITAL, INC","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.6,7.3,14.9,59,
"330108","ST JOSEPH'S HOSPITAL, INC","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",10.8,7.8,14.3,155,
"330111","BERTRAND CHAFFEE HOSPITAL","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16.1,12.4,20.6,9,
"330111","BERTRAND CHAFFEE HOSPITAL","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",10.4,7.2,15.2,29,
"330111","BERTRAND CHAFFEE HOSPITAL","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",12.8,9,18.1,66,
