"State","MS-DRG ID","MS-DRG Name","Medicare Payment Range","Number Of Cases"
"CO","659","Kidney & ureter procedures for non-neoplasm w MCC","15494 - 17779","81"
"CT","659","Kidney & ureter procedures for non-neoplasm w MCC","18046 - 24456","63"
"DC","659","Kidney & ureter procedures for non-neoplasm w MCC","21403 - 21889","29"
"DE","659","Kidney & ureter procedures for non-neoplasm w MCC","17503 - 19249","23"
"FL","659","Kidney & ureter procedures for non-neoplasm w MCC","14924 - 19350","397"
"GA","659","Kidney & ureter procedures for non-neoplasm w MCC","15169 - 19776","133"
"HI","659","Kidney & ureter procedures for non-neoplasm w MCC","19113 - 22269","14"
"IA","659","Kidney & ureter procedures for non-neoplasm w MCC","15031 - 21393","44"
"ID","659","Kidney & ureter procedures for non-neoplasm w MCC","13843 - 16227","14"
"IL","659","Kidney & ureter procedures for non-neoplasm w MCC","15863 - 23515","229"
"IN","659","Kidney & ureter procedures for non-neoplasm w MCC","15244 - 21181","136"
"KS","659","Kidney & ureter procedures for non-neoplasm w MCC","14647 - 19661","52"
"KY","659","Kidney & ureter procedures for non-neoplasm w MCC","15838 - 17516","81"
"LA","659","Kidney & ureter procedures for non-neoplasm w MCC","15283 - 23338","116"
"MA","659","Kidney & ureter procedures for non-neoplasm w MCC","17058 - 23498","139"
"MD","659","Kidney & ureter procedures for non-neoplasm w MCC","14580 - 44574","122"
"ME","659","Kidney & ureter procedures for non-neoplasm w MCC","16761 - 18385","28"
"MI","659","Kidney & ureter procedures for non-neoplasm w MCC","16173 - 21269","213"
"MN","659","Kidney & ureter procedures for non-neoplasm w MCC","14159 - 21527","120"
"MO","659","Kidney & ureter procedures for non-neoplasm w MCC","14605 - 19681","117"
"MS","659","Kidney & ureter procedures for non-neoplasm w MCC","16004 - 22538","39"
"MT","659","Kidney & ureter procedures for non-neoplasm w MCC","14390 - 16236","14"
"NC","659","Kidney & ureter procedures for non-neoplasm w MCC","16193 - 21489","206"
"ND","659","Kidney & ureter procedures for non-neoplasm w MCC","14353 - 16286","14"
"NE","659","Kidney & ureter procedures for non-neoplasm w MCC","14403 - 19685","29"
"NH","659","Kidney & ureter procedures for non-neoplasm w MCC","17539 - 23805","24"
"NJ","659","Kidney & ureter procedures for non-neoplasm w MCC","17398 - 21600","201"
"NM","659","Kidney & ureter procedures for non-neoplasm w MCC","15821 - 26105","25"
"NV","659","Kidney & ureter procedures for non-neoplasm w MCC","11404 - 19972","71"
"NY","659","Kidney & ureter procedures for non-neoplasm w MCC","15058 - 29135","437"
"OH","659","Kidney & ureter procedures for non-neoplasm w MCC","14620 - 20684","282"
"OK","659","Kidney & ureter procedures for non-neoplasm w MCC","14487 - 19040","55"
"OR","659","Kidney & ureter procedures for non-neoplasm w MCC","16352 - 20866","41"
"PA","659","Kidney & ureter procedures for non-neoplasm w MCC","11228 - 21743","370"
"PR","659","Kidney & ureter procedures for non-neoplasm w MCC","9331 - 10033","17"
"RI","659","Kidney & ureter procedures for non-neoplasm w MCC","5481 - 22471","37"
"SC","659","Kidney & ureter procedures for non-neoplasm w MCC","16267 - 23174","67"
"SD","659","Kidney & ureter procedures for non-neoplasm w MCC","15751 - 16515","18"
"TN","659","Kidney & ureter procedures for non-neoplasm w MCC","15012 - 18876","121"
"TX","659","Kidney & ureter procedures for non-neoplasm w MCC","15689 - 19726","397"
"UT","659","Kidney & ureter procedures for non-neoplasm w MCC","15421 - 21330","34"
"VA","659","Kidney & ureter procedures for non-neoplasm w MCC","14936 - 22422","155"
"VI","659","Kidney & ureter procedures for non-neoplasm w MCC","27720 - 27720","*"
"VT","659","Kidney & ureter procedures for non-neoplasm w MCC","17476 - 23290","*"
"WA","659","Kidney & ureter procedures for non-neoplasm w MCC","16804 - 19864","99"
"WI","659","Kidney & ureter procedures for non-neoplasm w MCC","15694 - 22750","117"
"WV","659","Kidney & ureter procedures for non-neoplasm w MCC","13846 - 20163","31"
"WY","659","Kidney & ureter procedures for non-neoplasm w MCC","15470 - 19406","*"
"AK","668","Transurethral procedures w MCC","14136 - 23371","*"
"AL","668","Transurethral procedures w MCC","8831 - 9649","94"
"AR","668","Transurethral procedures w MCC","9402 - 10147","50"
"AZ","668","Transurethral procedures w MCC","3772 - 10699","140"
"CA","668","Transurethral procedures w MCC","10895 - 14707","338"
"CO","668","Transurethral procedures w MCC","9625 - 10585","26"
"CT","668","Transurethral procedures w MCC","11214 - 13125","69"
"DC","668","Transurethral procedures w MCC","13170 - 14387","*"
"DE","668","Transurethral procedures w MCC","10639 - 11780","15"
"FL","668","Transurethral procedures w MCC","9110 - 10440","499"
"GA","668","Transurethral procedures w MCC","9753 - 11184","109"
"GU","668","Transurethral procedures w MCC","30300 - 30300","*"
"HI","668","Transurethral procedures w MCC","11764 - 13628","16"
"IA","668","Transurethral procedures w MCC","9118 - 9681","36"
"ID","668","Transurethral procedures w MCC","9212 - 9826","11"
"IL","668","Transurethral procedures w MCC","9709 - 11894","315"
"IN","668","Transurethral procedures w MCC","9265 - 10609","123"
"KS","668","Transurethral procedures w MCC","8761 - 9988","34"
"KY","668","Transurethral procedures w MCC","8765 - 10595","118"
"LA","668","Transurethral procedures w MCC","8805 - 10338","80"
"MA","668","Transurethral procedures w MCC","10613 - 14183","157"
"MD","668","Transurethral procedures w MCC","7007 - 19688","127"
"ME","668","Transurethral procedures w MCC","10296 - 11251","21"
"MI","668","Transurethral procedures w MCC","9718 - 11748","205"
"MN","668","Transurethral procedures w MCC","9914 - 10720","78"
"MO","668","Transurethral procedures w MCC","8930 - 10777","139"
"MS","668","Transurethral procedures w MCC","9309 - 10156","54"
"MT","668","Transurethral procedures w MCC","8917 - 9578","*"
"NC","668","Transurethral procedures w MCC","9552 - 10706","180"
"ND","668","Transurethral procedures w MCC","8552 - 8994","14"
"NE","668","Transurethral procedures w MCC","9215 - 10307","38"
"NH","668","Transurethral procedures w MCC","10195 - 13583","18"
"NJ","668","Transurethral procedures w MCC","10727 - 12784","278"
"NM","668","Transurethral procedures w MCC","9506 - 10916","14"
"NV","668","Transurethral procedures w MCC","9778 - 11008","35"
"NY","668","Transurethral procedures w MCC","8898 - 16182","415"
"OH","668","Transurethral procedures w MCC","8959 - 10951","312"
"OK","668","Transurethral procedures w MCC","8934 - 9589","62"
"OR","668","Transurethral procedures w MCC","10008 - 10894","42"
"PA","668","Transurethral procedures w MCC","3191 - 10754","349"
"PR","668","Transurethral procedures w MCC","530 - 5916","13"
"RI","668","Transurethral procedures w MCC","2074 - 10397","28"
"SC","668","Transurethral procedures w MCC","9474 - 10551","72"
"SD","668","Transurethral procedures w MCC","9840 - 10107","17"
"TN","668","Transurethral procedures w MCC","8792 - 10379","102"
"TX","668","Transurethral procedures w MCC","9436 - 11034","305"
"UT","668","Transurethral procedures w MCC","9548 - 10503","16"
"VA","668","Transurethral procedures w MCC","8892 - 10277","112"
"VT","668","Transurethral procedures w MCC","11200 - 14385","11"
"WA","668","Transurethral procedures w MCC","10228 - 11979","78"
"WI","668","Transurethral procedures w MCC","9518 - 10321","90"
"WV","668","Transurethral procedures w MCC","8432 - 9373","54"
"AK","673","Other kidney & urinary tract procedures w MCC","18447 - 20222","17"
"AL","673","Other kidney & urinary tract procedures w MCC","12907 - 14705","420"
"AR","673","Other kidney & urinary tract procedures w MCC","13149 - 14137","190"
"AZ","673","Other kidney & urinary tract procedures w MCC","13483 - 16123","208"
"CA","673","Other kidney & urinary tract procedures w MCC","16948 - 23015","1158"
"CO","673","Other kidney & urinary tract procedures w MCC","14124 - 17288","118"
"CT","673","Other kidney & urinary tract procedures w MCC","16580 - 23328","158"
"DC","673","Other kidney & urinary tract procedures w MCC","19208 - 19644","89"
"DE","673","Other kidney & urinary tract procedures w MCC","15820 - 17274","51"
"FL","673","Other kidney & urinary tract procedures w MCC","13493 - 17072","1245"
"GA","673","Other kidney & urinary tract procedures w MCC","14163 - 17306","508"
"GU","673","Other kidney & urinary tract procedures w MCC","10555 - 43541","*"
"HI","673","Other kidney & urinary tract procedures w MCC","17447 - 22366","23"
"IA","673","Other kidney & urinary tract procedures w MCC","13681 - 14216","80"
"ID","673","Other kidney & urinary tract procedures w MCC","14304 - 15501","20"
"IL","673","Other kidney & urinary tract procedures w MCC","14624 - 20884","637"
"IN","673","Other kidney & urinary tract procedures w MCC","13789 - 18948","318"
"KS","673","Other kidney & urinary tract procedures w MCC","13156 - 14696","111"
"KY","673","Other kidney & urinary tract procedures w MCC","14073 - 15719","325"
"LA","673","Other kidney & urinary tract procedures w MCC","13422 - 15161","304"
"MA","673","Other kidney & urinary tract procedures w MCC","16408 - 21353","244"
"MD","673","Other kidney & urinary tract procedures w MCC","9928 - 30385","285"
"ME","673","Other kidney & urinary tract procedures w MCC","16002 - 16662","29"
"MI","673","Other kidney & urinary tract procedures w MCC","15158 - 18227","466"
"MN","673","Other kidney & urinary tract procedures w MCC","15022 - 19896","130"
"MO","673","Other kidney & urinary tract procedures w MCC","13365 - 17190","358"
"MS","673","Other kidney & urinary tract procedures w MCC","13283 - 15132","183"
"MT","673","Other kidney & urinary tract procedures w MCC","13745 - 14101","17"
"NC","673","Other kidney & urinary tract procedures w MCC","14482 - 17925","490"
"ND","673","Other kidney & urinary tract procedures w MCC","12925 - 13190","24"
"NE","673","Other kidney & urinary tract procedures w MCC","13875 - 17666","67"
"NH","673","Other kidney & urinary tract procedures w MCC","14898 - 16692","33"
"NJ","673","Other kidney & urinary tract procedures w MCC","16517 - 19912","638"
"NM","673","Other kidney & urinary tract procedures w MCC","14978 - 17524","68"
"NV","673","Other kidney & urinary tract procedures w MCC","14464 - 17923","69"
"NY","673","Other kidney & urinary tract procedures w MCC","15271 - 25767","1234"
"OH","673","Other kidney & urinary tract procedures w MCC","13298 - 16048","659"
"OK","673","Other kidney & urinary tract procedures w MCC","13203 - 18273","203"
"OR","673","Other kidney & urinary tract procedures w MCC","3670 - 17140","83"
"PA","673","Other kidney & urinary tract procedures w MCC","4930 - 16588","732"
"PR","673","Other kidney & urinary tract procedures w MCC","8372 - 8962","72"
"RI","673","Other kidney & urinary tract procedures w MCC","4029 - 20167","29"
"SC","673","Other kidney & urinary tract procedures w MCC","14108 - 15624","301"
"SD","673","Other kidney & urinary tract procedures w MCC","14430 - 15341","41"
"TN","673","Other kidney & urinary tract procedures w MCC","13472 - 16120","397"
"TX","673","Other kidney & urinary tract procedures w MCC","13919 - 17431","1254"
"UT","673","Other kidney & urinary tract procedures w MCC","14647 - 18900","23"
"VA","673","Other kidney & urinary tract procedures w MCC","13082 - 15795","339"
"VI","673","Other kidney & urinary tract procedures w MCC","10080 - 64080","*"
"VT","673","Other kidney & urinary tract procedures w MCC","21029 - 21253","*"
"WA","673","Other kidney & urinary tract procedures w MCC","16542 - 17733","173"
"WI","673","Other kidney & urinary tract procedures w MCC","14054 - 19708","96"
"WV","673","Other kidney & urinary tract procedures w MCC","13554 - 14727","106"
"WY","673","Other kidney & urinary tract procedures w MCC","14874 - 21150","*"
"AK","674","Other kidney & urinary tract procedures w CC","15408 - 16847","*"
"AL","674","Other kidney & urinary tract procedures w CC","10715 - 11884","264"
"AR","674","Other kidney & urinary tract procedures w CC","10910 - 12397","133"
"AZ","674","Other kidney & urinary tract procedures w CC","11337 - 13515","188"
"CA","674","Other kidney & urinary tract procedures w CC","13504 - 17529","781"
"CO","674","Other kidney & urinary tract procedures w CC","11113 - 12863","100"
"CT","674","Other kidney & urinary tract procedures w CC","15191 - 19385","146"
"DC","674","Other kidney & urinary tract procedures w CC","16003 - 16366","53"
"DE","674","Other kidney & urinary tract procedures w CC","13148 - 14392","35"
"FL","674","Other kidney & urinary tract procedures w CC","11136 - 13090","777"
"GA","674","Other kidney & urinary tract procedures w CC","11764 - 13969","323"
"GU","674","Other kidney & urinary tract procedures w CC","5304 - 12259","*"
"HI","674","Other kidney & urinary tract procedures w CC","15774 - 16650","24"
"IA","674","Other kidney & urinary tract procedures w CC","11337 - 11826","104"
"ID","674","Other kidney & urinary tract procedures w CC","11422 - 12405","23"
"IL","674","Other kidney & urinary tract procedures w CC","11940 - 15455","410"
"IN","674","Other kidney & urinary tract procedures w CC","11488 - 13992","229"
"KS","674","Other kidney & urinary tract procedures w CC","10925 - 13113","94"
"KY","674","Other kidney & urinary tract procedures w CC","11776 - 12950","210"
"LA","674","Other kidney & urinary tract procedures w CC","10927 - 12206","204"
"MA","674","Other kidney & urinary tract procedures w CC","13500 - 17782","203"
"MD","674","Other kidney & urinary tract procedures w CC","9262 - 20744","202"
"ME","674","Other kidney & urinary tract procedures w CC","12710 - 13719","34"
"MI","674","Other kidney & urinary tract procedures w CC","12727 - 14767","306"
"MN","674","Other kidney & urinary tract procedures w CC","12515 - 14316","142"
"MO","674","Other kidney & urinary tract procedures w CC","11153 - 14680","240"
"MS","674","Other kidney & urinary tract procedures w CC","11499 - 12644","152"
"MT","674","Other kidney & urinary tract procedures w CC","11122 - 11656","19"
"NC","674","Other kidney & urinary tract procedures w CC","12023 - 13964","318"
"ND","674","Other kidney & urinary tract procedures w CC","10786 - 11934","36"
"NE","674","Other kidney & urinary tract procedures w CC","11596 - 14718","71"
"NH","674","Other kidney & urinary tract procedures w CC","13380 - 17862","37"
"NJ","674","Other kidney & urinary tract procedures w CC","13321 - 16085","396"
"NM","674","Other kidney & urinary tract procedures w CC","13303 - 14600","60"
"NV","674","Other kidney & urinary tract procedures w CC","11946 - 14830","57"
"NY","674","Other kidney & urinary tract procedures w CC","11317 - 20390","704"
"OH","674","Other kidney & urinary tract procedures w CC","10947 - 12948","519"
"OK","674","Other kidney & urinary tract procedures w CC","10826 - 14309","160"
"OR","674","Other kidney & urinary tract procedures w CC","9823 - 13414","96"
"PA","674","Other kidney & urinary tract procedures w CC","10253 - 13675","518"
"PR","674","Other kidney & urinary tract procedures w CC","6817 - 7454","51"
"RI","674","Other kidney & urinary tract procedures w CC","12443 - 13881","28"
"SC","674","Other kidney & urinary tract procedures w CC","11530 - 13913","166"
"SD","674","Other kidney & urinary tract procedures w CC","11546 - 12348","47"
"TN","674","Other kidney & urinary tract procedures w CC","11224 - 12761","262"
"TX","674","Other kidney & urinary tract procedures w CC","11457 - 13202","864"
"UT","674","Other kidney & urinary tract procedures w CC","11024 - 12708","31"
"VA","674","Other kidney & urinary tract procedures w CC","11065 - 13159","214"
"VI","674","Other kidney & urinary tract procedures w CC","9530 - 33390","*"
"VT","674","Other kidney & urinary tract procedures w CC","15183 - 17548","*"
"WA","674","Other kidney & urinary tract procedures w CC","13319 - 14761","156"
"WI","674","Other kidney & urinary tract procedures w CC","11788 - 13907","141"
"WV","674","Other kidney & urinary tract procedures w CC","10895 - 12152","109"
"WY","674","Other kidney & urinary tract procedures w CC","11448 - 12200","*"
"AK","675","Other kidney & urinary tract procedures w/o CC/MCC","13175 - 13780","*"
"AL","675","Other kidney & urinary tract procedures w/o CC/MCC","8664 - 9581","214"
"AR","675","Other kidney & urinary tract procedures w/o CC/MCC","8923 - 9620","82"
"AZ","675","Other kidney & urinary tract procedures w/o CC/MCC","1024 - 9840","182"
"CA","675","Other kidney & urinary tract procedures w/o CC/MCC","10446 - 14302","328"
"CO","675","Other kidney & urinary tract procedures w/o CC/MCC","9628 - 10993","33"
"CT","675","Other kidney & urinary tract procedures w/o CC/MCC","12004 - 15897","40"
"DC","675","Other kidney & urinary tract procedures w/o CC/MCC","13089 - 13386","20"
"DE","675","Other kidney & urinary tract procedures w/o CC/MCC","11751 - 11771","20"
"FL","675","Other kidney & urinary tract procedures w/o CC/MCC","8596 - 9900","398"
"GA","675","Other kidney & urinary tract procedures w/o CC/MCC","9276 - 11664","136"
"GU","675","Other kidney & urinary tract procedures w/o CC/MCC","5440 - 5440","*"
"HI","675","Other kidney & urinary tract procedures w/o CC/MCC","13012 - 13619","17"
"IA","675","Other kidney & urinary tract procedures w/o CC/MCC","9233 - 9673","109"
"ID","675","Other kidney & urinary tract procedures w/o CC/MCC","9082 - 9907","19"
"IL","675","Other kidney & urinary tract procedures w/o CC/MCC","9712 - 12390","232"
"IN","675","Other kidney & urinary tract procedures w/o CC/MCC","9317 - 10010","83"
"KS","675","Other kidney & urinary tract procedures w/o CC/MCC","8696 - 10015","38"
"KY","675","Other kidney & urinary tract procedures w/o CC/MCC","8813 - 10510","112"
"LA","675","Other kidney & urinary tract procedures w/o CC/MCC","8879 - 10297","119"
"MA","675","Other kidney & urinary tract procedures w/o CC/MCC","11597 - 14515","122"
"MD","675","Other kidney & urinary tract procedures w/o CC/MCC","6459 - 13365","84"
"ME","675","Other kidney & urinary tract procedures w/o CC/MCC","10134 - 11243","25"
"MI","675","Other kidney & urinary tract procedures w/o CC/MCC","9891 - 11739","288"
"MN","675","Other kidney & urinary tract procedures w/o CC/MCC","10241 - 11767","87"
"MO","675","Other kidney & urinary tract procedures w/o CC/MCC","8899 - 10606","128"
"MS","675","Other kidney & urinary tract procedures w/o CC/MCC","9051 - 10149","106"
"MT","675","Other kidney & urinary tract procedures w/o CC/MCC","9366 - 9609","*"
"NC","675","Other kidney & urinary tract procedures w/o CC/MCC","9712 - 10699","135"
"ND","675","Other kidney & urinary tract procedures w/o CC/MCC","9756 - 10266","29"
"NE","675","Other kidney & urinary tract procedures w/o CC/MCC","9448 - 13287","38"
"NH","675","Other kidney & urinary tract procedures w/o CC/MCC","10193 - 14461","11"
"NJ","675","Other kidney & urinary tract procedures w/o CC/MCC","11016 - 13167","166"
"NM","675","Other kidney & urinary tract procedures w/o CC/MCC","4763 - 9539","*"
"NV","675","Other kidney & urinary tract procedures w/o CC/MCC","10550 - 12130","24"
"NY","675","Other kidney & urinary tract procedures w/o CC/MCC","8913 - 17291","363"
"OH","675","Other kidney & urinary tract procedures w/o CC/MCC","9061 - 10478","306"
"OK","675","Other kidney & urinary tract procedures w/o CC/MCC","8855 - 10528","97"
"OR","675","Other kidney & urinary tract procedures w/o CC/MCC","10191 - 10936","26"
"PA","675","Other kidney & urinary tract procedures w/o CC/MCC","1654 - 10326","328"
"PR","675","Other kidney & urinary tract procedures w/o CC/MCC","176 - 5707","16"
"RI","675","Other kidney & urinary tract procedures w/o CC/MCC","2107 - 10881","18"
"SC","675","Other kidney & urinary tract procedures w/o CC/MCC","9149 - 10848","85"
"SD","675","Other kidney & urinary tract procedures w/o CC/MCC","9055 - 9833","55"
"TN","675","Other kidney & urinary tract procedures w/o CC/MCC","8722 - 10413","210"
"TX","675","Other kidney & urinary tract procedures w/o CC/MCC","9211 - 10454","357"
"UT","675","Other kidney & urinary tract procedures w/o CC/MCC","9417 - 10364","12"
"VA","675","Other kidney & urinary tract procedures w/o CC/MCC","9094 - 10250","89"
"VT","675","Other kidney & urinary tract procedures w/o CC/MCC","14364 - 15849","*"
"WA","675","Other kidney & urinary tract procedures w/o CC/MCC","10868 - 12049","103"
"WI","675","Other kidney & urinary tract procedures w/o CC/MCC","9506 - 10057","87"
"WV","675","Other kidney & urinary tract procedures w/o CC/MCC","8849 - 9939","73"
"WY","675","Other kidney & urinary tract procedures w/o CC/MCC","9318 - 9664","*"
"AK","713","Transurethral prostatectomy w CC/MCC","8506 - 11768","*"
"AL","713","Transurethral prostatectomy w CC/MCC","4935 - 5439","320"
"AR","713","Transurethral prostatectomy w CC/MCC","5124 - 5704","157"
"AZ","713","Transurethral prostatectomy w CC/MCC","4954 - 6095","242"
"CA","713","Transurethral prostatectomy w CC/MCC","5983 - 8192","1147"
"CO","713","Transurethral prostatectomy w CC/MCC","5330 - 6014","67"
"CT","713","Transurethral prostatectomy w CC/MCC","6337 - 7510","178"
"DC","713","Transurethral prostatectomy w CC/MCC","7434 - 7668","23"
"DE","713","Transurethral prostatectomy w CC/MCC","5720 - 6577","19"
"FL","713","Transurethral prostatectomy w CC/MCC","5187 - 5858","877"
"GA","713","Transurethral prostatectomy w CC/MCC","5418 - 6224","234"
"HI","713","Transurethral prostatectomy w CC/MCC","6612 - 7801","34"
"IA","713","Transurethral prostatectomy w CC/MCC","5226 - 5541","122"
"ID","713","Transurethral prostatectomy w CC/MCC","5448 - 5619","45"
"IL","713","Transurethral prostatectomy w CC/MCC","5519 - 6753","677"
"IN","713","Transurethral prostatectomy w CC/MCC","5363 - 5962","245"
"KS","713","Transurethral prostatectomy w CC/MCC","4938 - 6144","121"
"KY","713","Transurethral prostatectomy w CC/MCC","5112 - 6065","252"
"LA","713","Transurethral prostatectomy w CC/MCC","5099 - 5879","165"
"MA","713","Transurethral prostatectomy w CC/MCC","6111 - 8066","287"
"MD","713","Transurethral prostatectomy w CC/MCC","4615 - 10300","202"
"ME","713","Transurethral prostatectomy w CC/MCC","5847 - 6070","40"
"MI","713","Transurethral prostatectomy w CC/MCC","5395 - 6453","417"
"MN","713","Transurethral prostatectomy w CC/MCC","5675 - 6128","256"
"MO","713","Transurethral prostatectomy w CC/MCC","5117 - 5873","296"
"MS","713","Transurethral prostatectomy w CC/MCC","5513 - 5863","151"
"MT","713","Transurethral prostatectomy w CC/MCC","5029 - 5686","34"
"NC","713","Transurethral prostatectomy w CC/MCC","5433 - 5963","255"
"ND","713","Transurethral prostatectomy w CC/MCC","4862 - 5588","45"
"NE","713","Transurethral prostatectomy w CC/MCC","5275 - 5866","103"
"NH","713","Transurethral prostatectomy w CC/MCC","5873 - 8311","23"
"NJ","713","Transurethral prostatectomy w CC/MCC","6151 - 7351","365"
"NM","713","Transurethral prostatectomy w CC/MCC","5477 - 6265","65"
"NV","713","Transurethral prostatectomy w CC/MCC","5290 - 5965","76"
"NY","713","Transurethral prostatectomy w CC/MCC","5117 - 9408","745"
"OH","713","Transurethral prostatectomy w CC/MCC","5129 - 5772","528"
"OK","713","Transurethral prostatectomy w CC/MCC","5038 - 5377","152"
"OR","713","Transurethral prostatectomy w CC/MCC","1024 - 6141","109"
"PA","713","Transurethral prostatectomy w CC/MCC","1240 - 6131","677"
"PR","713","Transurethral prostatectomy w CC/MCC","292 - 3466","69"
"RI","713","Transurethral prostatectomy w CC/MCC","5533 - 6095","52"
"SC","713","Transurethral prostatectomy w CC/MCC","5507 - 5926","203"
"SD","713","Transurethral prostatectomy w CC/MCC","5430 - 5887","39"
"TN","713","Transurethral prostatectomy w CC/MCC","4996 - 5719","252"
"TX","713","Transurethral prostatectomy w CC/MCC","5257 - 6038","678"
"UT","713","Transurethral prostatectomy w CC/MCC","5095 - 5920","66"
"VA","713","Transurethral prostatectomy w CC/MCC","5064 - 5739","195"
"VI","713","Transurethral prostatectomy w CC/MCC","1926 - 9240","*"
"VT","713","Transurethral prostatectomy w CC/MCC","6412 - 8234","37"
"WA","713","Transurethral prostatectomy w CC/MCC","6083 - 6861","182"
"WI","713","Transurethral prostatectomy w CC/MCC","5400 - 6124","258"
"WV","713","Transurethral prostatectomy w CC/MCC","4817 - 5356","130"
"WY","713","Transurethral prostatectomy w CC/MCC","5337 - 7072","*"
"AK","714","Transurethral prostatectomy w/o CC/MCC","5438 - 5795","32"
"AL","714","Transurethral prostatectomy w/o CC/MCC","3381 - 3710","747"
"AR","714","Transurethral prostatectomy w/o CC/MCC","3524 - 3885","389"
"AZ","714","Transurethral prostatectomy w/o CC/MCC","3625 - 4152","675"
"CA","714","Transurethral prostatectomy w/o CC/MCC","1024 - 5352","3006"
"CO","714","Transurethral prostatectomy w/o CC/MCC","3676 - 4116","200"
"CT","714","Transurethral prostatectomy w/o CC/MCC","4306 - 5118","461"
"DC","714","Transurethral prostatectomy w/o CC/MCC","5089 - 6556","77"
"DE","714","Transurethral prostatectomy w/o CC/MCC","3896 - 4593","53"
"FL","714","Transurethral prostatectomy w/o CC/MCC","3534 - 3857","1755"
"GA","714","Transurethral prostatectomy w/o CC/MCC","3759 - 4240","655"
"GU","714","Transurethral prostatectomy w/o CC/MCC","3089 - 3206","*"
"HI","714","Transurethral prostatectomy w/o CC/MCC","4484 - 5314","97"
"IA","714","Transurethral prostatectomy w/o CC/MCC","3514 - 3750","313"
"ID","714","Transurethral prostatectomy w/o CC/MCC","3654 - 3828","145"
"IL","714","Transurethral prostatectomy w/o CC/MCC","3656 - 4359","1209"
"IN","714","Transurethral prostatectomy w/o CC/MCC","3574 - 3903","691"
"KS","714","Transurethral prostatectomy w/o CC/MCC","3343 - 4234","280"
"KY","714","Transurethral prostatectomy w/o CC/MCC","3535 - 4131","515"
"LA","714","Transurethral prostatectomy w/o CC/MCC","3492 - 4023","386"
"MA","714","Transurethral prostatectomy w/o CC/MCC","4109 - 5530","909"
"MD","714","Transurethral prostatectomy w/o CC/MCC","3403 - 5943","370"
"ME","714","Transurethral prostatectomy w/o CC/MCC","3954 - 4379","166"
"MI","714","Transurethral prostatectomy w/o CC/MCC","3675 - 4405","1439"
"MN","714","Transurethral prostatectomy w/o CC/MCC","3866 - 4154","504"
"MO","714","Transurethral prostatectomy w/o CC/MCC","3486 - 4077","689"
"MS","714","Transurethral prostatectomy w/o CC/MCC","3534 - 4013","408"
"MT","714","Transurethral prostatectomy w/o CC/MCC","3353 - 3691","101"
"NC","714","Transurethral prostatectomy w/o CC/MCC","3687 - 4078","600"
"ND","714","Transurethral prostatectomy w/o CC/MCC","3312 - 4013","141"
"NE","714","Transurethral prostatectomy w/o CC/MCC","3593 - 3898","245"
"NH","714","Transurethral prostatectomy w/o CC/MCC","3977 - 4178","51"
"NJ","714","Transurethral prostatectomy w/o CC/MCC","4151 - 4981","749"
"NM","714","Transurethral prostatectomy w/o CC/MCC","3731 - 4222","191"
"NV","714","Transurethral prostatectomy w/o CC/MCC","3604 - 4107","268"
"NY","714","Transurethral prostatectomy w/o CC/MCC","1356 - 6753","1726"
"OH","714","Transurethral prostatectomy w/o CC/MCC","3493 - 3973","984"
"OK","714","Transurethral prostatectomy w/o CC/MCC","3437 - 3716","468"
"OR","714","Transurethral prostatectomy w/o CC/MCC","1024 - 4205","313"
"PA","714","Transurethral prostatectomy w/o CC/MCC","1024 - 4218","1457"
"PR","714","Transurethral prostatectomy w/o CC/MCC","69 - 2304","187"
"RI","714","Transurethral prostatectomy w/o CC/MCC","1024 - 4152","148"
"SC","714","Transurethral prostatectomy w/o CC/MCC","3683 - 4078","435"
"SD","714","Transurethral prostatectomy w/o CC/MCC","3492 - 4079","176"
"TN","714","Transurethral prostatectomy w/o CC/MCC","3403 - 3896","849"
"TX","714","Transurethral prostatectomy w/o CC/MCC","3562 - 4104","1761"
"UT","714","Transurethral prostatectomy w/o CC/MCC","998 - 4033","177"
"VA","714","Transurethral prostatectomy w/o CC/MCC","3450 - 3920","434"
"VI","714","Transurethral prostatectomy w/o CC/MCC","1131 - 3080","*"
"VT","714","Transurethral prostatectomy w/o CC/MCC","4368 - 5651","83"
"WA","714","Transurethral prostatectomy w/o CC/MCC","4185 - 4651","652"
"WI","714","Transurethral prostatectomy w/o CC/MCC","3668 - 4212","545"
"WV","714","Transurethral prostatectomy w/o CC/MCC","3324 - 3726","364"
"WY","714","Transurethral prostatectomy w/o CC/MCC","3941 - 4817","25"
"AK","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","6949 - 10091","50"
"AL","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","4369 - 4896","825"
"AR","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","4690 - 5116","482"
"AZ","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","1024 - 5473","558"
"CA","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","5267 - 6921","2928"
"CO","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","4771 - 5338","339"
"CT","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","5693 - 6858","409"
"DC","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","4966 - 6751","65"
"DE","743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","5360 - 5936","103"
